000	The Basic Cat<br><br>	Charm point: muscle definition.<br>Basic Cat.<br>	Charm point: muscle definition.<br>Added charm point: beautiful hair.<br>
109	Bringing back those lost memories.<br>Acts as a shield using her great health.<br>She can also do some damage (Area Attack)	Now that she's captured her dream man, her<br>rulership over the home has become indisputable.<br>High resistance & good damage. (Area Attack)	Not content to rule the home, she now dominates<br>a vast wilderness of beasts. Authority shields her<br>well, even allows her to avoid death once (Area Atk)
110	Joining the fight from Merc Storia! Kind-<br>hearted girl who will do anything for others.<br>Small chance to Slow Red enemies.	Joining the fight from Merc Storia!<br>Her fan club grows daily across the land.<br>Small chance to Slow Red enemies.	
111	Joining the fight from Merc Storia!<br>A gentle and naive young lady.<br>Tough vs Black enemies.	Joining the fight from Merc Storia!<br>Don't be fooled, her tail is incredibly powerful!<br>Tough vs Black enemies.	
112	Joining the fight from Merc Storia!<br>Left her homeland to learn about the world.<br>Small chance to Knockback Red.	Joining the fight from Merc Storia!<br>Has a kind face but a sadistic nature.<br>Small chance to Knockback Red.	
113	Joining the fight from Merc Storia!<br>A gentle young lad who loves stargazing.<br>Small chance to Freeze Red.	Joining the fight from Merc Storia!<br>Serene but slightly absentminded youth.<br>Small chance to Freeze Red.	
114	Joining the fight from Merc Storia!<br>A genteel youth with a reckless nature.<br>Small chance to Slow Black enemies.	Joining the fight from Merc Storia! Enjoys<br>drinking under the moon, but he's a light-weight.<br>Small chance to Slow Black enemies.	
115	Joining the fight from Merc Storia!<br>Loyal to her master in the Sky Country.<br>Small chance to Knockback Black.	Joining the fight from Merc Storia! Known<br>among the people for devotion to justice!<br>Small chance to Knockback Black.	
116	Joining the fight from Merc Storia! A lass from<br>the Sky Country, horned due to her mixed blood.<br>Might Freeze Black enemies.	Joining the fight from Merc Storia! Taking grand-<br>dad's teachings to heart, she travels the world.<br>Might Freeze Black enemies.	
117	Joining the fight from Merc Storia! Normally<br>shy, but if you get her talking about guns...<br>Area attacks might Knockback Black.	Joining the fight from Merc Storia!<br>Gun maintenance is her number one hobby.<br>Area attacks might Knockback Black.	
118	Joining the fight from Merc Storia! Her strong<br>emotions cause shocks to people nearby.<br>Area attacks might Slow Black.	Joining the fight from Merc Storia!<br>Monsters flee from her presence.<br>Area attacks might Slow Black.	
119	Joining the fight from Merc Storia! Delivering<br>powerful blows from above that cause<br>Massive Area damage vs Black enemies.	The Cats adopted a poor lost Wyvern from<br>Merc Storia to research Cat-Dragon fusion.<br>Massive Area damage vs Black enemies.	
120	The hero of Merc Storia joins the fight!<br>Can soothe the heart of savage beasts.<br>Small chance to Freeze enemies.	The hero of Merc Storia joins the fight!<br>A weak and monster-phobic young lad.<br>Small chance to Freeze enemies.	The hero of Merc Storia joins the fight!<br>Transformed into a Cat by his own experiments.<br>Area Attacks have 100% Freeze!
121	Joining the fight from Merc Storia!<br>Mystic girl in a jar, bought for 10 Gold.<br>Small chance of Critical Attack.	Joining the fight from Merc Storia!<br>Cat joins her in the jar for the big fight!<br>Small chance of Critical Attack.	Joining the fight from Merc Storia!<br>The girl in a jar bought a Cat for 10 Gold.<br>Might Critical Attack.
122	A timid office worker and midrange attacker.<br>Likes to break bad while on vacation!<br>Fast attack and strong against Red enemies.	Just like it says - a typical office worker.<br>But what happens after work…?<br>Fast attack speed, strong against Red enemies.	Takes abuse from customers and bosses all day.<br>After she clocks out, the story is very different…<br>Strong against Red enemies, might knockback.
123	Said to also have the "MeowMeow" alias.<br>Always play nice with each other.<br>Might knockback Red enemies.	Earned the nickname "Sweater Brahs" when<br>they traded their beanpod for fine French silk.<br>Might knockback Red enemies.	
124	The curse of the Legendary Cat Shield<br>has made him a killing machine. (Area Attack)<br>Might knockback Black and Red enemies.	Cat Shield's Hell Mode - activate!<br>Infernal (Area) attacks slice through his foes!<br>Might knockback Black and Red enemies.	Infernal hatred has fully infused the Shield.<br>Karmic blades sweep through all enemies!<br>Area atks. knockback Black and Red enemies.
125	A master tactician of overwhelming power<br>who is cursed by the Legendary Cat Sword.<br>Area attacks only damage Black/Aliens.	Cat Sword's Tactics Mode - activate!<br>Even greater destructive power!<br>Area attacks only damage Black/Aliens.	The Cat Sword's path of destruction<br>is unstoppable. There is no mercy to be given.<br>Area attacks only damage Black/Aliens.
126	Rushes the enemy with mechanical haste.<br>No idea how it is moving... any ideas?<br>Might slow Metal enemies.	Uses technical mastery to assault enemies.<br>Not a bad ventiloquist either.<br>Might slow Metal enemies.	This Cat approaches with a crazed look in his<br>eyes. It's almost like it's the doll controlling him...<br>Might slow Metal enemies.
127	Fascinated by pretty petals.<br>Never forgets to water every day.<br>Might stop Black enemies.	Hogs the fan after getting out of a hot bath.<br>Attack style shows his aggressive selfishness.<br>Might stop Black enemies.	Daily stress can cause you to want to explode,<br>whether or not your job is carting cartoon bombs<br>all day. Area attacks 100% freeze Black enemies.
128	Ranged attacker filled with hate for this world.<br>Works very well with Sexy Legs Cat.<br>Crushes all with her vengeful fist! (Area Attack)	Hate solves nothing. Laughter however…<br>Lookout! Dad Jokes and Ranged Attacks!<br>Combines well with anything tall. (Area Attack)	Her mission is to bring more smiles to the world.<br>Sexy Legs complains about getting smacked in the<br>face though… (Long Distance Area Attacks)
129	Rolled in gold dust for a luxurious look.<br>…though it is just the same old Cat.<br>Exchange it for XP to level up other Cats!	Rolled in gold dust for a luxurious look.<br>Says it aimed for the no-sleeve look<br>but painting its arms just slipped its mind.	
130	I swear allegiance to those who defeated me!<br>No one asked. Joined the Cat Army anyway.<br>Might knockback enemies. (Area attack)	A delusional young girl who finally got hold<br>of a Cat-like creature. Dad's a school teacher.<br>Might knockback enemies. (Area attack)	Now feeling the stirrings of a first crush.<br>It's not like she's doing it for you! B-baka!<br>Might knockback enemies. (Area attack)
131	A kid sister type who dreams of stardom.<br>If only she had the guts to actually sing!<br>Admires Moneko. (Might perform Critical Attacks)	Made to perform despite her stage fright.<br>Still wants to sing but her voice won't come<br>out onstage. (Might perform Critical Attacks)	
132	A Cat who has devoted his life to perfecting<br>the mighty midrange attacks of kung fu.<br>Improved destructive power in a single strike.	A legendary kung-fu master whose age<br>doesn't weaken his drinking prowess.<br>Improved destructive power in a single strike.	Mystical martial mastery has been achieved<br>after sacrificing years to training in Iron Claw<br>style. Mighty, focused single-target attacks.
133			
134	Elite Cat agent that holds the secret of the<br>government bioweapon T.U.R.T.L.E. (Area Atk)<br>Resistant to Black/Angel attacks.	A super-powerful T.U.R.T.L.E. enhanced by<br>the top-secret T-VIRUS (Area Attack)<br>Resistant to Black/Angel attacks.	To impress his crush at the secret lab, made<br>some bold new fashion choices (and bought<br>donuts). Resistant to Black/Angel attacks.
135	Champion of this year's Bird-Cat contest<br>held at the lake every year. (Area Attack)<br>Might knockback Floating/Angel enemies.	Pushed its limits further to reach space.<br>Evolved by collecting Star Energy. (Area Atk)<br>100% knockback vs Floating/Angels.	He has reached the edge of the universe and<br>seen the truth. Area attacks have 100% chance<br>of knockback & freeze vs Floating/Angels.
136	On a quest to find anyone stronger than him.<br>Aim for the top! Watch the fans…<br>Might freeze Angel/Red enemies. (Area attack)	A Road Gang of wild Cats who realized that<br>effort and results are two different things.<br>Might freeze Angel/Red enemies. (Area attack)	Ends may not justify the means, but<br>they definitely justify owning a sweet ride.<br>Might freeze Angel/Red enemies. (Area attack)
137	It's said there's a shadowy organization who<br>grants wishes made to these statues. (Area Atk)<br>Deals massive damage to Black/Angel types.	The hidden fortress of the Jizo organization.<br>...wait isn't this classified? (Area Attack)<br>Deals massive damage to Black/Angel types.	Escaping the government's tactical missile strikes,<br>the Jizo Organization is on the offensive. (Area Atk)<br>Deals massive damage to Black/Angel types.
138	Beautiful Cat on assignment from the Moon.<br>Her true nature is still top secret…<br>Might slow Angel/Metal enemies. (Area Atk)	A prototype of one of many Ancient Cat<br>Weapons made from stolen blueprints.<br>Might slow Angel/Metal enemies. (Area Atk)	Almost annihilated the galaxy once… Oops.<br>That can happens when you design an AI with<br>no conscience. Slows Angels/Metal (Area Atk)
139			
140	Got hooked on new capsule material<br>somehow managed to transform itself<br>into something similar (Area Attack)	See the truth inside. Macho Cat's trainer.<br>Everyone is facsinated by its rippling triceps.<br>Distant relative of the Titan Cat. (Area attack)	
141	A deity who transcends time and space.<br>The paradox has made it appear as a child<br>despite its adult needs. ... Is it really him?	A deity who transcends time and space.<br>With this body he's confident he can<br>finally win the heart of the gorgeous Valkyrie.	
142			
143	Her warm smile and healing aura take away<br>the sting of her piercing syringe (Area attack)<br>Might knockback/slow Black/Floating enemies.	A battlefield nurse saving lives with a syringe.<br>Defensive power/area increased (Area attack)<br>Might knockback/slow Black/Floating enemies.	A beloved medic & veteran of many Cat<br>campaigns. Area attacks deliver vital medicine.<br>Might knockback/slow Black/Floating enemies.
144	Who can say why, but this Cat has undergone<br>rigorous training to become a splendid fort.<br>His wave attack is actually just loud yelling.	Bought a cosplay helmet by mail order.<br>Likes to stalk strangers while pretending to be<br>a tower; his wave fires if he gets too excited.	Through sheer willpower, transformed themself into<br>the ideal Cat Base with cutting-edge LAZERBEAMS!<br>Still makes pew-pew mouth noises when firing.
145	Nameless legend of the Western frontier.<br>Today, he's out bringing bandits to justice.<br>Sometimes slows Black enemies.	A wandering gunman of legend, wielding<br>his pistol for justice! Italian is his first language.<br>Sometimes slows Black enemies.	Retired from the desperado life and now in<br>training to win the big bullriding competition.<br>Sometimes slows Black enemies.
146	A cat so ambitious that he built wooden stilts<br>to better reach for the stars.<br>Knocks back Angels every once in a while.	Couldn't cut it by himself, so he gathered some<br>pals to work together. Naturally, he's on top.<br>Knocks back Angels every once in a while.	Hopefully this pair's choice of cheap Swedish<br>furniture won't bring their dreams crashing to<br>the ground. Sometimes knocks Angels back.
147	Cutting-edge firepower masked by the<br>soulful nostalgia of yesteryear.<br>Knocks back Black enemies once in a while.	Dreaming of the skies, he allowed the Cat Army<br>engineers to install top-class tech in his body.<br>Knocks back Black enemies once in a while.	Captured by an evil organization and remade<br>to be an unstoppable, merciless android<br>who knocks back Black. (So cute, though!)
148	A peanut farmer's son, became a rocker to<br>avoid coming out about his nut allergies to his<br>family. Resistant to Angelic attacks.	After album number 2 flopped, tried to get into<br>fine art. Can only draw peanuts, so didn't sell.<br>Resistant to Angelic attacks.	Noodles might seem like a simple dish, but<br>they need an artist's touch to master. Flashy<br>prep style also boosts defense vs Angels.
149	A mermaid who came onshore to meet a<br>prince. Survives on land by taking long breaths.<br>Strong vs floating, might survive a lethal strike.	Hearing her prince got kidnapped by terrorists,<br>Mer-Cat joined the Green Berets to save him.<br>Strong vs floating, might survive a lethal strike.	Putting her life on the line to tell the truth of the<br>Great Cat War. Journalistic integrity causes<br>huge area dmg vs Floating, might survive once.
150	Dreams of a Romeo she met online.<br>Favorite book: "Pride, Prejudice and Haircuts"<br>Briefly freezes Angels (Area Attack)	All grown up, but still dreaming of her<br>cyber-Romeo. Likes chicken kebabs.<br>Briefly freezes Angels (Area Attack)	Romeo turned out to be a real jerk. Now aiming<br>for a total image change (and a cute samurai<br>lord). Briefly freezes Angels (Area Attack)
151	Lifting heavy things is the height of manliness.<br>Supports 11 children, 7 wives and their parents.<br>Massive damage to Black enemies (Area Attack)	Made it to the 12th round of life using her own<br>toughness and wits. Girl can't be stopped!<br>Massive damage to Black enemies (Area Attack)	World's biggest junk-food fan who's about to get<br>a nasty surprise when he sees they forgot the<br>extra anchovies. Massive Area damage to Black.
152	A stylish couple getting on board with the figure<br>skating craze. Only a month since they started.<br>No stopping these two lovers! (Area attack)	Skating's so last year, it's all about classical<br>theater now. Got the attention of the media, now<br>making old-school art cool again (Area Attack)	They stopped taking stagecraft so seriously and<br>now just want to bring laughter to the people.<br>Strong vs Relic enemies (Area Attack)
153	Fed up with making toast every day, went on<br>strike by firing bread at Dad's face.<br>Might slow Angelic enemies. (Area Attack)	Used to projecting Hollywood stars, now worries<br>it might be obsolete thanks to digital video.<br>Might slow Angelic enemies. (Area Attack)	Melancholy melodies strip enemies of their will<br>to fight! Area attacks might slow Angelic<br>enemies and break Barriers!
154	Started getting a bit pudgy, so he<br>took up hula hooping as exercise.<br>Might freeze Metal enemies.	Started out hoping to preserve his figure, but<br>his figure changed in an unexpected way.<br>Might freeze Metal enemies.	He's out of control and just can't get enough of<br>those lovely hoops! Will the spinning ever stop?<br>Has a chance to freeze Metal enemies.
155			
156			
157			
158	Transformed into a dragon through the cursed<br>magic of the Nyanko Engine. (Area attack)<br>Strong + 100% knockback against Black.	Deciding to fully fuse with the Nyanko Engine,<br>the great general gave in to darkness. (Area att.)<br>Strong + 100% knockback against Black.	Totally consumed by corruption. The only emotion<br>remaining is the will to destruction. (Area Attacks)<br>Strong vs + 100% knockback against Black.
159	Almost obliterated her school on the first<br>day of class with her sword's dark magic.<br>Massive damage against Angels. (Area Attack)	Banished her principal to the netherworld at the<br>graduation ceremony. Things never change.<br>Massive damage against Angels. (Area Attack)	All of the nice boys who confess their love to her<br>soon find themselves "graduated" to the next world.<br>Massive damage against Angels. (Area Attack)
160			
161			
162			
163			
164			
165			
166			
167			
168	Not sure if this is a Cat…<br>There's just something about<br>those legs…	Unbelievable, just unbelievable.<br>Seems like this one slows all<br>enemies in range.	Is it a Cat? Or an overly melodramatic<br>comic-book assassin of some kind?<br>Slows enemies with Area Attacks.
169	Not sure if this is a Cat…<br>There's just something about<br>that neck…	You can't be serious. Really?!<br>Seems like this one knocks back<br>enemies from afar.	A mighty sumo wrester who sharpened<br>his expert skills fighting on the streets.<br>Wave attacks with 100% Critical chance!
170	Not sure if this is a Cat…<br>There's just something about<br>those arms…	Are you kidding me?!<br>Seems like this one does massive damage<br>(sometimes critical) to just one enemy.	It seems like this one is a straw-hatted pirate<br>of some kind. But we really can't be sure.<br>Massive damage vs. one enemy. (Might Crit.)
171	Not sure if this is a Cat…<br>There's just something about<br>that belly…	No. Way. This can't be right…<br>Seems like this one freezes all<br>enemies in range.	A totally unknown extraterrestrial lifeform of<br>unimaginable power... or maybe just a weird Cat?<br>Freezes and weakens all enemies in area atk range.
172	A quantum blip transformed Nyandam into a toddler<br>with a super old face. Creeps everyone out, for real.<br>Sometimes slows enemies (Area Attack)	Since rescuing a kitten from the drain of the<br>school pool, it follows him to school each day.<br>Sometimes slows enemies (Area Attack)	His nature won out and now he rules the<br>kindergarten with an iron fist. ALL WILL KNEEL.<br>Sometimes slows enemies (Area Attack)
173	Dropping in from "Survive! Mola Mola!"<br>The lone survivor of 300,000,000 brothers -<br>the ocean's a harsh realm, man.	Playing life on Hard Mode, a Mola Mola<br>is always within sight of paradise.<br>Attacks from range by screaming… then dying.	
174	Dropping in from "Survive! Mola Mola!"<br>His size is almost without equal, and so<br>is his royal arrogance. (Area Attack)	Bears the burden of a watery destiny,<br>Regrets? A good long scream can take<br>care of doubt and worries! (Area Attack)	
175	A cat trained by Molas for marine combat.<br>Still kinda wishes he became a meteorologist.<br>Resistant to Red enemy attacks. (Area Atk)	Evolved arms instead of legs… weird.<br>Hates being stepped all over. Stop it!!!<br>Resistant to Red enemy attacks. (Area Atk)	
176	A sugary treat who likes cuddling rough!<br>Wraps his enemy in jet-puffed sweetness<br>before viciously smashing them over and over.	Quickly toasted over a roaring bonfire,<br>his burning body brings back happy memories.<br>Delivers powerful beatings with his soft body!	
177	This dragon lord seeks to set it all ablaze.<br>Lay waste with epically mighty area attacks.<br>Might knockback and slow Angels.	An ancient dragon of unquestioned authority.<br>Lay waste with epically mighty area attacks.<br>Might knockback and slow Angels.	Brutal attacks powered by hate - a family<br>tradition of mercilessness. 100% Barrier break,<br>plus Knockback & Slow vs Angels (Area Atk)
178			
179	Heroes from Shoumetsu Toshi! A brave<br>deliveryman and a girl of mystery.<br>Tough vs Floating (Area Attack)	Gave a stray Cat a ride, thinking it was Sophia.<br>Seeking answers in the destroyed metropolis.<br>Tough vs Floating (Area Attack)	Travelling with a mysterious being that is the<br>key to find missing Yuki. Tough vs Floating<br>Extra money from enemies (Area Atk)
180	Mysteriously reappeared after being lost in<br>the city's destruction, with strange new powers...<br>Massive Area damage to Floating enemies.	Enigmatic girl with the power to call forth<br>souls (with some help from the Cat).<br>Massive Area damage to Floating enemies.	Since growing cat ears to better speak with<br>Cats, her soul communion has also improved?<br>Massive Area damage to Floating enemies.
181	Girl lost during the city's destruction, reborn as<br>a Cat but retaining all her mysterious powers.<br>Small chance to Freeze Floating.	Girl who became a Cat after the city's destruction,<br>now slowly regaining her former charisma.<br>Small chance to Freeze Floating.	
182			
183	Celebrate "The Battle Cats POP!" on 3DS!<br>Other hobbies: Parties, Tennis, Medicine.<br>Gets lots of money from defeated enemies!	Celebrate "The Battle Cats POP!" on 3DS!<br>Has a complex thanks to his popular brother.<br>Gets lots of money from defeated enemies!	Celebrate "The Battle Cats POP!" on 3DS!<br>This Cat always seems to be in another castle.<br>Gets lots of money from defeated enemies!
184	Mr. Ninja!!Fever joins the fight!<br>Leaps gracefully from planet to planet dicing up aliens.<br>Massive damage to Alien enemies (Area Attack)	A kunoichi from "Mr. Ninja!!Fever"!<br>As bright and beautiful as her peerless swordplay.<br>Massive damage to Alien enemies (Area Attack)	
185	Joining the fight from Merc Storia! Silver<br>beast with a blunt and logical attitude.<br>Might Critical Attack, Tough vs Metal.	Joining the fight from Merc Storia!<br>A beguiling and handsome lady beast.<br>Might Critical Attack, Tough vs Metal.	Joining the fight from Merc Storia!<br>Partisan fencer with radical fashion sense.<br>Might Critical Attack, Tough vs Metal.
186	Joining the fight from Merc Storia! Lady who<br>admires dragons, dreaming of a celestial bridge.<br>Area attacks might Freeze Red/Black.	Joining the fight from Merc Storia! Can't resist<br>the dragon scales that build heaven's bridge.<br>Area attacks might Freeze Red/Black.	
187	Joining the fight from Merc Storia! A kind<br>knight troubled by uncanny strength from birth.<br>Tough vs Angel enemies.	Joining the fight from Merc Storia!<br>Merc says he's full of secrets.<br>Tough vs Angel enemies.	Joining the fight from Merc Storia! Merc says he<br>fawns over cute things when no one is looking.<br>Tough vs Angel enemies, might Dodge.
188	Joining the fight from Merc Storia! Odd girl<br>who has made pacts with creatures of night.<br>Long-range Area attacks, Strong vs Black.	Joining the fight from Merc Storia! Touching<br>her coffin will cause it to crumble to dust.<br>Long-range Area attacks, Strong vs Black.	
189	Joining the fight from Merc Storia! Master<br>sorcerer cursed for unknown reasons.<br>Area attacks might Knockback Angels.	Joining the fight from Merc Storia! Recovered<br>treasured items thanks to loyal disciples.<br>Area attacks might Knockback Angels.	
190	Joining the fight from Merc Storia! Gentleman of<br>the dark, here thanks to a pact with a certain lad.<br>Might Knockback/Slow Red & Black (Area)	Joining the fight from Merc Storia! An eccentric<br>citizen of the dreamworld. (Area Attacks)<br>Might Knockback/Slow Red & Black	
191	Joining the fight from Merc Storia!<br>Everyone's favorite PR pro is here!<br>Might Slow a single enemy	Joining the fight from Merc Storia! Not<br>only PR, she's an apple merchant too!<br>Might Slow a single enemy	Joining the fight from Merc Storia!<br>The Battle Cats needs PR help too, right?<br>Might Slow a single enemy
192			
193			
194	A super-genius who dreamed of alien invasion.<br>Recreated himself as a cyborg hero to defend<br>the planet! Area attacks might freeze Aliens.	A bullied kid who hid in his room for years. No more!<br>Now channels his fear into fighting for justice!<br>Attack power increases when damaged! (Area)	Reinventing himself, he has changed his destiny!<br>But can he change society with his powers?<br>Strong vs. Aliens, immune to wave attacks.
195	Studied back issues of Mechanix Monthly to<br>build the unstoppable killing machine of her dreams.<br>Resistant to Alien/Black. Survives one lethal strike.	Broke into an airport and took apart a jet engine<br>overnight to get parts for her mecha masterpiece.<br>Magnifique. Knockback + Weaken against Aliens.	Recruited by NYASA to engineer mechs for<br>deep-space recon. Astrophysics? No sweat.<br>Massive area damage + Slow vs Aliens.
196	Wears a special suit that blocks all UV light,<br>but it can't stop the papparazzi from following…<br>Massive area damage against Floating/Aliens.	Became a monster to fight the terrors of the night.<br>Still, weak to autograph requests from nice old ladies.<br>Massive area damage against Angels/Aliens.	Gave in and took a three-movie deal to afford a<br>high-tech suit powered by the fear of evildoers.<br>Massive Area damage to Aliens and Relics.
197	Bends metal when excited. Loves cereal, but<br>always ends up with a useless spoon before he<br>can eat. Sometimes slows Alien movement.	His happiness opens up extradimensional portals.<br>Don't accept his invitation to play catch-ball.<br>Sometimes slows Alien movement.	All will be consumed by the portals he creates.<br>Soon he himself will be sucked into the dark<br>realms. Sometimes slows Alien movement.
198	Exorcist who time travelled from the past.<br>Always trying to purge sportscars of evil.<br>Sometimes weakens non-Metal enemies.	Magical Girl by Alien contract - the<br>shiny staff came as a signing bonus.<br>Sometimes weakens non-Metal enemies.	The contract has been fulfilled. Ultimate power<br>is within her grasp. But now she just works as a<br>theme park villain. 100% weakens non-Metal.
199	Spent so long hunting the perfect wave.<br>Now he's reached 40 without truly living life(?)<br>Might stop Aliens and survive lethal strikes. (Area)	Says he wants to escape his desert island, but<br>he's secretly enjoying his permenant vacation.<br>Might stop Aliens and survive lethal strikes. (Area)	Giving up on rescue, he is now married to the sea.<br>Will the waves be kind or cruel today? Might stop<br>Aliens, will 100% survive one lethal strike. (Area)
200	Metal skin reduces all damage taken to a minimum.<br>Alloy is only 87.5% purity, criticals might hurt him.<br>Can't upgrade to (+) levels. (Metal)	Metal skin reduces all damage taken to a minimum.<br>Proud of his beautiful skin, leaves his arms uncovered.<br>Can't upgrade to (+) levels. (Metal)	
201	Keeps the Cat Army marching to a lively beat.<br>So strict about keeping time, he only performs solo.<br>Might reduce Metal damage by half.	Heads an elite Cat Academy. Has inspired 40 years<br>of students to conquer unknown lands for catkind.<br>Might reduce Metal damage by half.	Inherited a rice dumpling business. Looking<br>for a wife who can keep perfect time with his<br>mallet strikes. Might Weaken Metal enemies.
202	Celebrating The Battle Cats' Taiwan version,<br>this Cat got too excited and steamed itself in a basket.<br>Is that meat inside, or PURE PASSION?!	Celebrating The Battle Cats' Taiwan version,<br>grew bigger to satisfy more hungry people. There's<br>no basis to rumors he's got pizza filling inside.	
203	Cat Army R&D cloned an ancient superweapon:<br>a cute Tanuki that can survive being set on fire…<br>Might weaken Alien/Angel attacks. (Area Attack)	Communing with ancient spirits, Kachi now gathers<br>all the heat he has absorbed for explosive assaults!<br>Weakens Alien/Angel attacks. (Area Attack)	Ancient magic empowered by modern technology.<br>Burn it all down and leave no evidence behind!<br>Weakens Alien/Angel attacks. (Area Attack)
204			
205			
206			
207			
208			
209	A tiny guy with dreams of becoming that<br>Cat famous for cost-efficiency.<br>	A tiny guy with dreams of becoming that<br>Cat famous for glorious glistening biceps.<br>	A tiny guy with dreams of becoming that<br>Cat famous for a totally sweet hairdo.<br>Trimmed down for best cost performance.
210	A tiny guy with dreams of becoming that<br>Cat strong enough to move a pebble.<br>Tough. High health. (Area Attack)	A tiny guy with dreams of becoming that<br>Cat strong enough to move a small rock.<br>Rigid defense. Now with corners (Area Attack)	A tiny guy with dreams of becoming that<br>Cat famous for Really Good™ Defense.<br>Same attack power as always. (Area Attack)
211	A tiny guy with dreams of becoming that<br>combat maniac who's strong against Red.<br>	A tiny guy with dreams of becoming that<br>hero wannabe who's strong against Red.<br>	A tiny guy with dreams of becoming that<br>decent dark knight wannabe Cat.<br>Mighty power against Angels.
212	A notorious spy who insists on cosplaying during<br>every heist. She's never failed a mission, though…<br>100% chance of slowing Alien/Red. (Area Attack)	Operative of the infamous Cat assassin's guild, there<br>and gone without a single trace. Delivers pizza as a<br>cover. Strong area damage against Alien/Red.	Commander of the F.O.X. intelligence agency,<br>she ruthlessly directs a global network of expert<br>killers. Area atks knockback+weaken Alien/Red.
213	A quarter pound of A-grade aggression!<br>Perfect for a quick lunch or guerilla assaults.<br>100% beef! You didn't think...?	Piled high with lettuce, cheese and fighting spirit!<br>The deluxe set for those with true hunger for battle.<br>Eat in moderation, and remember to exercise!	Celebrate 3 years of The Battle Cats!<br>Time to feed your enemies 1000 KCal of hurt!<br>Your choice of sides: fries... or fries... or fries.
214	Recruited from Metal Slug Defense!<br>An elite commando masked as a typical POW<br>Might survive lethal attacks. (Area Atk)	Recruited from Metal Slug Defense!<br>Lays down cover fire for the Cats with gas<br>bombs. Might survive lethal attacks. (Area Atk)	
215	Recruited from Metal Slug Defense!<br>This major excels at programming recruits.<br>Might temporarily freeze Aliens.	Recruited from Metal Slug Defense!<br>A top intel officer who lets loose with artillery.<br>Might temporarily freeze Aliens.	
216	Recruited from Metal Slug Defense!<br>This captain takes pride in his trademark shades.<br>Might knockback Aliens (Area Atk)	Recruited from Metal Slug Defense!<br>Master of the shotgun, Marco's best friend.<br>Might knockback Aliens (Area Atk)	
217	Recruited from Metal Slug Defense!<br>Staff sergeant in the Intel division.<br>Might cause massive damage to Aliens (Area Atk)	Recruited from Metal Slug Defense!<br>Demolitions, survival, spying - she's mastered it all!<br>Might cause massive damage to Aliens (Area Atk)	
218	Recruited from Metal Slug Defense!<br>A demure yet naïve Sgt. Major in the intel<br>division. Might slow Aliens.	Recruited from Metal Slug Defense!<br>Easygoing and genuine, a crackshot with<br>handguns. Might slow Aliens.	
219	Recruited from Metal Slug Defense!<br>A small, high-performance single-<br>passenger tank. (Area Atk)	Recruited from Metal Slug Defense!<br>Battle-tested model with superior<br>mobility and firepower. (Area Atk)	
220	Recruited from Metal Slug Defense!<br>Feared by allies and foes alike as the<br>"Demon Sergeant" Survives one lethal strike.	Recruited from Metal Slug Defense!<br>Shirtless even in subzero temperatures.<br>Survives one lethal strike.	
221	Recruited from Metal Slug Defense!<br>Yep, they're actual Martians.<br>Might weaken Aliens.	Recruited from Metal Slug Defense!<br>Mastered warping. No motivation to try<br>now, though. Might weaken Aliens.	
222	Recruited from Metal Slug Defense!<br>Giant crab that uses tank wreckage to attack.<br>Strong against Aliens. (Area Atk)	Recruited from Metal Slug Defense!<br>Terrifying claws wade towards the beachhead!<br>Strong against Aliens. (Area Atk)	
223	Recruited from Metal Slug Defense!<br>A robotic guardian who patrols secret factories.<br>Might knockback + slow Aliens. (Area Atk)	Recruited from Metal Slug Defense!<br>Fires lasers powerful enough to vaporize all matter.<br>Might knockback + slow Aliens. (Area Atk)	
224	Recruited from Metal Slug Defense!<br>A charismatic ex-general plotting a coup.<br>Knockback + resistant to Aliens. (Area Atk)	Recruited from Metal Slug Defense!<br>Fights corruption with rocket launcher in hand.<br>Knockback + resistant to Aliens. (Area Atk)	
225	Recruited from Metal Slug Defense!<br>Large bomber copter used by the Morden Army.<br>Might knockback + Strong def. vs Floating. (Area Atk)	Recruited from Metal Slug Defense!<br>A fighter used to ensure the safety of VIPs.<br>Might knockback + Strong def. vs Floating. (Area Atk)	
226	A precocious young sorcerer who has enslaved<br>a nightmare. Its infernal powers deliver massive<br>damage only to Aliens, Floating and enemy bases.	With his nightmare's true form revealed, they now<br>journey collecting wicked souls. Huge damage only to<br>Angel/Alien, gets big money for each enemy defeat.	Picked up an online degree in occult anatomy. 1st<br>attempt at a soul transplant: GREAT SUCCESS!(?)<br>Delivers extreme damage, but only to Aliens/bases!
227	A mischevious Cat who hid inside<br>a carved autumn squash. Lives to<br>startle unsuspecting passersby.	Those who live only for pranks become cursed<br>to wander the world as ghosts… but they<br>still never learn. Might freeze Black enemies briefly.	
228	Everyone's favorite cutie, dressed up for<br>Halloween but doesn't have the heart to<br>pull any pranks on others. Might Critical.	No magic talent, but she seemed so excited<br>they made her a witch anyhow. A little more<br>confidence might make all the difference (Critical)	
229	The mistress of wind really gets into Halloween each year.<br>Blasts enemies with unearthly plasma beams.<br>Massive damage against Alien enemies from range.	This hyper-maiden's idea of a good Halloween prank<br>is a plasma beam shot when its least expected.<br>Massive damage against Alien enemies from range.	
230	The thunder queen really gets into Halloween each year.<br>Shocks baddies with volleys of spectral lightning.<br>Massive damage against Black enemies from range.	Halloween is the best chance to tease nice boys.<br>Shocks baddies with volleys of spectral lightning.<br>Massive damage against Black enemies from range.	
231			
