000	El gato básico.<br><br>	Punto a favor: sus músculos están bien definidos.<br>El gato básico.<br>	Punto a favor: sus músculos están bien definidos.<br>Otro punto a favor: ¡tiene pelazo!<br>
130	Les juró lealtad a aquellos que lo vencieron. Nadie se lo<br>pidió, pero se unió al ejército felino de todas formas.<br>Puede repeler. (Ataque de área).	Una niña con muchos pájaros en la cabeza que por fin<br>logró hacerse con una criatura felina. Su papi es profesor.<br>Puede repeler. (Ataque de área).	Ahora siente la emoción de la primera vez.<br>No la siente por ti, no te flipes.<br>Puede repeler. (Ataque de área).
131	Una hermanita que sueña con ser una estrella.<br>Si tuviera valor para cantar o algo...<br>Admira a Moneko. Puede infligir daño crítico.	Está hecha para actuar a pesar de su miedo al público.<br>Quiere cantar, pero sigue sin salirle la voz en el escenario.<br>Puede infligir daño crítico.	
132	Un gato que ha dedicado toda su vida a perfeccionar<br>los potentes ataques a media distancia del kungfú.<br>Sus golpes adquieren más poder destructivo.	Un maestro del kungfú legendario que<br>no por ser más viejo, bebe con menos alegría.<br>Sus golpes adquieren más poder destructivo.	Ha alcanzado la maestría de las artes místicas<br>tras años dedicados a entrenarse en el estilo de<br>la garra de hierro. Ataques únicos muy potentes.
133			
134	Un agente de élite que tiene el secreto de la bioarma<br>del gobierno llamada GALÁPAGO. Resistente a ataques<br>de enemigos negros y ángeles. (Ataque de área).	Un GALÁPAGO muy poderoso mejorado<br>con un virus supersecreto. Resistente a ataques<br>de enemigos negros y ángeles. (Ataque de área).	Para impresionar a la chica que le gusta del laboratorio,<br>decidió cambiar de estilo radicalmente (y comprar dónuts).<br>Resistente a ataques de enemigos negros y ángeles.
135	Es el campeón del combate «Pájaro Vs. Gato»<br>que se celebra en el lago todos los años. Puede<br>repeler a enemigos voladores y ángeles. (Ataque de área).	Decidió esforzarse hasta el límite para llegar al espacio.<br>Estuvo recogiendo energía estelar hasta que mutó. Siempre<br>repele a enemigos voladores y ángeles. (Ataque de área).	Ha llegado hasta el confín del universo<br>y ha visto toda la verdad. Siempre repele<br>y paraliza a voladores y ángeles. (Ataque de área).
136	Tiene la misión de encontrar a alguien más fuerte<br>que él. Apunta hacia arriba y ten cuidado con los abanicos.<br>Puede paralizar a enemigos rojos y ángeles. (Ataque de área).	Una pandilla de gatos salvajes que se dio cuenta<br>de que esfuerzo y resultados son dos cosas muy distintas.<br>Puede paralizar a enemigos rojos y ángeles. (Ataque de área).	Puede que el fin no justifique los medios,<br>pero sí tener un buen cochazo.<br>Puede paralizar a enemigos rojos y ángeles. (Ataque de área).
137	Dicen que existe una organización oscura que concede<br>los deseos que se piden a esas estatuas. Superfuerte<br>contra enemigos negros y ángeles. (Ataque de área).	Es la fortaleza oculta de la organización de Jizo. ¿Esto<br>no era información confidencial?... Superfuerte<br>contra enemigos negros y ángeles. (Ataque de área).	La organización de Jizo está ya a la ofensiva mientras huye<br>de los ataques con misiles tácticos del gobierno. Superfuerte<br>contra enemigos negros y ángeles. (Ataque de área).
138	Una hermosa gatita que ha venido desde la Luna para<br>una misión. Su verdadera naturaleza es un secreto. Puede<br>ralentizar a enemigos ángeles y metálicos. (Ataque de área).	El prototipo de una de las muchas armas felinas<br>fabricadas a partir de planos robados. Puede<br>ralentizar a enemigos ángeles y metálicos. (Ataque de área).	Una vez casi se carga toda la galaxia. ¡Ups ,vaya!<br>Eso pasa cuando diseñas una IA sin conciencia.<br>Ralentiza a enemigos ángeles y metálicos. (Ataque de área).
139			
140	Got hooked on new capsule material<br>somehow managed to transform itself<br>into something similar (Area Attack)	See the truth inside. Macho Cat's trainer.<br>Everyone is facsinated by its rippling triceps.<br>Distant relative of the Titan Cat. (Area attack)	
141	Una deidad que trasciende el tiempo y el espacio.<br>Esta paradoja le ha dado una apariencia infantil<br>a pesar de sus necesidades adultas. ¿De verdad es él?...	Una deidad que trasciende el tiempo y el espacio.<br>Con este cuerpazo, está seguro de que logrará<br>conquistar por fin a la Valquiria.	
142			
143	Su cálida sonrisa y su aura curativa hacen que los<br>pinchazos con la jeringuilla no duelan tanto. Puede repeler<br>y ralentizar a enemigos negros y voladores. (Ataque de área).	Una enfermera de batalla que salva vidas con su jeringuilla.<br>Mejora su área de ataque y su poder defensivo. Puede repeler<br>y ralentizar a enemigos negros y voladores. (Ataque de área).	Una doctora muy querida y veterana de muchas batallas.<br>Sus ataques van cargados de medicina vital. Puede repeler<br>y ralentizar a enemigos negros y voladores. (Ataque de área).
144	Nadie sabe por qué, pero este gato ha pasado por un duro<br>entrenamiento para convertirse en un espléndido fuerte.<br>Su ataque de oleada consiste básicamente en gritar muy alto.	Se ha comprado el casco del disfraz por internet.<br>Le gusta acosar a los extraños fingiendo ser<br>una torre. Dispara si se emociona mucho.	Gracias a su férrea voluntad, se transformó en<br>la base gatuna ideal con rayos láser modernos.<br>Sigue haciendo «pium, pium» con la boca al disparar.
145	Una leyenda sin nombre del Salvaje Oeste.<br>Hoy se dedica a poner a los forajidos ante la justicia.<br>Puede ralentizar a enemigos negros.	Un pistolero errante que blande su pistola en nombre<br>de la justicia. Su lengua materna es el italiano.<br>Puede ralentizar a enemigos negros.	Se retiró de la vida de forajido y ahora entrena<br>para ganar la competición de monta de toros.<br>Puede ralentizar a enemigos negros.
146	Este gato es tan ambicioso que construyó unos<br>zancos de madera para llegar mejor a las estrellas.<br>Puede repeler a ángeles.	Él solo no podía crear el tótem, así que llamó a unos<br>colegas para que le ayudaran. Por supuesto, él va arriba.<br>Puede repeler a ángeles.	Por suerte, este dúo ha elegido unas piezas baratas de<br>mobiliario sueco que no destrozarán sus sueños al caer.<br>Puede repeler a ángeles.
147	La potencia de fuego de esta unidad<br>está oculta tras la nostalgia del pasado.<br>Puede repeler a enemigos negros.	Soñaba con alcanzar el cielo, así que permitió que los<br>ingenieros del ejército felino le instalasen alta tecnología.<br>Puede repeler a enemigos negros.	Lo capturó una organización malvada y lo reconstruyó<br>para convertirlo en un androide imparable y sin escrúpulos.<br>Repele a enemigos negros. (¡Pero es supermono!).
148	Hijo de productores de cacahuetes que se pasó al rock para<br>no tener que confesar su alergia a los frutos secos.<br>Resistente a ataques de ángeles.	Su segundo álbum fracasó e intentó dedicarse a la pintura.<br>Solo sabe dibujar cacahuetes, así que no vende mucho.<br>Resistente a ataques de ángeles.	Puede parecer que los fideos son un plato sencillo,<br>pero prepararlos bien es todo un arte.<br>Aumenta su defensa contra ángeles.
149	Una sirena que llegó a tierra para conocer a un príncipe.<br>Sobrevive fuera del agua cogiendo mucho aire cada vez.<br>Eficaz contra voladores y puede sobrevivir a un golpe mortal.	Al oír que unos terroristas habían secuestrado al príncipe,<br>la sirena se unió a los boinas verdes para rescatarlo.<br>Eficaz contra voladores y puede sobrevivir a un golpe mortal.	Pone en riesgo su vida para contar la verdad de la<br>Gran Guerra Gatuna. Su integridad periodística causa<br>daño de área a voladores. Puede sobrevivir a un golpe mortal.
150	Sueña con un tal Romeo al que conoció por internet.<br>Su libro favorito es «Orgullo, prejuicio y peluquería».<br>Paraliza brevemente a ángeles. (Ataque de área).	Ya ha crecido, pero sigue encaprichada con su<br>Romeo cibernético. Le gustan los kebabs de pollo.<br>Paraliza brevemente a ángeles. (Ataque de área).	Resulta que Romeo era un imbécil. Ahora busca un<br>cambio de imagen total (y también a un samurái guapo).<br>Paraliza brevemente a ángeles. (Ataque de área).
151	Levantar cosas pesadas es el summum de la virilidad.<br>Mantiene a once chiquillos, a siete esposas y a sus padres.<br>Superfuerte contra enemigos negros. (Ataque de área).	Llegó a la duodécima ronda de la vida con su propia<br>fortaleza e inteligencia. ¡No hay quien la pare!<br>Superfuerte contra enemigos negros. (Ataque de área).	El mayor fan de la comida basura, que se va a llevar una<br>sorpresa cuando se dé cuenta de que le han puesto piña...<br>Superfuerte contra enemigos negros. (Ataque de área).
152	Una pareja muy estilosa que se ha sumado a la moda del<br>patinaje sobre hielo. Empezaron hace solo un mes<br>¡y no hay quien pare a estos amantes! (Ataque de área).	El patinaje ya está anticuado; este año toca teatro clásico.<br>Han captado la atención de los medios y ahora convierten<br>el arte clásico en algo molón. (Ataque de área).	Dejaron de tomarse los escenarios tan en serio y lo único<br>que quieren ahora es regalarle unas risas a la gente.<br>Eficaces contra enemigos reliquias. (Ataque de área).
153	Se cansó de hacer tostadas todos los días<br>y se rebeló lanzándole una a la cara a papá.<br>Puede ralentizar a ángeles. (Ataque de área).	Sirve para proyectar las estrellas de Hollywood, pero con los<br>medios digitales, le preocupa haberse quedado obsoleto.<br>Puede ralentizar a ángeles. (Ataque de área).	Sus tristes melodías quitan las ganas de luchar a cualquiera.<br>Puede ralentizar a ángeles y romper barreras.<br>(Ataque de área).
154	Se estaba poniendo fondón,<br>así que se ejercita con el hula-hoop.<br>Puede paralizar a enemigos metálicos.	Empezó a ejercitarse para mantener la figura,<br>pero ahora su figura ha cambiado de forma inesperada.<br>Puede paralizar a enemigos metálicos.	Está descontrolado y solo quiere más y más aros.<br>¿Dejará de girar un día de estos?<br>Puede paralizar a enemigos metálicos.
155			
156			
157			
158	La magia oscura del Motor Nyanko lo transformó<br>en dragón. Eficaz contra enemigos negros<br>y siempre los repele. (Ataque de área).	Decidido a fusionarse por completo con el Motor Nyanko,<br>el gran general se abandonó a la oscuridad. Eficaz contra<br>enemigos negros y siempre los repele. (Ataque de área).	Completamente consumido por la corrupción, la única<br>emoción que le queda es el ansia de destrucción. Eficaz<br>contra enemigos negros y siempre los repele. (Ataque de área).
159	Casi se carga la escuela el primer día de clase<br>con la magia oscura de su espada.<br>Superfuerte contra ángeles. (Ataque de área).	Mandó al director al inframundo durante la ceremonia<br>de graduación. Hay cosas que nunca cambian...<br>Superfuerte contra ángeles. (Ataque de área).	Todos los jovencitos que le declaran su amor acaban<br>graduados y con contrato indefinido en el otro barrio.<br>Superfuerte contra ángeles. (Ataque de área).
160			
161			
162			
163			
164			
165			
166			
167			
168	No está muy claro si es un gato...<br>Hay algo que no cuadra...<br>¿Serán las piernas?...	Es increíble. Increíble.<br>Parece que este ralentiza<br>a los enemigos a su alcance.	¿Es un gato? ¿O es un asesino<br>de cómic demasiado melodramático?<br>Ralentiza a enemigos. (Ataque de área).
169	No está muy claro si es un gato...<br>Hay algo que no cuadra...<br>¿Será el cuello?	Tiene que ser coña... ¡¿De verdad?!<br>Parece que este repele<br>a los enemigos desde lejos.	Un poderoso luchador de sumo que perfeccionó<br>sus habilidades peleándose en las calles.<br>Ataca con oleadas que siempre infligen daño crítico.
170	No está muy claro si es un gato...<br>Hay algo que no cuadra...<br>¿Serán los brazos?	¡¿Te estás quedando conmigo?!<br>Parece que este tiene superfuerza contra un solo<br>enemigo, y a veces inflige daño crítico.	Parece que este es un pirata con sombrero de paja,<br>pero no está del todo claro. Superfuerte contra<br>un solo enemigo y a veces inflige daño crítico.
171	No está muy claro si es un gato...<br>Hay algo que no cuadra...<br>¿Será la panza?	No puede ser... Es que no puede ser...<br>Parece que este paraliza<br>a los enemigos a su alcance.	Una forma de vida extraterrestre desconocida y de una fuerza<br>inimaginable. ¿O quizá solo sea un gato raro? Paraliza a los<br>enemigos a su alcance y los desgasta. (Ataque de área).
172	Un fallo cuántico lo transformó en un bebé con cara de viejo.<br>Pone los pelos como escarpias hasta al más valiente.<br>Puede ralentizar. (Ataque de área).	Desde que rescató a un gatito de ahogarse en una piscina,<br>lo sigue todos los días de casa a clase y de clase a casa.<br>Puede ralentizar. (Ataque de área).	Su naturaleza ganó la batalla y ahora dirige la guardería<br>con puño de hierro. TODOS SE ARRODILLARÁN.<br>Puede ralentizar. (Ataque de área).
173	Dropping in from "Survive! Mola Mola!"<br>The lone survivor of 300,000,000 brothers -<br>the ocean's a harsh realm, man.	Playing life on Hard Mode, a Mola Mola<br>is always within sight of paradise.<br>Attacks from range by screaming… then dying.	Vanishes as soon as it sees a larger fish. Or it<br>would, if it didn't take so long to turn about and run.<br>What looks like a beard is really just parasites.
174	Dropping in from "Survive! Mola Mola!"<br>His size is almost without equal, and so<br>is his royal arrogance. (Area Attack)	Bears the burden of a watery destiny,<br>Regrets? A good long scream can take<br>care of doubt and worries! (Area Attack)	A body so large matches well with the vastness<br>of the ocean. Death can come at any time, so<br>live as if this day was your last. (Area attack)
175	A cat trained by Molas for marine combat.<br>Still kinda wishes he became a meteorologist.<br>Resistant to Red enemy attacks. (Area Atk)	Evolved arms instead of legs… weird.<br>Hates being stepped all over. Stop it!!!<br>Resistant to Red enemy attacks. (Area Atk)	
176	Un dulce esponjosito al que le gustan los abrazos bien<br>fuertes. Envuelve a sus enemigos en dulzura antes de<br>darles la del pulpo sin parar.	Está tostadito sobre una cálida hoguera<br>y su cuerpo siempre trae buenos recuerdos.<br>Da una buena somanta de palos (tan blandito que parecía...).	
177	Este señor dragón quiere que todo arda en llamas.<br>Causa estragos con sus potentes ataques. Puede repeler<br>y ralentizar a ángeles. (Ataque de área).	Un dragón antiguo de autoridad incuestionable.<br>Causa estragos con sus potentes ataques. Puede repeler<br>y ralentizar a ángeles. (Ataque de área).	Sus ataques están alimentados por el odio y<br>la crueldad de una tradición familiar. Repele y ralentiza<br>a ángeles y siempre rompe barreras. (Ataque de área).
178			
179	Heroes from Shoumetsu Toshi! A brave<br>deliveryman and a girl of mystery.<br>Tough vs Floating (Area Attack)	Gave a stray Cat a ride, thinking it was Sophia.<br>Seeking answers in the destroyed metropolis.<br>Tough vs Floating (Area Attack)	Travelling with a mysterious being that is the<br>key to find missing Yuki. Tough vs Floating<br>Extra money from enemies (Area Atk)
180	Mysteriously reappeared after being lost in<br>the city's destruction, with strange new powers...<br>Massive Area damage to Floating enemies.	Enigmatic girl with the power to call forth<br>souls (with some help from the Cat).<br>Massive Area damage to Floating enemies.	Since growing cat ears to better speak with<br>Cats, her soul communion has also improved?<br>Massive Area damage to Floating enemies.
181	Girl lost during the city's destruction, reborn as<br>a Cat but retaining all her mysterious powers.<br>Small chance to Freeze Floating.	Girl who became a Cat after the city's destruction,<br>now slowly regaining her former charisma.<br>Small chance to Freeze Floating.	
182			
183	Celebrate "The Battle Cats POP!" on 3DS!<br>Other hobbies: Parties, Tennis, Medicine.<br>Gets lots of money from defeated enemies!	Celebrate "The Battle Cats POP!" on 3DS!<br>Has a complex thanks to his popular brother.<br>Gets lots of money from defeated enemies!	Celebrate "The Battle Cats POP!" on 3DS!<br>This Cat always seems to be in another castle.<br>Gets lots of money from defeated enemies!
184	Mr. Ninja!!Fever joins the fight!<br>Leaps gracefully from planet to planet dicing up aliens.<br>Massive damage to Alien enemies (Area Attack)	A kunoichi from "Mr. Ninja!!Fever"!<br>As bright and beautiful as her peerless swordplay.<br>Massive damage to Alien enemies (Area Attack)	
185	Joining the fight from Merc Storia! Silver<br>beast with a blunt and logical attitude.<br>Might Critical Attack, Tough vs Metal.	Joining the fight from Merc Storia!<br>A beguiling and handsome lady beast.<br>Might Critical Attack, Tough vs Metal.	Joining the fight from Merc Storia!<br>Partisan fencer with radical fashion sense.<br>Might Critical Attack, Tough vs Metal.
186	Joining the fight from Merc Storia! Lady who<br>admires dragons, dreaming of a celestial bridge.<br>Area attacks might Freeze Red/Black.	Joining the fight from Merc Storia! Can't resist<br>the dragon scales that build heaven's bridge.<br>Area attacks might Freeze Red/Black.	
187	Joining the fight from Merc Storia! A kind<br>knight troubled by uncanny strength from birth.<br>Tough vs Angel enemies.	Joining the fight from Merc Storia!<br>Merc says he's full of secrets.<br>Tough vs Angel enemies.	Joining the fight from Merc Storia! Merc says he<br>fawns over cute things when no one is looking.<br>Tough vs Angel enemies, might Dodge.
188	Joining the fight from Merc Storia! Odd girl<br>who has made pacts with creatures of night.<br>Long-range Area attacks, Strong vs Black.	Joining the fight from Merc Storia! Touching<br>her coffin will cause it to crumble to dust.<br>Long-range Area attacks, Strong vs Black.	Joining the fight from Merc Storia! The next head of<br>family of House Antol who invites souls into darkness.<br>Strong vs Black and Aku, 100% chance to Slow.
189	Joining the fight from Merc Storia! Master<br>sorcerer cursed for unknown reasons.<br>Area attacks might Knockback Angels.	Joining the fight from Merc Storia! Recovered<br>treasured items thanks to loyal disciples.<br>Area attacks might Knockback Angels.	
190	Joining the fight from Merc Storia! Gentleman of<br>the dark, here thanks to a pact with a certain lad.<br>Might Knockback/Slow Red & Black (Area)	Joining the fight from Merc Storia! An eccentric<br>citizen of the dreamworld. (Area Attacks)<br>Might Knockback/Slow Red & Black	
191	Joining the fight from Merc Storia!<br>Everyone's favorite PR pro is here!<br>Might Slow a single enemy	Joining the fight from Merc Storia! Not<br>only PR, she's an apple merchant too!<br>Might Slow a single enemy	Joining the fight from Merc Storia!<br>The Battle Cats needs PR help too, right?<br>Might Slow a single enemy
192			
193			
194	Un supergenio que soñó con una invasión alien.<br>Se recreó como un héroe cíborg para defender el planeta.<br>Puede paralizar a álienes. (Ataque de área).	En el cole se metían con él y se escondía en su cuarto,<br>¡pero ya no más! Ahora canaliza su miedo para luchar por<br>la justicia. Se fortalece tras sufrir daño. (Ataque de área).	Se ha reinventado y ha cambiado su destino,<br>pero ¿será capaz de cambiar la sociedad con sus poderes?<br>Eficaz contra álienes e inmune a las oleadas.
195	Estudió muchos libros de mecánica para construir<br>la máquina de matar de sus sueños. Resistente contra<br>enemigos negros y álienes. Sobrevive a un golpe mortal.	Se coló en un aeropuerto y desmontó un motor por la noche<br>para llevarse unas piezas para su obra maestra.<br>Repele y desgasta a álienes.	La reclutó la NASA para diseñar piezas para una misión de<br>reconocimiento espacial. ¿Astrofísica? Ningún problema.<br>Ataque de área superfuerte y ralentiza a álienes.
196	Lleva un traje especial contra los rayos ultravioletas,<br>pero no puede hacer nada contra los paparazzi...<br>Superfuerte contra álienes y voladores. (Ataque de área).	Se convirtió en un monstruo para luchar contra los terrores<br>nocturnos. Sigue firmando autógrafos a ancianitas adorables.<br>Superfuerte contra ángeles y álienes. (Ataque de área).	Se rindió y aceptó el contrato de una trilogía para poder<br>permitirse un traje propulsado por el miedo de los malos.<br>Superfuerte contra álienes y reliquias. (Ataque de área).
197	Cuando se emociona, dobla metales. Le encantan los<br>cereales, pero siempre acaba destrozando la cuchara.<br>Puede ralentizar a álienes.	Su alegría abre portales extradimensionales. No aceptes<br>su invitación para jugar al balón prisionero.<br>Puede ralentizar a álienes.	Todo será consumido por<br>los portales que crea. Él incluido.<br>Puede ralentizar a álienes.
198	Un exorcista que ha viajado desde el pasado. Siempre<br>trata de purgar los coches deportivos de todo mal.<br>Puede desgastar a enemigos no metálicos.	Una chica mágica con un contrato con los álienes.<br>Lo del bastón luminoso fue un regalo por registrarse.<br>Puede desgastar a enemigos no metálicos.	El contrato se ha respetado y ya puede obtener el poder,<br>pero ahora trabaja de villano en un parque de atracciones.<br>Siempre desgasta a enemigos no metálicos.
199	Ha pasado tanto tiempo buscando la ola perfecta que ha<br>cumplido los 40 sin alcanzar nada en la vida. Puede paralizar<br>a álienes y sobrevivir a golpes mortales. (Ataque de área).	Dice que quiere huir de su isla desierta, pero en realidad<br>está disfrutando de las vacaciones. Puede paralizar<br>a álienes y sobrevivir a golpes mortales. (Ataque de área).	Desechó la idea de que lo rescataran y se casó con el mar.<br>¿Cómo lo tratarán las olas hoy? Puede paralizar a álienes<br>y siempre sobrevive a un golpe mortal. (Ataque de área).
200	La piel metálica minimiza el daño sufrido. La aleación es<br>solo del 87,5% de pureza; es vulnerable a golpes críticos.<br>No se puede mejorar a niveles extras. (Metálico).	La piel metálica reduce al mínimo todo el daño sufrido.<br>Su piel es hermosa, pero le deja los brazos al descubierto.<br>No se puede mejorar a niveles extras. (Metálico).	
201	Hace marchar al ejército felino a un ritmo alegre.<br>Sigue el compás al dedillo y solo actúa en solitario.<br>El daño sufrido de enemigos metálicos se reduce a la mitad.	Dirige una academia de élite. Ha inspirado a 40 generaciones<br>de estudiantes a conquistar tierras desconocidas.<br>El daño sufrido de enemigos metálicos se reduce a la mitad.	Heredó un negocio de empanadillas. Busca una esposa<br>que siga perfectamente el ritmo de sus golpes de mazo.<br>Puede desgastar a enemigos metálicos.
202	Celebrating The Battle Cats' Taiwan version,<br>this Cat got too excited and steamed itself in a basket.<br>Is that meat inside, or PURE PASSION?!	Celebrating The Battle Cats' Taiwan version,<br>grew bigger to satisfy more hungry people. There's<br>no basis to rumors he's got pizza filling inside.	
203	El departamento de I+D del ejército felino clonó una<br>superarma: un mapache que sobrevive al fuego.<br>Puede desgastar a álienes y ángeles. (Ataque de área).	Gracias a la ayuda de los espíritus antiguos, ahora pueden<br>reunir el fuego absorbido para lanzar ataques explosivos.<br>Desgastan a álienes y ángeles. (Ataque de área).	La magia antigua se une con la tecnología más moderna.<br>¡Que arda todo y no quede ningún rastro!<br>Desgasta a álienes y ángeles. (Ataque de área).
204			
205			
206			
207			
208			
209	Es un pequeñajo que aspira a convertirse<br>en un gato famoso por su relación calidad-precio.<br>	Es un pequeñajo que aspira a convertirse<br>en un gato famoso por sus deslumbrantes bíceps.<br>	Es un pequeñajo que aspira a convertirse<br>en un gato famoso por su peinado maravilloso.<br>Se lo ha recortado un poco para mejorar su eficacia.
210	Es un pequeñajo que aspira a convertirse<br>en un gato tan fuerte que sea capaz de mover una pluma.<br>Duro y con mucha vida. (Ataque de área).	Es un pequeñajo que aspira a convertirse<br>en un gato tan fuerte que mueva piedrecitas de una en una.<br>Buena defensa. Y ahora tiene esquinas. (Ataque de área).	Es un pequeñajo que aspira a convertirse<br>en un gato famoso por su defensa superestupenda.<br>Su poder de ataque es el mismo de siempre. (Ataque de área).
211	Es un pequeñajo que aspira a convertirse<br>en un guerrero flipado eficaz contra enemigos rojos.<br>	Es un pequeñajo que aspira a convertirse<br>en un gato con ínfulas de héroe eficaz contra enemigos rojos.<br>	Es un pequeñajo que aspira a convertirse<br>en caballero oscuro cuando sea grande.<br>Superfuerza contra ángeles.
212	Una famosa espía que insiste en disfrazarse durante sus<br>misiones, y nunca ha fallado en su trabajo... Siempre<br>ralentiza a enemigos rojos y álienes. (Ataque de área).	Miembro del famoso gremio de asesinos felinos. Hace chas<br>y desaparece de tu lado. Su tapadera es el reparto de pizza.<br>Eficaz contra enemigos rojos y álienes. (Ataque de área).	Comandante del servicio de inteligencia FOX. Dirige sin<br>piedad una red internacional de expertos asesinos. Repele<br>y desgasta a enemigos rojos y álienes. (Ataque de área).
213	Doscientos gramos de agresión de la mejor calidad.<br>Perfecto para una comida rápida o luchas de guerrillas.<br>Es 100% ternera. ¿No pensarías que...?	Hasta arriba de lechuga, queso y espíritu luchador.<br>Pídetelo si te mueres de hambre de lucha.<br>Come con moderación y recuerda hacer ejercicio.	¡Celebra 3 años de The Battle Cats!<br>Entrégales a tus enemigos 1000 calorías de dolor.<br>Tú eliges el acompañamiento: patatas, patatas o patatas.
214	Recruited from Metal Slug Defense!<br>An elite commando masked as a typical POW<br>Might survive lethal attacks. (Area Atk)	Recruited from Metal Slug Defense!<br>Lays down cover fire for the Cats with gas<br>bombs. Might survive lethal attacks. (Area Atk)	
215	Recruited from Metal Slug Defense!<br>This major excels at programming recruits.<br>Might temporarily freeze Aliens.	Recruited from Metal Slug Defense!<br>A top intel officer who lets loose with artillery.<br>Might temporarily freeze Aliens.	
216	Recruited from Metal Slug Defense!<br>This captain takes pride in his trademark shades.<br>Might knockback Aliens (Area Atk)	Recruited from Metal Slug Defense!<br>Master of the shotgun, Marco's best friend.<br>Might knockback Aliens (Area Atk)	
217	Recruited from Metal Slug Defense!<br>Staff sergeant in the Intel division.<br>Might cause massive damage to Aliens (Area Atk)	Recruited from Metal Slug Defense!<br>Demolitions, survival, spying - she's mastered it all!<br>Might cause massive damage to Aliens (Area Atk)	
218	Recruited from Metal Slug Defense!<br>A demure yet naïve Sgt. Major in the intel<br>division. Might slow Aliens.	Recruited from Metal Slug Defense!<br>Easygoing and genuine, a crackshot with<br>handguns. Might slow Aliens.	
219	Recruited from Metal Slug Defense!<br>A small, high-performance single-<br>passenger tank. (Area Atk)	Recruited from Metal Slug Defense!<br>Battle-tested model with superior<br>mobility and firepower. (Area Atk)	
220	Recruited from Metal Slug Defense!<br>Feared by allies and foes alike as the<br>"Demon Sergeant" Survives one lethal strike.	Recruited from Metal Slug Defense!<br>Shirtless even in subzero temperatures.<br>Survives one lethal strike.	
221	Recruited from Metal Slug Defense!<br>Yep, they're actual Martians.<br>Might weaken Aliens.	Recruited from Metal Slug Defense!<br>Mastered warping. No motivation to try<br>now, though. Might weaken Aliens.	
222	Recruited from Metal Slug Defense!<br>Giant crab that uses tank wreckage to attack.<br>Strong against Aliens. (Area Atk)	Recruited from Metal Slug Defense!<br>Terrifying claws wade towards the beachhead!<br>Strong against Aliens. (Area Atk)	
223	Recruited from Metal Slug Defense!<br>A robotic guardian who patrols secret factories.<br>Might knockback + slow Aliens. (Area Atk)	Recruited from Metal Slug Defense!<br>Fires lasers powerful enough to vaporize all matter.<br>Might knockback + slow Aliens. (Area Atk)	
224	Recruited from Metal Slug Defense!<br>A charismatic ex-general plotting a coup.<br>Knockback + resistant to Aliens. (Area Atk)	Recruited from Metal Slug Defense!<br>Fights corruption with rocket launcher in hand.<br>Knockback + resistant to Aliens. (Area Atk)	
225	Recruited from Metal Slug Defense!<br>Large bomber copter used by the Morden Army.<br>Might knockback + Strong def. vs Floating. (Area Atk)	Recruited from Metal Slug Defense!<br>A fighter used to ensure the safety of VIPs.<br>Might knockback + Strong def. vs Floating. (Area Atk)	
226	Un hechicero muy precoz que ha esclavizado a una de sus<br>pesadillas. Sus poderes infernales infligen muchísimo<br>daño, pero solo a álienes, voladores y bases enemigas.	Su pesadilla ha mutado a su forma final, así que juntos<br>viajan recogiendo almas perversas. Superfuerte solo contra<br>ángeles y álienes. Recibe más dinero al vencer enemigos.	Se sacó un curso en línea de anatomía ocultista. Consiguió<br>un gran éxito en su primer intento de trasplante de almas.<br>Superfuerte solo contra álienes y bases enemigas.
227	Un gato muy travieso que se esconde<br>dentro de esta hortaliza de otoño y vive<br>para dar sustos a los pobres viandantes.	Quienes han gastado demasiadas bromas están condenados<br>a vagar por ahí como fantasmas, pero no aprenden...<br>Paraliza brevemente a enemigos negros.	Aparece cerca de la gente dormida e indica su muerte.<br>Su destino llega rápido después de que diga «¡Abra cadáver!»<br>Matamastodontes, eficaz contra y puede paralizar negro.
228	Es la niña favorita de todo el mundo, vestida para Halloween.<br>Pero es tan buena que no se atreve a gastar bromas.<br>Puede infligir daño crítico.	No tiene ningún talento mágico, pero parece tan emocionada<br>que la han convertido en bruja. Con un poquito más de<br>confianza, será brillante. Puede infligir daño crítico.	Anda por las calles decoradas en Halloween. Se ha<br>cambiado el aspecto con magia que dura solo una noche.<br>Escudo contra oleada, puede infligir daño crítico.
229	La señora del viento disfruta con Halloween cada año.<br>Vence a sus enemigos con rayos de plasma bestiales.<br>Superfuerte contra álienes. (Ataque de área).	La idea de esta jovencita de una buena broma para Halloween<br>es un chupinazo de plasma cuando menos te lo esperes.<br>Superfuerte contra álienes. (Ataque de área).	
230	La señora del trueno disfruta con Halloween cada año.<br>Sacude a los malos con ataques de rayos espectrales.<br>Superfuerte contra enemigos negros. (Ataque de área).	Halloween es la mejor época para meterse con los niños<br>buenos. Sacude a los malos con ataques de rayos espectrales.<br>Superfuerte contra enemigos negros. (Ataque de área).	
231			
232			
233			
234			
235			
236			
237	Un enteradillo que clavó sus exámenes de acceso a Garvard.<br>Utiliza su inteligencia para enterarse de los puntos flacos de<br>los enemigos y desgastar su ofensiva.	Ganó el Premio Nobel de Economía el año pasado.<br>Sus explicaciones dejan a los enemigos tan patidifusos<br>que les disminuye el poder de ataque.	Una leyenda de inteligencia y experiencia sin igual.<br>¡Acumula una cantidad increíble de XP mientras duerme!<br>Desgasta al enemigo con réplicas.
