000	可以低成本生產的基本角色<br><br>	飽經鍛鍊的肌肉是魅力所在的<br>基本角色<br>	飽經鍛鍊的肌肉跟很MAN的髮型<br>是魅力所在的基本角色<br>
084	為了淨化世界而誕生的傳說的龍族<br>以壓倒性的破壞力攻擊敵人（範圍攻擊）<br>有時候打飛飄浮敵人並使之移動變慢	憤怒的力量失控了的傳說的龍族<br>以壓倒性的破壞力攻擊敵人（範圍攻擊）<br>有時候打飛飄浮敵人並使之移動變慢	取得聖龍石而成爲了真皇帝的龍王<br>爲了達成自己的使命而燒盡萬物（範圍攻擊）<br>有時候打飛飄浮敵人並使之移動變慢
085	駕馭數千隻龍的傳說龍騎士<br>以壓倒性的破壞力攻擊敵人（範圍攻擊）<br>有時候打飛黑色敵人並使之移動變慢	強化了戰鬥能力的傳說龍騎士<br>以壓倒性的破壞力攻擊敵人（範圍攻擊）<br>有時候打飛黑色敵人並使之移動變慢	握有可支配任何兇猛龍類的龍騎石<br>駕馭數千隻龍軍團的傳說龍騎士（範圍攻擊）<br>有時候打飛黑色敵人並使之移動變慢
086	操縱世界天地異變的傳說的龍族<br>以壓倒性的破壞力攻擊敵人（範圍攻擊）<br>有時候打飛紅色敵人並使之移動變慢	因七龍珠而覺醒的傳說龍族<br>以壓倒性的破壞力攻擊敵人（範圍攻擊）<br>有時候打飛紅色敵人並使之移動變慢	帶著能讓七龍珠覺醒的神龍石<br>可以實現人們願望的傳說龍族（範圍攻擊）<br>有時候打飛紅色敵人並使之移動變慢
087	為殲滅龍族而被創造出來，傳說中的古代兵器<br>以壓倒性的破壞力攻擊敵人（範圍攻擊）<br>必定能打飛紅色敵人	解除硬體上限，潛能全開的古代兵器<br>以壓倒性的破壞力攻擊敵人（範圍攻擊）<br>必定能打飛紅色敵人	利用龍戰機石取得超級電壓的古代兵器<br>能量全開的雷射將燒盡大地（範圍攻擊）<br>善於攻擊，且必定能打飛紅色敵人
088	英文就是rope jumping<br>生產成本低所以比較容易大量生產<br>偶爾能使出會心一擊	比起一個人跳兩個人跳更好玩吧！<br>生產成本低所以比較容易大量生產<br>偶爾能使出會心一擊	主打又快！又便宜！又好吃！的蕎麥麵店<br>生產成本便宜較容易量產。對上鋼鐵敵人<br>很耐打，偶爾能使出會心一擊。
089			
090			
091	可以廉價生產的普通角色<br>因狂亂化而學會神速<br>但是因為腿太短了所以走路意外的慢	越瘋狂越能鍛鍊好的臂肌是<br>魅力所在的基本角色<br>但是卻不使用手臂	精心鍛練的肌肉和很有男人味的<br>鬣毛是萌點所在的基本角色<br>因大狂亂化而學會更快的神速
092	具有很強體力的肉盾角色<br>攻擊力跟弱雞差不多（範圍攻擊）<br>因狂亂化而學會神速	用來當人牆最適合不過的肉盾角色<br>攻擊力還是老樣子（範圍攻擊）<br>因狂亂化而學會神速	用來當人牆最適合不過的肉盾角色<br>因大狂亂化而取得了超彈力，體力也大幅增加<br>攻擊力還是老樣子（範圍攻擊）
093	戰鬥型的角色<br>善於攻擊「紅色敵人」<br>因為狂亂化而攻擊力變強	憧憬成為勇士的戰鬥型角色<br>善於攻擊「紅色敵人」<br>因為狂亂化而攻擊力變強	拜入暗黑騎士界名人門下的戰鬥型角色<br>善於攻擊「紅色敵人」<br>因為大狂亂化，攻擊力和體力再次提升
094	可以攻擊遠處敵人的遠距離攻擊型角色<br>因為狂亂化而精通發射波動<br>但生產力也因此下降	對自己超美的腿感到驕傲的遠距離攻擊型角色<br>因為狂亂化而精通發射波動<br>但生產力也因此下降	對自己超美的肌肉感到驕傲的遠距離攻擊型角色<br>因為大狂亂化，體力及波動攻擊獲得大幅強化<br>不過人氣卻一落千丈
095	動作敏捷移動能力優越的角色<br>攻擊次數和移動速度都非常驚人<br>因為狂亂化而精通範圍攻擊	動作敏捷移動能力優越的角色<br>把長長的脖子當頭錘很搞笑<br>因為狂亂化而精通範圍攻擊	動作敏捷移動能力優越的角色<br>有傳言那頗具威嚴的鬃毛相當靈驗<br>因為大狂亂化而學會更快的神速（範圍攻擊）
096	體力雖然低但可以一次攻擊所有敵人<br>具有超破壞力的角色（範圍攻擊）<br>因為狂亂化而加長攻擊距離	超越重力的改造貓咪<br>可以將敵人一網打盡（範圍攻擊）<br>因為狂亂化而加長攻擊距離	施展的光彈可以在瞬間燒光巨大城市的<br>空中都市型貓咪（範圍攻擊）<br>因為大狂亂化，攻擊力及射程更加提升
097	善於攻擊「紅色敵人」<br>因為狂亂化而加快生產速度<br>偶爾能使出會心一擊	進化成肉食鯨的高級戰鬥角色<br>善於攻擊「紅色敵人」<br>偶爾能使出會心一擊	傳説有鬼怪居住的貓咪專用溫泉勝地<br>善於攻擊「紅色敵人」，偶爾能使出會心一擊<br>因為大狂亂化而提升了體力及攻擊力
098	可以攻擊遠處敵人的遠距離攻擊型角色<br>只是單發的話攻擊力超凡<br>因為狂亂化而圖像變得比較精美	從幻想世界降臨的遠距離攻擊型角色<br>只是單發的話攻擊力超凡<br>因為狂亂化而圖像變得比較精美	躋身成爲龍界精英的遠距離攻擊型角色<br>只是單發的話攻擊力超凡。因爲大狂亂化<br>而圖像變得更加精美，能力也提升了
099	具有超強破壞力和強韌體力的<br>最頂級角色（範圍攻擊）<br>偶爾會發射超長距離波動	具有超強破壞力和強韌體力的<br>掌控破壞的貓神（範圍攻擊）<br>偶爾會發射超長距離波動	具有超強破壞力和強韌體力的<br>掌控破壞的瘋狂巨貓（範圍攻擊）<br>因爲大狂亂化，體力及波動發射率提升了
100	利用少女純情的心來施展<br>充滿愛意的鐵拳<br>善於攻擊紅色敵人(範圍攻擊)	已經過了戀愛期的少女開始熱衷於運動<br>施展的攻擊誰都無法阻止<br>善於攻擊紅色敵人(範圍攻擊)	將青春奉獻給體育運動的少女<br>總算達成了國際大賽22連霸。<br>體力大幅上升，善於攻擊紅色敵人(範圍攻擊)
101			
102			
103	代表歌謠界的超級大人物<br>到達LV10轉職後，<br>會有驚為天人的大變身。	令人難以置信的樣貌<br>就是傳說級的存在。<br>總之看起來真的很厲害	色彩繽紛光鮮亮麗的樣貌<br>就是神話級的存在。<br>總之看起來真的很厲害(範圍攻擊)
104	其實是可以攻擊遠處敵人的<br>遠距離攻擊噁心貓<br>善於攻擊紅色敵人	這是戀愛…？不，已經不是戀愛了！！<br>即便如此今晚還是戀愛・the・Night！！<br>善於攻擊紅色敵人	戀愛…就是熱情，戀愛…如夢似幻<br>我始終「泳」往直前，戀上愛戀的錦鯉<br>善於攻擊紅色敵人（範圍攻擊）
105	會使用不可思議的妖術的熱血女孩<br>從遠距離發出的金箍棒攻擊具有超強破壞力<br>善於攻擊紅色和黑色敵人（範圍攻擊）	會使用不可思議的妖術的熱血女孩<br>在男性面前會緊張到口出惡言<br>善於攻擊紅色和黑色敵人（範圍攻擊）	把她當女孩對待就會羞得臉紅的熱血女子<br>害羞劈下的百萬噸如意棒可是超強力<br>善於攻擊紅色和黑色敵人（範圍攻擊）
106	騎在機器小豬「咚咚」上的天然女孩<br>能讓小豬發射壓倒性的超近距離光束砲（範圍攻擊）<br>對上飄浮敵人很耐打，死前能存活一次	會喜歡上對自己溫柔的任何人<br>戀愛門檻只有3cm的八戒貓（範圍攻擊）<br>對上飄浮敵人很耐打，死前能存活一次	喜歡上的人就是自己喜歡的類型！<br>坐在機器野豬「小野蠻」上橫衝直撞（範圍攻擊）<br>對上飄浮敵人很耐打，死前能存活一次
107	使用魔力法杖來戰鬥的魔法女孩<br>能施放光彈打擊惡勢力（範圍攻擊）<br>有時候讓飄浮敵人暫時動作停止	不怎麼笑的她在貓咪面前<br>會露出誰都不曾見過的表情（範圍攻擊）<br>有時候讓飄浮敵人暫時動作停止	對於異性的示好都會社交性的帶過<br>魔幻的感情遲鈍美女。最愛的是與貓咪共度假日<br>有時候讓飄浮敵人暫時動作停止（範圍攻擊）
108	裝在轉蛋殼裡的三隻兄弟(範圍攻擊)<br>我們有練過<br>好孩子千萬不要模仿唷！	集合了貓咪三兄弟的智慧與能力<br>打造出來的秘密要塞貓克羅斯(範圍攻擊)<br>外面裝甲是紙箱所以容易受潮	
109	找回了快要遺忘的那種感動<br>具有很強體力的肉盾角色<br>攻擊力也馬馬虎虎（範圍攻擊）	找回了快要遺忘的那種感動<br>具有很強體力的肉盾角色<br>攻擊力也馬馬虎虎（範圍攻擊）	統治寬廣的大草原的百獸之王愛妻<br>具有很強體力的肉盾角色<br>死前能存活一次（範圍攻擊）
110	來自梅露可物語的戰士！<br>不論遇到任何事都會接受的善良少女<br>偶爾使紅色敵人動作變慢	來自梅露可物語的戰士！<br>不知道什麼時候就有了非正式的粉絲團<br>偶爾使紅色敵人動作變慢	
111	來自梅露可物語的戰士！<br>穩重大方卻又天真爛漫的少女<br>對上黑色敵人很耐打	來自梅露可物語的戰士！<br>看似可愛的小尾巴其實威力驚人<br>對上黑色敵人很耐打	
112	來自梅露可物語的戰士！<br>離鄉背井出來體驗社會的大小姐<br>偶爾能打飛紅色敵人	來自梅露可物語的戰士！<br>可愛的笑容背後有著殘酷個性的大小姐<br>偶爾能打飛紅色敵人	
113	來自梅露可物語的戰士！<br>個性文靜，喜歡觀星的好青年<br>偶爾會讓紅色敵人瞬間動作停止	來自梅露可物語的戰士！<br>有點糊塗但個性文靜的好青年<br>偶爾會讓紅色敵人瞬間動作停止	
114	來自梅露可物語的戰士！<br>平常是個有點恍神，但卻殷勤有禮的青年<br>偶爾會讓黑色敵人動作變慢	來自梅露可物語的戰士！<br>喜歡喝酒賞月但每次都一下子就喝醉的青年<br>偶爾會讓黑色敵人動作變慢	
115	來自梅露可物語的戰士！<br>效忠位於空之國的主人的少女<br>偶爾能打飛黑色敵人	來自梅露可物語的戰士！<br>地道的天空之民，充滿正義感的少女<br>偶爾能打飛黑色敵人	
116	來自梅露可物語的戰士！<br>天空之民，但因爲是混血所以頭上長角<br>有時候會讓黑色敵人瞬間動作停止	來自梅露可物語的戰士！<br>聽了祖父的話而決定去看看世界各地<br>有時候會讓黑色敵人瞬間動作停止	
117	來自梅露可物語的戰士！<br>平常非常害羞，但一談到槍就說個不停<br>有時候能打飛黑色敵人(範圍攻擊)	來自梅露可物語的戰士！<br>有著定期維護這個古怪的興趣<br>有時候能打飛黑色敵人(範圍攻擊)	
118	來自梅露可物語的戰士！<br>情緒一激動，就會讓人觸電的女孩<br>有時候會讓黑色敵人動作變慢(範圍攻擊)	來自梅露可物語的戰士！<br>因為魔寵害怕電流而一直無法接近他們的女孩<br>有時候會讓黑色敵人動作變慢(範圍攻擊)	
119	來自梅露可物語的戰士！<br>從空中放出強烈的一擊<br>能對黑色敵人造成超大傷害(範圍攻擊)	貓咪軍團以飛翼龍為藍本<br>經過無數次秘密研究後製造出的合成魔獸<br>能對黑色敵人造成超大傷害(範圍攻擊)	
120	梅露可物語的主人公登場！<br>能夠治癒魔寵心靈的少年<br>偶爾會讓敵人動作停止	梅露可物語的主人公登場！<br>不可靠又有魔寵恐懼症的少年<br>必定能讓敵人動作停止	梅露可物語的主人公登場！<br>因爲貓化裝置而逐漸變成貓咪的少年<br>必定能讓敵人動作停止,並取得範圍攻擊能力！
121	來自梅露可物語的戰士！<br>10金幣買來的神秘瓶中少女<br>偶爾會發出會心一擊	來自梅露可物語的戰士！<br>貓咪也一起裝到瓶子裡啦！<br>偶爾會發出會心一擊	來自梅露可物語的戰士！<br>用10金幣買來一隻大貓咪的瓶中少女<br>偶爾會發出會心一擊
122	平常是個OL的中距離型角色<br>今天利用休假狂歡中～<br>善於攻擊「紅色敵人」	只是一個朝九晚五的上班族<br>但是下班後誰也不知道真實的她<br>善於攻擊「紅色敵人」	普通平凡的上班族小姐<br>今天也與顧客約好下班後進行密會<br>善於攻擊「紅色敵人」，有時候還可以打飛。
123	兩隻是一起玩樂在豆豆裡的貓咪<br>感情很好<br>偶爾會打飛紅色敵人	兩隻是一起玩樂在<br>法國製女性內衣裡的貓咪<br>偶爾會打飛紅色敵人	
124	因遭傳說中的武器「貓咪盾牌」詛咒<br>而化身為殺戮機器的戰國武將（範圍攻擊）<br>有時候可以打飛黑色敵人與紅色敵人	只要啟動傳說中的武器「貓咪盾牌」地獄模式的話<br>地獄式的猛回轉就能將敵人一斬兩斷（範圍攻擊）<br>有時候可以打飛黑色敵人與紅色敵人	受地獄邪氣感染充滿黑暗靈魂的「貓咪盾牌」<br>纏繞著業火的猛回轉能將敵人粉身碎骨（範圍攻擊）<br>有時候可以打飛黑色敵人與紅色敵人
125	因遭傳說中的武器「風林火貓」詛咒<br>而擁有壓倒性破壞力的戰國武將<br>但只能攻擊黑色敵人和異星戰士（範圍攻擊）	只要啟動傳說中的武器「風林火貓」出兵模式的話<br>就能擁有更強大破壞力的戰國武將<br>但只能攻擊黑色敵人和異星戰士（範圍攻擊）	解放了「風林火貓」真實姿態的戰國武將<br>取回原有的力量，發揮出異次元級的破壞力<br>但只能攻擊黑色敵人和異星戰士（範圍攻擊）
126	以敏捷俐落的移動方式接近敵人<br>至於他靠什麼在移動・・・至今仍然是個謎<br>有時候使鋼鐵敵人的動作變慢	以敏捷俐落的移動方式接近敵人<br>據說專長是腹語術<br>有時候使鋼鐵敵人的動作變慢	以敏捷俐落的移動方式接近敵人的<br>人型師一行人，究竟在操作鬼娃還是被鬼娃操作..<br>有時候使鋼鐵敵人的動作變慢
127	是隻很喜歡花的貓咪<br>給花澆水是每天必做之事<br>偶爾會讓黑色敵人瞬間動作停止	將出浴後獨佔電風扇的想法<br>轉變為他的行動<br>偶爾會讓黑色敵人瞬間動作停止	想要爆發經年累月壓力的貓咪<br>平常沒有的驚悚與衝擊讓他上癮<br>必定能讓黑色敵人瞬間動作停止(範圍攻擊)
128	對人世仍有眷戀屬於長距離型的角色<br>與美腿角色的組合簡直是美的極致！<br>擅長用怨恨之拳一舉向敵人奮力一擊（範圍攻擊）	原本以為自己獲得重生<br>沒想到卻變得這款遠距離攻擊角色<br>心願是帶給大家幸福與歡樂（範圍攻擊）	為了帶給世上更多歡樂<br>選擇了被貓遊玩的人生(遠距範圍攻擊)<br>一肩承受了逆風與來自美腿貓的投訴。
129	全身以金粉上漆，是隻超豪華角色<br>當然屬性就是隻貓<br>可換成ＸＰ來升級其他角色唷！	全身以金粉上漆，是隻超豪華角色<br>雖然他說他是穿無袖<br>不過我猜他手臂根本是忘了上漆	
130	給自己立下了「架吵輸了就發誓效忠對方」<br>的規矩，而擅自加入了貓咪軍團<br>有時候可以打飛敵人（範圍攻擊）	得到了肖想很久的貓咪般怪獸的<br>電波系國二生。父親是老師<br>有時候可以打飛敵人（範圍攻擊）	意識到是該打扮自己的想戀愛中學二年級生<br>雖然是開始打扮自己但並不是為了那傢伙！<br>有時候可以打飛敵人（範圍攻擊）
131	是隻幻想當偶像的鄰家小貓<br>雖然想唱歌但是沒有勇氣…<br>崇拜的對象是萌貓（有時候會心一擊）	沒有實力卻當了歌手的偶像萌萌貓<br>雖然內心很想唱歌，但是至今仍未<br>在大眾面前演出過（有時候會心一擊）	
132	為了把中距離破壞力發揮至極<br>因而將人生奉獻給功夫的貓<br>為提高破壞力而成為單體攻擊	是隻到了幾歲都無法戒酒<br>傳說中的功夫大師<br>為提高破壞力而成為單體攻擊	使用剛之拳強奪了究極奧義<br>因此在犧牲許多的生涯中充滿後悔<br>為提高破壞力而成為單體攻擊
133			
134	從聯邦政府手中成功解救出<br>生化兵烏龜的精英貓咪<br>對上天使與黑色敵人很耐打(範圍攻擊)	原為生化兵烏龜，因飲用成長促進劑而<br>變身為擁有超強戰鬥體力的生化兵器<br>對上天使與黑色敵人很耐打(範圍攻擊)	為擄獲酒吧"粉紅佳人"女主人芳心而將<br>變色龍烤漆的作戰成功，順利拿到禮物！<br>對上天使與黑色敵人很耐打(範圍攻擊)
135	每年參加湖上舉辦的變身鳥比賽<br>並且屢次飛出最遠紀錄的攻擊性貓咪<br>有時候可以把天使與飄浮敵人打飛（範圍攻擊）	最長飛行紀錄直達宇宙<br>得到了星座之力的超進化貓咪<br>必定能把天使與飄浮敵人打飛（範圍攻擊）	終於來到銀河盡頭的貓咪，這份榮耀成為<br>都市傳說並繼續流傳下去。必定能把天使與<br>飄浮敵人打飛並使其動作停止(範圍攻擊)
136	即將進行尋找比自己還強的人之旅<br>立誓要成為日本首屈一指的桃型屁股貓<br>有時候可讓天使與紅色敵人的動作停止(範圍攻擊)	旅行中體會到努力<br>與結果並不成正比的不良集團<br>有時候可讓天使與紅色敵人的動作停止(範圍攻擊)	理解了結果不是全部<br>人生開始變得彩色的不良貓集團<br>有時候可讓天使與紅色敵人的動作停止(範圍攻擊)
137	據說在下雪時，戴上寫有心願的斗笠<br>就能幫我們實現願望的神秘組織<br>可給予天使與黑色敵人超大傷害(範圍攻擊)	斗笠地藏的本體中樞開始啟動<br>超強的存在感連聯邦政府都驚為天人<br>可給予天使與黑色敵人超大傷害(範圍攻擊)	無懼暴風雪，展露黃金盔甲的<br>斗笠地藏將要出動殲滅聯邦政府<br>可給予天使與黑色敵人超大傷害(範圍攻擊)
138	受月亮指派下人間的美麗公主<br>目前還隱藏著身世。有時候可讓<br>天使與鋼鐵敵人的動作變慢（範圍攻擊）	曾放話說要毀滅世界<br>宇宙戰爭是強項的超古代兵器。有時候可讓<br>天使與鋼鐵敵人的動作變慢（範圍攻擊）	據說過去曾是消滅銀河的超古代兵器。<br>卸除了名為良心的安全裝置以超破壞力消滅敵人<br>必定能讓天使與鋼鐵敵人動作變慢（範圍攻擊）
139	從奧運項目到媽媽體操<br>皆活躍於世界的跆拳道大師。<br>手技易犯規所以不使用。	心血來潮戴上基本護具<br>的傳說跆拳道大師。<br>弟子遍佈全世界。	
140	最新素材製作的轉蛋<br>裝的則是陶醉在其中的貓咪<br>滾動帶彈性的特點讓人愛不釋手(範圍攻擊)	充滿誘惑的肉體把敵人迷的神魂顛倒<br>非常希望大家注意他的上手臂三頭肌<br>與巨神貓是超遠房親戚(範圍攻擊)	
141	穿越時空來到人世間的神<br>結果變成外表看似小孩的成年人<br>他的能力雖謎但是不容小覷	穿越時空來到人世的神<br>有自信以此體格激發出瓦爾基麗貓的<br>女性本能並傾心於他的糟糕天神	
142			
143	有著溫暖眼神與迷人笑容的小護士。帶著溫暖的<br>正面能量和貓咪印記的注射針筒強力攻擊。<br>有時候打飛飄浮和黑色敵人並使移動變慢(範圍攻擊)	為了救大眾在戰場上奮力揮灑注射針筒，絕對領域<br>的防禦力也升級了，再也沒什麼好怕了。<br>有時候打飛飄浮和黑色敵人並使移動變慢(範圍攻擊)	活躍在各大救援現場經驗豐富的小護士。<br>使用特大號注射針筒也是一個人來(範圍攻擊)<br>有時候打飛飄浮和黑色敵人並使移動變慢
144	不知道是得到了誰的力量<br>為了成為雄偉的城<br>憑著氣勢發射波動的努力家	戴上在購物網購買的安全帽後<br>偽裝的更像城，並且每天窺視不同事物<br>一興奮就會不小心發射波動～	
145	助弱不扶強的傳說神槍手<br>今天也幫忙警察抓出犯罪者<br>有時候使黑色敵人動作變慢	為了保護自身不介意向權力低頭的<br>木馬牛仔貓。今天也小請了保安官們<br>有時候使黑色敵人動作變慢。	為了騎牛術大賽而積極練習的傳說神槍手<br>搞了半天大賽那天撞到其他活動所以棄權<br>有時候使黑色敵人動作變慢。
146	就算只有視點也好<br>為了達到更高的目標所以來踩高蹺的貓<br>偶爾會打飛天使敵人	一群為了達到更高的目標的同志集結起來<br>因而帶有野生豪放感的貓咪們<br>偶爾會打飛天使敵人	瞄準更高的目標而學得一身技能的貓咪<br>為了買新椅子而兩人一起存錢中<br>偶爾會打飛天使敵人
147	以最先進的科技把靈魂<br>灌入懷舊版玩具而成為了這樣的貓<br>偶爾會打飛黑色敵人	夢見翺翔天空的貓咪，委託世界最優秀<br>的技術者們改造他，可以說是技術結晶<br>偶爾會打飛黑色敵人	被邪惡組織虜獲，經過暗黑科學家大改造的<br>太陽光發電型不老不死殺戮貓，弱點是雨<br>偶爾會打飛黑色敵人
148	被要求放棄音樂去繼承豆腐店的貓<br>但是仍然走不出大豆過敏問題<br>對上天使敵人很耐打	唱片完全不熱賣而轉行嘗試作畫<br>竟然也失敗而失心瘋繼續畫畫的<br>豆腐店搖滾樂貓。對上天使敵人很耐打	沒繼承自家豆腐店反在拉麵店上班，口頭禪是<br>外行人掂掂！的正宗拉麵職人。誇張的甩麵<br>技術讓客人看了很開心。對上天使敵人很耐打
149	忘不了在海邊救了某位王子而上陸的人魚<br>呼吸方法為超長腹式呼吸<br>善於攻擊飄浮敵人。死前有機會存活	得知王子遭恐怖集團綁架，因而向魔女<br>取得雙腳並接受魔鬼訓練４年的女大兵<br>善於攻擊飄浮敵人。死前有機會存活	賭上生命的新聞工作者<br>以照片向大眾傳達大戰爭的真相<br>善於攻擊飄浮敵人。死前有機會存活（範圍攻擊）
150	夢見未來男友而內心雀躍的少女<br>愛書是赤井噴太郎的「體罰與理髮」<br>有時候讓天使敵人瞬間動作停止（範圍攻擊）	夢見帥氣王子而內心雀躍的少女<br>喜歡的食物是雞肉串燒<br>有時候讓天使敵人瞬間動作停止（範圍攻擊）	幻想著素未謀面帥氣老公的天真舞妓<br>但不知何時開始成為了老處女・・・<br>有時候讓天使敵人動作停止（範圍攻擊）
151	重物也可輕易舉起的男子<br>而他還是１１個小孩７個老婆含岳父母的<br>生活大支柱。給予黑色敵人超大傷害（範圍攻擊）	終於到達人生的第１２回合<br>在生活中找到新目的堅強貓咪<br>給予黑色敵人超大傷害（範圍攻擊）	偷吃要送給客人的比薩的外送員<br>目標是追求肥有肥治肥享的自由<br>給予黑色敵人超大傷害（範圍攻擊）
152	對流行嗅覺靈敏的兩人最近<br>開始了雙人花式溜冰的興趣<br>相愛的兩人不分國界（範圍攻擊）	為了推廣日本傳統藝能<br>蓄勢待發的兩人在熱身演出上<br>表演了未公開的技能（範圍攻擊）	長年合作的兩人終於將傳統藝能精髓發揮<br>到淋漓盡致，默契十足的演出將要席捲全台<br>善於攻擊古代種(範圍攻擊)
153	每天只有烤麵包而導致某天罷工的貓<br>生存目的是把麵包瞄準爸爸的臉吹過去<br>偶爾會使天使敵人的動作變慢（範圍攻擊）	過去總是投射名演員的影片，被數位取代後<br>身心絕望，現在只是個充滿怨念的老機器<br>偶爾會使天使敵人的動作變慢（範圍攻擊）	以憂愁的旋律使敵人喪失鬥志<br>外觀是發條式的貓型自走砲台（範圍攻擊）<br>偶爾能破壞護盾以及使天使敵人的動作變慢
154	看著漸漸突起的小腹<br>決定開始搖呼拉圈減肥的貓<br>偶爾會使鋼鐵敵人動作停止	起初是為維持身材而搖呼拉圈<br>不過漸漸身型發展有了奇妙的變化・・・<br>偶爾會使鋼鐵敵人動作停止	挑戰前人所未達到的演出境界<br>加購了兩層呼拉圈繼續搖下去・・・<br>有時候會使鋼鐵敵人動作停止
155			
156			
157			
158	隨傳說中「貓車」的詛咒<br>漸漸變化為龍的戰國武將(範圍攻擊)<br>善於攻擊黑色敵人、必定能打飛他們	選擇與「貓車」融合並開始釋放<br>邪惡力量的戰國武將。（範圍攻擊）<br>善於攻擊黑色敵人、必定能打飛他們	完全掌握操控邪惡力量的武神<br>任其滿溢的殺意燒盡一切（範圍攻擊）<br>善於攻擊黑色敵人、必定能打飛他們
159	傳說於入學典禮時，把學校搞得<br>瀕臨崩損的少女。戰力搭檔是「貓神劍」<br>給予天使敵人超大傷害（範圍攻擊）	第一學期結束後把校長打入冥界的<br>傳說少女。目前正在尋找真正知音<br>給予天使敵人超大傷害（範圍攻擊）	畢業典禮後，讓跑來找自己告白的男孩們<br>都從人間畢業的傳奇少女<br>給予天使敵人超大傷害（範圍攻擊）
160	公主踢騎士Sweets中出現的角色<br>特別在合作活動中同台演出<br>善於攻擊天使敵人（範圍攻擊）	想坐上公主踢騎士Sweets中出現的<br>轉生靈鳥幽靈鷙的貓咪們絞盡腦汁開發出的<br>鳥形遙控飛機。善於攻擊天使敵人（範圍攻擊）	
161	吃了暗黑甜點而陷入狂亂的公主<br>攻擊時發出充滿黑闇之力「飛踢」的嚇人詛咒！<br>有時候會打飛鋼鐵敵人(範圍攻擊)	吃了暗黑甜點而陷入狂亂的公主<br>來救她恢復正常的帥哥遲遲未出現<br>有時候會打飛鋼鐵敵人(範圍攻擊)	
162			
163			
164			
165			
166			
167			
168	是貓還是妖沒人知道<br>完全是個謎樣般的角色<br>如果進化的話…	是貓還是妖沒人知道<br>完全是個謎樣般的角色<br>使廣範圍內的敵人動作變慢（範圍攻擊）	是貓還是暗殺拳法繼承人？<br>反正完全是個謎樣般的角色<br>可使超廣範圍內的敵人動作變慢（範圍攻擊）
169	是貓還是妖沒人知道<br>完全是個謎樣般的角色<br>如果進化的話…	是貓還是妖沒人知道<br>完全是個謎樣般的角色<br>可打飛敵人並發射波動攻勢	是貓還是在街上快打的相撲戰士沒人知道<br>完全是個謎樣般的角色<br>必定可以會心一擊及發射波動攻勢
170	是貓還是妖沒人知道<br>完全是個謎樣般的角色<br>如果進化的話…	是貓還是妖沒人知道<br>完全是個謎樣般的角色<br>可對單一敵人給予絕大傷害(有時候會心一擊)	是貓還是喜歡草帽的船長<br>沒人知道的謎樣角色<br>可對單一敵人給予絕大傷害(有時候會心一擊)
171	是貓還是妖沒人知道<br>完全是個謎樣般的角色<br>如果進化的話…	是貓還是妖沒人知道<br>完全是個謎樣般的角色<br>使廣範圍內的敵人動作停止（範圍攻擊）	是貓還是從宇宙降臨的災難<br>沒人知道的謎樣角色（範圍攻擊）<br>使廣範圍內的敵人動作停止及攻擊力下降
172	因時空錯亂而變回小孩的身型的貓彈<br>因相貌蒼老所以沒朋友。內心正經型<br>有時候使敵人動作變慢（範圍攻擊）	自從某個夏天救出了卡在<br>游泳池排水口的貓咪後，每天都一起上學<br>有時候使敵人動作變慢（範圍攻擊）	持續不斷在返老還童的貓彈<br>「ㄐㄧㄤㄌㄞˊㄌㄧˋㄓˋㄉㄤㄉㄚˋㄨㄤˊ」<br>有時候使敵人動作變慢（範圍攻擊）
173	從活下去！曼波魚！來參戰。<br>嚴酷的大海中已經有３億同伴死亡<br>他是僅存的一隻曼波魚	離天國最近的生物<br>常被說魚在冏途等，是隻體弱多病的曼波魚<br>可遠距離以叫聲攻擊不過屬於易死體質	
174	從活下去！曼波魚！來參戰。<br>即將成為世界最大的的曼波魚。從外表上<br>就能感受到王的氣勢凌人（範圍攻擊）	逐漸完成了背負重責大任的曼波魚<br>雖然一生艱辛，不過沒有絲毫後悔…<br>瀕臨死亡前的吶喊足以觸及海原（範圍攻擊）	
175	假想水中之戰所以設法變成曼波魚的喵波<br>兄弟倆現在熱衷播報氣象<br>對上紅色敵人很耐打（範圍攻擊）	進化過程中強而有力的手腕取代了腳<br>極度厭惡被踩踏而進化成為水中兵器<br>對上紅色敵人很耐打（範圍攻擊）	
176	內餡包著準備回送給對方的滿滿心意<br>純愛口味的棉花糖貓<br>觸感超強彈力打擊不留情	遇到ＢＢＱ就會馬上烤焦<br>因為帶有雙長腳，加上超強觸感與彈力<br>在打擊方面猛攻不留情	
177	可以將眼前看到的景色全部鏟平的傳說霸龍族<br>以壓倒性的破壞能力攻擊敵人（範圍攻擊）<br>有時候打飛天使敵人並使之移動變慢	解除了手中封印魔龍石，傳說中的霸龍族<br>以壓倒性的破壞能力攻擊敵人（範圍攻擊）<br>有時候打飛天使敵人並使之移動變慢	透過吸取仇恨精氣而狂暴化的魔龍石<br>將真正力量解放的傳說霸龍族（範圍攻擊）<br>必定能破壞護盾及打飛天使敵人並使之移動變慢
178			
