000	Il gatto base<br><br>	Punto a favore: definizione muscolare.<br>Gatto base.<br>	Punto a favore: definizione muscolare.<br>Altro punto a favore: capelli bellissimi.<br>
147	Potenza di fuoco all'avanguardia camuffata dalla<br>profonda nostalgia di un tempo che fu.<br>Respinge nemici neri ogni tanto.	Sognava il cielo, così gli ingegneri dell'armata felina<br>gli hanno installato addosso tecnologie di prim'ordine.<br>Respinge nemici neri ogni tanto.	Rapito da un'organizzazione criminale e riprogrammato<br>per essere un androide imbattibile e senza pietà<br>che respinge i nemici neri. (Carinissimo, però!)
148	Figlio di un coltivatore di arachidi, è diventato un rocker<br>per evitare di rivelare alla famiglia di essere allergico<br>alle noci. Resistente agli attacchi di angelici.	Dopo che il flop del secondo album, si è dato alle<br>belle arti. Disegna solo arachidi, quindi non vende.<br>Resistente agli attacchi di angelici.	I noodle potrebbero sembrare un piatto semplice, ma<br>si padroneggiano con il tocco di un vero artista. Lo stile<br>vistoso della preparazione aumenta la difesa contro angelici.
149	Una sirena salita a riva per incontrare un principe.<br>Sopravvive sulla terra con respiri profondi.<br>Efficace vs fluttuanti, può sopravvivere a un attacco letale.	Dopo che il principe è stato rapito dai terroristi,<br>Sirengatto si è unito ai berretti verdi per salvarlo.<br>Efficace vs fluttuanti, può sopravvivere a un attacco letale.	Rischia la vita per dire la verità sulla Grande Guerra<br>felina. L'etica professionale causa enormi danni ad<br>area vs fluttuanti, può sopravvivere 2 volta.
150	Sogna un Romeo conosciuto online.<br>Libro preferito: "Orgoglio, pregiudizio e parrucchieri".<br>Immobilizza brevemente angelici (danni ad area).	È cresciuta, ma sogna ancora<br>il suo cyber-Romeo. Le piace il kebab di pollo.<br>Immobilizza brevemente angelici (danni ad area).	Romeo si è rivelato un vero idiota. Ora mira<br>a un cambio di look radicale (e a un samurai<br>carino). Immobilizza brevemente angelici (danni ad area).
151	Sollevare cose pesanti è il massimo della virilità.<br>Mantiene 11 figli, 7 mogli e i loro genitori.<br>Danni enormi a nemici neri (danni ad area).	È arrivata al 12° round della vita usando<br>forza e furbizia. Girl power!<br>Danni enormi a nemici neri (danni ad area).	Il più grande amante del cibo spazzatura che<br>avrà una brutta sorpresa quando vedrà che mancano<br>le acciughe extra. Danni ad area enormi ai nemici neri.
152	Una coppia stilosa che si è dedicata alla mania<br>del pattinaggio artistico. Hanno iniziato da solo un mese.<br>Nessuno può fermare questi due piccioncini! (Danni ad area)	Pattinare è roba vecchia, adesso va il teatro<br>classico. Ora che hanno l'attenzione dei giornali<br>renderanno di nuovo trendy il dramma. (Danni ad area)	Hanno smesso di prendere sul serio il palco e<br>adesso vogliono solo far ridere il pubblico.<br>Efficaci contro nemici Antichi. (Danni ad area)
153	Stufo di fare toast tutti i giorni, è andato<br>in sciopero sparando il pane in faccia a papà.<br>Potrebbe rallentare angelici. (Danni ad area)	Usato per proiettare le star di Hollywood, ora<br>teme di essere obsoleto a causa del digitale.<br>Potrebbe rallentare angelici. (Danni ad area)	Le melodie malinconiche tolgono ai nemici la voglia<br>di combattere! Attacchi ad area potrebbero rallentare angelici<br>e sfondare le barriere!
154	Aveva cominciato a diventare un po' cicciottello, così<br>ha iniziato a fare hula hoop per allenarsi.<br>Potrebbe immobilizzare metallici.	Ha iniziato sperando di mantenere la linea, ma<br>la sua linea è cambiata in modo inaspettato.<br>Potrebbe immobilizzare metallici.	È fuori controllo e non riesce a<br>fare a meno di questi hula hoop! Finirà mai di girare?<br>Ha una possibilità di immobilizzare metallici.
155			
156			
157			
158	Trasformata in dragone con la magia maledetta<br>del motore Nyanko. (Danni ad area)<br>Efficace + respinta al 100% contro neri.	Decisa a fondersi del tutto col motore Nyanko,<br>la grande generale cedette all'oscurità. (Danni ad area)<br>Efficace + respinta al 100% contro neri.	Consumata del tutto dalla corruzione, l'unica emozione<br>che le rimane è la voglia di distruzione. (Attacchi ad area)<br>Efficace + respinta al 100% contro neri.
159	Ha quasi distrutto la scuola il primo<br>giorno di lezioni con la magia oscura della sua spada.<br>Danni enormi contro angelici. (Danni ad area)	Ha spedito il preside nell'aldilà durante<br>la cerimonia del diploma. Alcune cose non cambiano mai.<br>Danni enormi contro angelici. (Danni ad area)	Tutti i bravi ragazzi che le confessano il proprio amore<br>presto si trovano "diplomati" nell'altro mondo.<br>Danni enormi contro angelici. (Danni ad area)
160			
161			
162			
163			
164			
165			
166			
167			
168	Non si capisce se sia un Gatto...<br>C'è qualcosa di strano<br>in quelle gambe...	Incredibile, semplicemente incredibile.<br>Sembra che rallenti tutti<br>i nemici a portata.	È un gatto? O una specie di melodrammatico<br>assassino da fumetto?<br>Rallenta i nemici con attacchi ad area.
169	Non si capisce se sia un Gatto...<br>C'è qualcosa di strano<br>in quel collo...	È uno scherzo? Sul serio?!<br>Sembra che respinga<br>i nemici da lontano.	Un potente lottatore di sumo che ha affilato<br>le sue abilità combattendo per strada.<br>Attacchi a ondata con 100% di danni critici!
170	Non si capisce se sia un Gatto...<br>C'è qualcosa di strano<br>in quelle braccia...	Mi prendi in giro?!<br>Sembra che infligga danni enormi<br>(a volte critici) a un solo nemico.	Sembra un pirata col cappello di paglia<br>di nostra conoscenza. Ma non siamo sicuri.<br>Danni enormi contro un nemico (potrebbero essere critici).
171	Non si capisce se sia un Gatto...<br>C'è qualcosa di strano<br>in quella pancia...	Non. È. Possibile.<br>Sembra che immobilizzi tutti<br>i nemici a portata.	Una forma sconosciuta di vita extraterrestre<br>dall'inimmaginabile potere... o è solo un Gatto strano?<br>Immobilizza e indebolisce i nemici a portata nell'area d'att.
172	Un errore quantistico ha trasformato Nyandam in un bambino<br>con una faccia da vecchio. Spaventa a morte tutti, davvero.<br>A volte rallenta i nemici (Danni ad area).	Da quando ha salvato un gattino dallo scarico della<br>piscina a scuola, questo lo segue ogni giorno.<br>A volte rallenta i nemici (Danni ad area).	La sua natura ha prevalso e ora comanda<br>l'asilo con pugno di ferro. TUTTI SI INCHINERANNO.<br>A volte rallenta i nemici (Danni ad area).
173	Dropping in from "Survive! Mola Mola!"<br>The lone survivor of 300,000,000 brothers -<br>the ocean's a harsh realm, man.	Playing life on Hard Mode, a Mola Mola<br>is always within sight of paradise.<br>Attacks from range by screaming… then dying.	Vanishes as soon as it sees a larger fish. Or it<br>would, if it didn't take so long to turn about and run.<br>What looks like a beard is really just parasites.
174	Dropping in from "Survive! Mola Mola!"<br>His size is almost without equal, and so<br>is his royal arrogance. (Area Attack)	Bears the burden of a watery destiny,<br>Regrets? A good long scream can take<br>care of doubt and worries! (Area Attack)	A body so large matches well with the vastness<br>of the ocean. Death can come at any time, so<br>live as if this day was your last. (Area attack)
175	A cat trained by Molas for marine combat.<br>Still kinda wishes he became a meteorologist.<br>Resistant to Red enemy attacks. (Area Atk)	Evolved arms instead of legs… weird.<br>Hates being stepped all over. Stop it!!!<br>Resistant to Red enemy attacks. (Area Atk)	
176	Un dolcetto che ama le coccole brutali!<br>Avvolge il nemico in vaporosa dolcezza<br>prima di schiacciarlo violentemente senza sosta.	Abbrustolito rapidamente su un vivace falò,<br>il suo corpo in fiamme fa riaffiorare ricordi felici.<br>Infligge potenti colpi con il suo corpo soffice!	
177	Questo signore dei draghi cerca di incendiare tutto.<br>Devasta con potenti ed epici attacchi ad area.<br>Potrebbe respingere e rallentare angelici.	Un antico dragone dall'indubbia autorità.<br>Devasta con potenti ed epici attacchi ad area.<br>Potrebbe respingere e rallentare angelici.	Attacchi brutali alimentati dall'odio, una<br>tradizione familiare di crudeltà. 100% sfondamento,<br>più respinta e rallentamento vs angelici. (Danni ad area)
178			
179	Heroes from Shoumetsu Toshi! A brave<br>deliveryman and a girl of mystery.<br>Tough vs Floating (Area Attack)	Gave a stray Cat a ride, thinking it was Sophia.<br>Seeking answers in the destroyed metropolis.<br>Tough vs Floating (Area Attack)	Travelling with a mysterious being that is the<br>key to find missing Yuki. Tough vs Floating<br>Extra money from enemies (Area Atk)
180	Mysteriously reappeared after being lost in<br>the city's destruction, with strange new powers...<br>Massive Area damage to Floating enemies.	Enigmatic girl with the power to call forth<br>souls (with some help from the Cat).<br>Massive Area damage to Floating enemies.	Since growing cat ears to better speak with<br>Cats, her soul communion has also improved?<br>Massive Area damage to Floating enemies.
181	Girl lost during the city's destruction, reborn as<br>a Cat but retaining all her mysterious powers.<br>Small chance to Freeze Floating.	Girl who became a Cat after the city's destruction,<br>now slowly regaining her former charisma.<br>Small chance to Freeze Floating.	
182			
183	Celebrate "The Battle Cats POP!" on 3DS!<br>Other hobbies: Parties, Tennis, Medicine.<br>Gets lots of money from defeated enemies!	Celebrate "The Battle Cats POP!" on 3DS!<br>Has a complex thanks to his popular brother.<br>Gets lots of money from defeated enemies!	Celebrate "The Battle Cats POP!" on 3DS!<br>This Cat always seems to be in another castle.<br>Gets lots of money from defeated enemies!
184	Mr. Ninja!!Fever joins the fight!<br>Leaps gracefully from planet to planet dicing up aliens.<br>Massive damage to Alien enemies (Area Attack)	A kunoichi from "Mr. Ninja!!Fever"!<br>As bright and beautiful as her peerless swordplay.<br>Massive damage to Alien enemies (Area Attack)	
185	Joining the fight from Merc Storia! Silver<br>beast with a blunt and logical attitude.<br>Might Critical Attack, Tough vs Metal.	Joining the fight from Merc Storia!<br>A beguiling and handsome lady beast.<br>Might Critical Attack, Tough vs Metal.	Joining the fight from Merc Storia!<br>Partisan fencer with radical fashion sense.<br>Might Critical Attack, Tough vs Metal.
186	Joining the fight from Merc Storia! Lady who<br>admires dragons, dreaming of a celestial bridge.<br>Area attacks might Freeze Red/Black.	Joining the fight from Merc Storia! Can't resist<br>the dragon scales that build heaven's bridge.<br>Area attacks might Freeze Red/Black.	
187	Joining the fight from Merc Storia! A kind<br>knight troubled by uncanny strength from birth.<br>Tough vs Angel enemies.	Joining the fight from Merc Storia!<br>Merc says he's full of secrets.<br>Tough vs Angel enemies.	Joining the fight from Merc Storia! Merc says he<br>fawns over cute things when no one is looking.<br>Tough vs Angel enemies, might Dodge.
188	Joining the fight from Merc Storia! Odd girl<br>who has made pacts with creatures of night.<br>Long-range Area attacks, Strong vs Black.	Joining the fight from Merc Storia! Touching<br>her coffin will cause it to crumble to dust.<br>Long-range Area attacks, Strong vs Black.	Joining the fight from Merc Storia! The next head of<br>family of House Antol who invites souls into darkness.<br>Strong vs Black and Aku, 100% chance to Slow.
189	Joining the fight from Merc Storia! Master<br>sorcerer cursed for unknown reasons.<br>Area attacks might Knockback Angels.	Joining the fight from Merc Storia! Recovered<br>treasured items thanks to loyal disciples.<br>Area attacks might Knockback Angels.	
190	Joining the fight from Merc Storia! Gentleman of<br>the dark, here thanks to a pact with a certain lad.<br>Might Knockback/Slow Red & Black (Area)	Joining the fight from Merc Storia! An eccentric<br>citizen of the dreamworld. (Area Attacks)<br>Might Knockback/Slow Red & Black	
191	Joining the fight from Merc Storia!<br>Everyone's favorite PR pro is here!<br>Might Slow a single enemy	Joining the fight from Merc Storia! Not<br>only PR, she's an apple merchant too!<br>Might Slow a single enemy	Joining the fight from Merc Storia!<br>The Battle Cats needs PR help too, right?<br>Might Slow a single enemy
192			
193			
194	Un super-genio che sognava l'invasione aliena.<br>Si è trasformato in un cyborg-eroe per difendere<br>il pianeta! Att. ad area potrebbero immobilizzare gli alieni.	Un ragazzo bullizzato che si è nascosto in camera per anni.<br>Ora incanala la sua paura nella lotta per la giustizia!<br>La potenza d'attacco aumenta quando subisce danni! (Area)	Cambiando se stesso, ha cambiato il suo destino!<br>Ma potrà cambiare la società con i suoi poteri?<br>Efficace contro alieni, immune da attacchi a ondate.
195	Ha studiato gli arretrati di Meccanica Mensile per<br>costruire l'inarrestabile macchina assassina dei suoi sogni.<br>Resistente a nemici alieni/neri. Sopravvive a un colpo letale.	Intrufolatasi in un aeroporto, ha smontato il motore di un<br>jet nottetempo per avere i pezzi per il suo capolavoro mech.<br>Magnifique. Respinta + indebolimento contro alieni.	Reclutata dalla NYASA per progettare mech<br>per ricognizioni spaziali. Astrofisica? No problem.<br>Danni ad area enormi + rallentamento contro alieni.
196	Indossa un costume speciale che blocca i raggi UV,<br>ma non può impedire ai paparazzi di seguirlo...<br>Danni ad area enormi contro fluttuanti/alieni.	È diventato un mostro per sconfiggere i terrori della notte.<br>Ma cede alle richieste di autografi da parte di vecchine.<br>Danni ad area enormi contro angelici/alieni.	Ha ceduto a un contratto per tre film per comprare<br>un costume tecnologico alimentato dalla paura dei malvagi.<br>Danni ad area enormi ad alieni e Antichi.
197	Piega il metallo quando è contento. Ama i cereali, ma<br>si ritrova con un cucchiaio inutile prima che possa<br>mangiare. A volte rallenta gli alieni.	La sua felicità apre portali extradimensionali.<br>Non accettate il suo invito a giocare a palla.<br>A volte rallenta gli alieni.	Tutto verrà consumato dai portali che crea.<br>Presto lui stesso verrà risucchiato dai regni<br>oscuri. A volte rallenta gli alieni.
198	Esorcista in viaggio dal passato.<br>Cerca sempre di eliminare il male dalle auto sportive.<br>A volte indebolisce i nemici non metallici.	Ragazza magica da contratto alieno: il bastone<br>luccicante è un bonus da ingaggio.<br>A volte indebolisce i nemici non metallici.	Il contratto è stato rispettato. Ha la potenza definitiva<br>a portata di mano. Ma ora lavora come cattiva<br>in un parco a tema. Indebolisce al 100% non-metallici.
199	Ha trascorso un sacco di tempo in cerca dell'onda perfetta.<br>Ora ha 40 anni e non ha vissuto davvero.<br>Può bloccare alieni e sopravvivere a colpi letali. (Area)	Dice di voler fuggire dall'isola deserta, ma<br>si gode in segreto questa perenne vacanza.<br>Può bloccare alieni e sopravvivere a colpi letali. (Area)	Ha rinunciato alla salvezza, ora è sposato con il mare.<br>Le onde saranno gentili o crudeli oggi? Potrebbe bloccare<br>alieni, sopravvive al 100% a un colpo letale. (Area)
200	La pelle di metallo riduce al minimo tutti i danni subiti.<br>La lega è pura all'87,5%: i danni critici possono far male.<br>Non si può potenziare a livelli (+). (Metallico)	La pelle di metallo riduce al minimo tutti i danni subiti.<br>Orgoglioso della sua bellissima pelle, non copre le braccia.<br>Non si può potenziare a livelli (+). (Metallico)	
201	Fa marciare l'armata felina a un ritmo vivace.<br>Così preciso nel tenere il tempo da esibirsi sempre da solo.<br>Potrebbe ridurre il danno dei metallici a metà.	Dirige un'Accademia felina d'élite. Ha ispirato per 40 anni<br>gli studenti a conquistare terre sconosciute per i gatti.<br>Potrebbe ridurre il danno dei metallici a metà.	Ha ereditato un chiosco di gnocchi di riso. Cerca<br>una moglie che vada perfettamente a tempo<br>con i suoi colpi di mazza. Potrebbe indebolire metallici.
202	Celebrating The Battle Cats' Taiwan version,<br>this Cat got too excited and steamed itself in a basket.<br>Is that meat inside, or PURE PASSION?!	Celebrating The Battle Cats' Taiwan version,<br>grew bigger to satisfy more hungry people. There's<br>no basis to rumors he's got pizza filling inside.	
203	I ricercatori dell'armata felina hanno clonato una super arma<br>antica: un adorabile Tanuki che sopravvive alle fiamme...<br>Potrebbe indebolire attacchi di alieni/angelici. (Att. area)	In contatto con antichi spiriti, Kachi raccoglie<br>tutto il calore che ha assorbito per attacchi esplosivi!<br>Indebolisce attacchi di alieni/angelici. (Danni ad area)	Magia antica potenziata dalla moderna tecnologia.<br>Brucia tutto e non lasciare tracce!<br>Indebolisce attacchi di alieni/angelici. (Danni ad area)
204			
205			
206			
207			
208			
209	Un piccoletto che sogna di diventare<br>quel gatto famoso per la sua convenienza.<br>	Un piccoletto che sogna di diventare<br>quel Gatto famoso per i fantastici bicipiti scintillanti.<br>	Un piccoletto che sogna di diventare<br>quel gatto famoso per i capelli spettacolari.<br>Ridimensionato per il miglior rapporto qualità-prezzo.
210	Un piccoletto che sogna di diventare<br>quel Gatto abbastanza forte da spostare un sassolino.<br>Forte. Salute alta. (Danni ad area)	Un piccoletto che sogna di diventare<br>quel Gatto abbastanza forte da spostare una piccola roccia.<br>Difesa rigida. Ora con angoli. (Danni ad area)	Un piccoletto che sogna di diventare<br>quel gatto famoso per l'Ottima™ difesa.<br>Stessa potenza d'attacco di sempre. (Danni ad area)
211	Un piccoletto che sogna di diventare<br>quel pazzo per i combattimenti efficace contro i rossi.<br>	Un piccoletto che sogna di diventare<br>quell'aspirante eroe efficace contro i rossi.<br>	Un piccoletto che sogna di diventare<br>quel cavaliere oscuro aspirante Gatto.<br>Grande potenza contro angelici.
212	Una nota spia che insiste nel travestirsi durante<br>i colpi. Non ha mai fallito una missione, comunque...<br>Possibilità del 100% di rallentare alieni/rossi. (Att. area)	Fa parte della famigerata gilda dei Gatti assassini,<br>non lascia nessuna traccia. Consegna pizze come<br>copertura. Forti danni ad area contro alieni/rossi.	Comandante dei servizi segreti V.O.L.P.E.,<br>dirige con spietatezza una rete globale di esperti<br>assassini. Respinta att. area + indebolisce alieni/rossi.
213	Un quarto di libbra di aggressività di primo taglio!<br>Perfetto per un pranzo veloce o assalti da guerriglia.<br>100% manzo! Non credevi...?	Riempito di lattuga, formaggio e spirito combattivo!<br>L'ideale per chi è davvero affamato di battaglia.<br>Mangia con moderazione e ricordati di allenarti!	Festeggia i 3 anni di The Battle Cats!<br>Dai in pasto ai tuoi nemici 1000 calorie di dolore!<br>Scegli il contorno: patatine... patatine... o patatine.
214	Recruited from Metal Slug Defense!<br>An elite commando masked as a typical POW<br>Might survive lethal attacks. (Area Atk)	Recruited from Metal Slug Defense!<br>Lays down cover fire for the Cats with gas<br>bombs. Might survive lethal attacks. (Area Atk)	
215	Recruited from Metal Slug Defense!<br>This major excels at programming recruits.<br>Might temporarily freeze Aliens.	Recruited from Metal Slug Defense!<br>A top intel officer who lets loose with artillery.<br>Might temporarily freeze Aliens.	
216	Recruited from Metal Slug Defense!<br>This captain takes pride in his trademark shades.<br>Might knockback Aliens (Area Atk)	Recruited from Metal Slug Defense!<br>Master of the shotgun, Marco's best friend.<br>Might knockback Aliens (Area Atk)	
217	Recruited from Metal Slug Defense!<br>Staff sergeant in the Intel division.<br>Might cause massive damage to Aliens (Area Atk)	Recruited from Metal Slug Defense!<br>Demolitions, survival, spying - she's mastered it all!<br>Might cause massive damage to Aliens (Area Atk)	
218	Recruited from Metal Slug Defense!<br>A demure yet naïve Sgt. Major in the intel<br>division. Might slow Aliens.	Recruited from Metal Slug Defense!<br>Easygoing and genuine, a crackshot with<br>handguns. Might slow Aliens.	
219	Recruited from Metal Slug Defense!<br>A small, high-performance single-<br>passenger tank. (Area Atk)	Recruited from Metal Slug Defense!<br>Battle-tested model with superior<br>mobility and firepower. (Area Atk)	
220	Recruited from Metal Slug Defense!<br>Feared by allies and foes alike as the<br>"Demon Sergeant" Survives one lethal strike.	Recruited from Metal Slug Defense!<br>Shirtless even in subzero temperatures.<br>Survives one lethal strike.	
221	Recruited from Metal Slug Defense!<br>Yep, they're actual Martians.<br>Might weaken Aliens.	Recruited from Metal Slug Defense!<br>Mastered warping. No motivation to try<br>now, though. Might weaken Aliens.	
222	Recruited from Metal Slug Defense!<br>Giant crab that uses tank wreckage to attack.<br>Strong against Aliens. (Area Atk)	Recruited from Metal Slug Defense!<br>Terrifying claws wade towards the beachhead!<br>Strong against Aliens. (Area Atk)	
223	Recruited from Metal Slug Defense!<br>A robotic guardian who patrols secret factories.<br>Might knockback + slow Aliens. (Area Atk)	Recruited from Metal Slug Defense!<br>Fires lasers powerful enough to vaporize all matter.<br>Might knockback + slow Aliens. (Area Atk)	
224	Recruited from Metal Slug Defense!<br>A charismatic ex-general plotting a coup.<br>Knockback + resistant to Aliens. (Area Atk)	Recruited from Metal Slug Defense!<br>Fights corruption with rocket launcher in hand.<br>Knockback + resistant to Aliens. (Area Atk)	
225	Recruited from Metal Slug Defense!<br>Large bomber copter used by the Morden Army.<br>Might knockback + Strong def. vs Floating. (Area Atk)	Recruited from Metal Slug Defense!<br>A fighter used to ensure the safety of VIPs.<br>Might knockback + Strong def. vs Floating. (Area Atk)	
226	Un giovane mago precoce che ha catturato<br>un incubo. I suoi poteri infernali infliggono enormi<br>danni solo ad alieni, fluttuanti e base nemiche.	Ora che la Forma Reale del suo incubo è rivelata,<br>viaggia per raccogliere anime malvagie. Danni enormi solo<br>ad angeli/alieni, ottiene bei soldi da ogni nemico sconfitto.	Ha preso una laurea online in anatomia occulta.<br>Primo tentativo di trapianto di anima: GRANDE SUCCESSO!<br>Infligge danni estremi, ma solo su alieni/basi!
227	Un Gatto malefico nascosto<br>in una zucca intagliata. Vive<br>per spaventare ignari passanti.	Coloro che vivono solo per scherzi vengono<br>costretti da una maledizione a vagare come fantasmi... Ma non<br>imparano mai. Può immobilizzare nemici neri per breve tempo.	Appare vicino a chi dorme, indicandone la morte.<br>La sventura giunge non appena canta: "Abra Cadavere!"<br>Ammazza Behemoth, efficace vs neri e può immobilizzarli.
228	La preferita di tutti, vestita per<br>Halloween ma senza la voglia di fare<br>scherzi agli altri. Danni critici possibili.	Nessun talento magico, ma sembrava così entusiasta<br>che l'hanno resa comunque una strega. Un po' di<br>fiducia in più fa la differenza. (Danni critici)	Cammina per le strade decorate durante Halloween. Ha cambiato<br>il suo aspetto grazie a una magia che dura solo una notte.<br>Scudo ondate, possibilità di danni critici.
229	La signora del vento quest'anno è molto presa da Halloween.<br>Colpisce i nemici con raggi al plasma ultraterreni.<br>Danni enormi contro alieni. (Danni ad area)	Lo scherzo di Halloween ideale per questa super-donna<br>è un raggio al plasma sparato all'improvviso.<br>Danni enormi contro alieni. (Danni ad area)	
230	La regina dei tuoni ogni anno si fa prendere da Halloween.<br>Colpisce i cattivi con scariche di luci spettrali.<br>Danni enormi contro nemici neri. (Att. ad area)	Halloween è il momento migliore per stuzzicare i ragazzi.<br>Colpisce i cattivi con scariche di luci spettrali.<br>Danni enormi contro nemici neri. (Att. ad area)	
231			
232			
233			
234			
235			
236			
237	Un piccolo saputello che ha superato il test d'ingresso<br>per Miarvard. Trova i punti deboli dei nemici<br>e indebolisce molto i loro attacchi.	Ha vinto il premio Miabel in economia l'anno scorso.<br>Le sue abilità retoriche confondono i nemici<br>tanto da ridurre il loro potere offensivo.	Leggenda di esperienza e capacità mentali senza pari.<br>Accumula incredibili quantità di XP mentre dorme!<br>Indebolisce i nemici con attacchi a valanga
238	Erede del leggendario Gatto riccone. Nato ricco,<br>continua a risparmiare ogni centesimo. Fruga nelle<br>tasche dei nemici sconfitti per soldi extra.	Padre del leggendario Gatto riccone. Si è arricchito<br>non spendendo mai i profitti della sua piccola attività.<br>Vive degli spiccioli dei nemici sconfitti.	Nonno del leggendario Gatto riccone. Ha investito<br>sei dollari nella NekoSoft duecento anni fa.<br>Ogni nemico sconfitto rimpingua il suo conto in banca.
239	Prima della battaglia, l'addestramento. Ha solo<br>una spara-patate, quindi non aspettarti TROPPE<br>Respinte dal suo attacco super a distanza.	Un feroce assassino che rispetta i contratti.<br>Usa ancora le spara-patate per una sfida in più.<br>Attacco a distanza con Respinta su non-metallici.	Cecchino mercenario di 31 anni, che ha comprato tutta<br>la sua attrezzatura di seconda mano su Gattbay.<br>Attacco a distanza con Respinta su non-metallici.
240	Non si capisce se sia un Gatto...<br>C'è qualcosa di strano<br>in quegli... spuntoni?	Non. È. Possibile.<br>Sopravvive a un colpo letale; più danni<br>subisce, più diventa forte. (Danni ad area)	Antico dio che collega il mondo dei vivi<br>e dei morti. Sopravvive una volta; diventa più forte<br>man mano che subisce danni. (Danni ad area)
241	Una ragazza sbadata vestita per Natale!<br>Spara un raggio gelato potente a corto raggio.<br>Resistente ad alieni/angelici. (Danni ad area)	Si innamora di ogni sciatore gentile con lei.<br>Cade tra le braccia dell'amore o sul ghiaccio?<br>Resistente ad alieni/angelici. (Danni ad area)	
242	Una ragazza appassionata vestita per Natale!<br>Grandi danni dal suo albero a distanza!<br>Efficace contro alieni/angelici. (Danni ad area)	Travestirsi per Natale fa uscire il suo lato<br>tenero! Ma il vischio la fa innervosire.<br>Efficace contro alieni/angelici. (Danni ad area)	
243	Una sacra guardiana vestita per Natale!<br>Le sue benedizioni festive cancellano il male!<br>Potrebbe immobilizzare alieni/angelici. (Danni ad area)	Non sorride mai, ma lo spirito natalizio<br>le fa spuntare un ghigno gentile in viso.<br>Potrebbe immobilizzare alieni/angelici. (Danni ad area)	
244	Un adorabile regalo da Babbo Natale.<br>Indovina cosa contiene?<br>A volte immobilizza nemici angelici.	Un adorabile regalo dall'armata felina.<br>C'è qualcosa che sbatte là dentro...<br>A volte immobilizza nemici angelici.	Un adorabile regalo da Babbo Natale.<br>Indovina cosa contiene?<br>A volte immobilizza nemici angelici.
245	Un piccoletto che sogna di diventare<br>quel gatto con potenza d'attacco e raggio eccezionali.<br>	Un piccoletto che sogna di diventare<br>quel gatto con gambe eccessivamente meravigliose.<br>	Un piccoletto che sogna di diventare<br>quel gatto che ha imparato l'arte dell'arto.<br>Potrebbe respingere alieni e sfondare le barriere.
246	Un piccoletto che sogna di diventare<br>quel gatto che sa usare la testa!<br>	Un piccoletto che sogna di diventare<br>quel gatto che agita la testa ai concerti rock!<br>	Un piccoletto che sogna di diventare<br>quel gatto che usa la criniera per spolverare.<br>Immune da danni da ondate.
247	Un piccoletto che sogna di diventare<br>quel gatto con la salute di un pulcino e<br>potenza d'attacco eccezionale. (Danni ad area)	Un piccoletto che sogna di diventare<br>quel gatto che ha superato la gravità<br>e se la cava contro nemici multipli. (Danni ad area)	Un piccoletto che sogna di diventare<br>quel gatto che ha distrutto una città con la luce.<br>Efficace contro gli zombi. (Danni ad area)
248	Un cameo di GirlsMons! Investito<br>da un'auto, se la cava ancora! Potrebbe<br>rallentare il movimento di zombi!	Un cameo di GirlsMons! Un fantasma<br>felino ossessionato dal regno mortale.<br>Potrebbe rallentare il movimento di zombi.	Gatto che ha superato un varco interdimensionale.<br>Se lo attraversi, non potrai tornare indietro.<br>Ha una piccola probabilità di rallentare gli zombi.
249			
250			
251			
252			
253			
254			
255			
256			
257	La più alta autorità tra i vecchi dèi<br>dell'Olimpo. Fa piovere distruzione con<br>la sua lancia celeste. Efficace vs angelici. (Att. ad area)	Reso potente dalla furia divina, la sua forza cresce<br>ancora di più! La sua lama celeste riduce in cenere<br>l'esistenza. Efficace contro angelici. (Danni ad area)	Erede della benedizione di Mana, esercita il potere<br>del frutto della creazione per realizzare un nuovo paradiso.<br>Debole all'ira di Era, efficace vs angelici. (Att. ad area)
258	Dio della morte che scorta le anime umane<br>negli inferi. Il suo bastone infernale libera i mortali<br>dal peccato. Indenne da attacchi a ondata. (Danni ad area)	Il suo dominio sugli inferi è completo.<br>Un singolo tocco del suo bastone sacro farà estinguere<br>ogni forma di vita. Indenne da attacchi a ondata. (Att. area)	Dio della morte che usa il frutto della creazione per<br>recidere i legami delle anime dei defunti ai regni mortali.<br>Indenne da attacchi a ondata. (Danni ad area)
259	Dea della bellezza, orgoglio, amore e... altra roba.<br>Il suo arco d'oro non manca un colpo da lontano.<br>Infligge danni enormi ad alieni. (A distanza)	Il suo arco brillante assicura una lunga vita, oppure<br>la porta via... Attento a come parli con questa dea!<br>Infligge danni enormi ad alieni. (A distanza)	Dea dell'amore, della bellezza e dell'orgoglio. Benedetta<br>dal frutto della creazione, vita e morte sono ai suoi ordini.<br>Danni ad area a distanza enormi ad alieni.
260	Un CEO tecnologico che perlustra l'ufficio<br>alla ricerca di stagisti pigri da punire! Efficace contro<br>nemici rossi, neri e angelici. (Danni ad area)	UAF: Un Aero-Felino di ultima generazione.<br>Tende a schiantarsi regolarmente... tecnologia<br>in via di sviluppo! Efficace vs nemici rossi, neri, angelici (Area)	Arriva da una linea temporale futura per i Gatti di oggi.<br>Spesso si intrufola al cinema gratis...<br>Efficace contro nemici rossi, neri e angelici. (Danni ad area)
