000	Die Standardkatze.<br><br>	Verkaufsargument: definierte Muskeln.<br>Standardkatze.<br>	Verkaufsargument: definierte Muskeln.<br>Zusatzargument: hübsche Frisur.<br>
130	Ich schwöre jenen Treue, die mich besiegt haben!<br>Hat sich ungefragt der Katzenarmee angeschlossen.<br>Kann Feinde zurückstoßen. Flächenangriff.	Ein wahnwitziges Mädchen, das endlich ein Katzen-<br>wesen zähmen konnte. Ihr Papa ist übrigens Lehrer.<br>Kann Feinde zurückstoßen. Flächenangriff.	Durchlebt gerade ihre erste Schwärmerei.<br>Sie tut das ganz sicher nicht für dich! B-Baka!<br>Kann Feinde zurückstoßen. Flächenangriff.
131	Eine kleine Schwester, die ein Star sein möchte.<br>Hätte sie doch nur den Mut, tatsächlich zu singen!<br>Bewundert Moneko. Haudrauf möglich.	Trotz Lampenfieber auf die Bühne gezwungen.<br>Möchte singen, aber ihre Stimme versagt<br>auf der Bühne. Haudrauf möglich.	
132	Diese Katze widmet ihr Leben der Perfektionierung des<br>mächtigen Kung-Fu-Angriffs mit mittlerer Reichweite.<br>Erhöhte Zerstörungskraft in einem einzigen Schlag.	Ein legendärer Kung-Fu-Meister, dessen Alter<br>seiner Trinkfestigkeit keinen Abbruch tut.<br>Erhöhte Zerstörungskraft in einem einzigen Schlag.	Hat jahrelang die Eisenklauen-Technik studiert und<br>hat nun die mystische Kampfkunst gemeistert.<br>Mächtige, fokussierte Angriffe auf ein Ziel.
133			
134	Ein Elitekatzenagent, der um die geheime Biowaffe<br>der Regierung „S.C.H.I.L.D.I.“ weiß. Resistent gegen<br>schwarze/Engel-Feinde. Flächenangriff.	Eine supermächtige S.C.H.I.L.D.I., die durch das<br>streng geheime T-Virus verstärkt wurde. Resistent<br>Resistent gegen schwarze/Engel-Feinde.	Hat sich völlig neu eingekleidet, um seinen Schwarm<br>im Labor zu beeindrucken (und hat außerdem Donuts<br>gegen schwarze/Engel-Feinde. Flächenangriff.
135	Champion des diesjährigen Vogelkatzen-Wettbewerbs,<br>der traditionell am See abgehalten wird. Kann<br>fliegende/Engel-Feinde zurückstoßen. Flächenangriff.	Hat sich noch mehr angestrengt, um das All zu erreichen.<br>Sammelte Sternenkraft & entwickelte sich. Stößt<br>fliegende/Engel-Feinde garantiert zurück. Flächenangriff.	Er hat das Ende des Universums erreicht und die<br>Wahrheit gesehen. Stößt fliegende/Engel-Feinde<br>garantiert zurück und friert sie ein. Flächenangriff.
136	Sucht alle, die stärker sind als er selbst.<br>Gib immer dein Bestes! Achte auf die Fächer ...<br>Kann rote/Engel-Feinde einfrieren. Flächenangriff.	Eine Straßenbande wilder Katzen, die erkannt hat, dass<br>Aufwand und Ergebnisse zwei paar Schuhe sind.<br>Kann rote/Engel-Feinde einfrieren. Flächenangriff.	Der Zweck heiligt vielleicht die Mittel nicht, aber<br>er heiligt definitiv, eine coole Karre zu haben.<br>Kann rote/Engel-Feinde einfrieren. Flächenangriff.
137	Eine Geheimorganisation soll die Wünsche, die man dieser<br>Statue anvertraut, wahr werden lassen. Fügt schwarzen/<br>Engel-Feinden heftigen Schaden zu. Flächenangriff.	Die geheime Festung der Jizo-Organisation.<br>... halt, ist das nicht top secret? Fügt schwarzen/<br>Engel-Feinden heftigen Schaden zu. Flächenangriff.	Nach dem Raketenschlag der Regierung geht die<br>Jizo-Organisation jetzt in die Offensive. Fügt schwarzen/<br>Engel-Feinden heftigen Schaden zu. Flächenangriff.
138	Eine hübsche Katze, die im Auftrag des Mondes agiert.<br>Ihre wahre Gestalt ist noch immer ein Geheimnis ...<br>Kann eiserne/Engel-Feinde verlangsamen. Flächenangr.	Ein Prototyp der unzähligen uralten Katzenwaffen, die<br>auf Grundlage gestohlener Pläne hergestellt wurden.<br>Kann eiserne/Engel-Feinde verlangsamen. Flächenangr.	Hat einmal fast eine Galaxis vernichtet ... Ups.<br>So etwas passiert, wenn man eine KI ohne Gewissen erschafft.<br>Verlangsamt eiserne/Engel-Feinde. Flächenangriff.
139			
140	Got hooked on new capsule material<br>somehow managed to transform itself<br>into something similar (Area Attack)	See the truth inside. Macho Cat's trainer.<br>Everyone is facsinated by its rippling triceps.<br>Distant relative of the Titan Cat. (Area attack)	
141	Eine Gottheit, die Zeit und Raum übersteigt.<br>Das Paradoxon hat ihm die Gestalt eines Kinds geschenkt,<br>obwohl er erwachsene Wünsche verspürt ... Ist er es wirklich?	Eine Gottheit, die Zeit und Raum übersteigt.<br>Mit diesem Körper, so glaubt er fest, kann er endlich<br>das Herz der wunderschönen Walküre für sich gewinnen.	
142			
143	Ihr warmes Lächeln und ihre heilende Aura lindern den<br>Schmerz ihrer stechenden Spritze. Kann schwarze/<br>fliegende Feinde zurückstoßen/verlangs. Flächenangriff.	Eine Lazarettschwester, die Leben mit einer Spritze rettet.<br>Verteidigungskraft/-fläche erhöht. Kann schwarze/fliegende<br>Feinde zurückstoßen/verlangsamen. Flächenangriff.	Eine beliebte Sanitäterin & Veteranin vieler Katzenkampagnen.<br>Angriffe liefern wichtige Arznei. Kann schwarze/fliegende<br>Feinde zurückstoßen/verlangsamen. Flächenangriff.
144	Keiner weiß, warum, aber diese Katze ist einem rigorosen<br>Trainingsplan gefolgt, um eine prächtige Festung zu werden.<br>Ihr Wellenangriff ist tatsächlich nur lautes Geschrei.	Hat einen Cosplay-Helm aus dem Katalog gekauft.<br>Verfolgt gern Fremde und tarnt sich dabei als Turm.<br>Feuert Wellenangriffe ab, wenn sie zu aufgeregt wird.	Hat sich selbst durch reine Willenskraft in eine ideale<br>Katzenbasis mit hochmodernen LASERSTRAHLEN verwandelt!<br>Macht trotzdem beim Schießen „piu-piu“-Geräusche.
145	Namenlose Legende des westlichen Grenzlandes.<br>Heute wird er den Banditen Gerechtigkeit bringen.<br>Verlangsamt manchmal schwarze Feinde.	Eine wandernde Revolverlegende, die ihre Pistolen<br>für die Gerechtigkeit führt! Muttersprache: Italienisch.<br>Verlangsamt manchmal schwarze Feinde.	Hat das Desperado-Leben an den Nagel gehängt und<br>will jetzt beim Bullenreiten groß abräumen.<br>Verlangsamt manchmal schwarze Feinde.
146	Diese ambitionierte Katze hat Holzstelzen gebaut,<br>um besser nach den Sternen greifen zu können.<br>Kann Engel-Feinde zurückstoßen.	War allein nicht genug, also hat sie ein paar Freunde<br>um sich versammelt. Natürlich ist sie ganz oben.<br>Kann Engel-Feinde zurückstoßen.	Hoffentlich bringt die Entscheidung ihres Partners, billige<br>schwedische Möbel zu nutzen, nicht die Träume zum Einsturz.<br>Kann Engel-Feinde zurückstoßen.
147	Hochmoderne Feuerkraft, die unter einer Nostalgie<br>erweckenden Hülle von damals versteckt liegt.<br>Kann schwarze Feinde zurückstoßen.	Vom Himmel träumend hat sie den Katzenarmee-Ingenieuren<br>erlaubt, die beste Technik in ihrem Körper zu verbauen.<br>Kann schwarze Feinde zurückstoßen.	Wurde von Schurken gekidnappt und in einen unaufhalt-<br>baren, gnadenlosen Androiden verwandelt - wie niedlich!<br>Kann schwarze Feinde zurückstoßen.
148	Sohn eines Erdnussbauern, der Rockstar wurde, um seiner<br>Familie nicht von seiner Nussallergie erzählen zu müssen.<br>Resistent gegen Engel-Feinde.	Nachdem das 2. Album gefloppt war, versuchte sie sich<br>an der Malerei. Kann nur Erdnüsse malen, was sich nicht<br>verkauft. Resistent gegen Engel-Feinde.	Nudeln scheinen vielleicht simpel, aber ein Künstler ist<br>ist nötig, um sie wahrhaft zu meistern. Der auffällige<br>Kochstil stärkt die Verteidigung gegen Engel.
149	Eine Meerjungfrau, die an Land einen Prinzen kennenlernen<br>wollte. Überlebt an Land durch langes Luftanhalten.<br>Stark gegen fliegende Feinde. Überlebenswille.	Als sie hörte, dass ihr Prinz von Terroristen entführt wurde,<br>hat sich die Meer-Katze verpflichtet, um ihn zu retten.<br>Stark gegen fliegende Feinde. Überlebenswille.	Sie riskiert ihr Leben, um die Wahrheit über den Großen<br>Katzenkrieg zu berichten. Überlebenswille.<br>Fügt fliegenden Feinden heftigen Schaden zu. Flächenangriff.
150	Träumt von einem Romeo, den sie online kennengelernt hat.<br>Lieblingsbuch: „Stolz, Vorurteile und Frisuren“<br>Friert Engel kurz ein. Flächenangriff.	Ganz erwachsen, aber träumt immer noch von ihrem<br>Cyber-Romeo. Mag Hühnchen-Döner.<br>Friert Engel kurz ein. Flächenangriff.	Romeo war ein echter Depp. Jetzt will sie ihr ganzes Image<br>ändern (und läuft einem niedlichen Samurai-Lord<br>hinterher). Friert Engel kurz ein. Flächenangriff.
151	Schwere Dinge zu heben ist der Gipfel der Männlichkeit.<br>Unterstützt 11 Kinder, 7 Ehefrauen und deren Eltern.<br>Fügt schwarzen Feinden heftigen Schaden zu. Flächenangriff.	Hat durch ihre eigene Ausdauer und ihre Cleverness die<br>12. Runde des Lebens erreicht. Sie ist nicht zu stoppen!<br>Fügt schwarzen Feinden heftigen Schaden zu. Flächenangriff.	Der größte Junkfood-Fan der Welt wird einen Schock erleben,<br>wenn er erfährt, dass der Lieferdienst die Anchovis vergessen<br>hat. Heftiger Schaden gg. schwarze Feinde. Flächenangriff.
152	Ein elegantes Paar, das auf den Eiskunstlauf-Zug<br>aufspringt. Sie sind erst einen Monat dabei.<br>Niemand kann dieses Liebespaar aufhalten! Flächenangriff.	Wer läuft heute noch Schlittschuh, jetzt dreht sich alles um<br>klassisches Theater. Mit den Medien auf ihrer Seite haben sie<br>die alte Kunst wieder cool gemacht. Flächenangriff.	Sie nehmen ihre Bühnenkunst nicht mehr so ernst und<br>wollen nun einfach die Leute zum Lachen bringen.<br>Stark gegen Relikt-Feinde. Flächenangriff.
153	Hatte keine Lust mehr, täglich Brot zu toasten, und hat<br>die Scheibe demonstrativ in Papas Gesicht gepfeffert.<br>Kann Engel-Feinde verlangsamen. Flächenangriff.	Gibt normalerweise Hollywood-Stars wieder, sorgt sich aber,<br>dank digitalem Format überflüssig geworden zu sein.<br>Kann Engel-Feinde verlangsamen. Flächenangriff.	Melancholische Melodien rauben den Feinden ihren<br>Kampfwillen! Kann Engel verlangsamen und<br>Barrieren durchbrechen! Flächenangriff.
154	Fühlte sich etwas mollig, also hat sie angefangen,<br>Hula-Hoop-Kurse zu besuchen.<br>Kann eiserne Feine einfrieren.	Hatte anfänglich gehofft, ihre gute Figur zu bewahren, aber<br>ihr Körper hat sich auf ungeahnte Weise verändert.<br>Kann eiserne Feine einfrieren.	Sie ist außer Kontrolle und kann einfach nicht genug dieser<br>herrlichen Reifen haben! Wird das Kreisen je enden?<br>Kann eiserne Feine einfrieren.
155			
156			
157			
158	Wurde durch die verfluchte Magie der Nyanko-Maschine<br>in einen Drachen verwandelt. Stößt schwarze Feinde<br>garantiert weit zurück. Flächenangriff.	Ist freiwillig vollends mit der Nyanko-Maschine verschmolzen<br>und nun erliegt die Generalin dem Bösen. Stößt schwarze<br>Feinde garantiert weit zurück. Flächenangriff.	Völlig vom Bösen verdorben. Die einzige Emotion, die ihr<br>geblieben ist, ist Zerstörungswille. Stark gegen schwarze<br>Feinde und stößt sie garantiert zurück. Flächenangriff.
159	Hat an ihrem ersten Schultag mit ihrem Schwert voll<br>dunkler Magie fast das Schulhaus zerstört.<br>Heftiger Schaden gegen Engel. Flächenangriff.	Hat während der Abschlussfeier den Schuldirektor ins<br>Jenseits verbannt. Manche Dinge ändern sich nie.<br>Heftiger Schaden gegen Engel. Flächenangriff.	Alle netten Jungs, die ihr ihre Liebe gestehen, werden<br>unversehens in die nächste Welt „versetzt“.<br>Heftiger Schaden gegen Engel. Flächenangriff.
160			
161			
162			
163			
164			
165			
166			
167			
168	Unsicher, ob das wirklich eine Katze ist ...<br>Irgendwas stimmt nicht mit diesen<br>Beinen ...	Unglaublich, einfach unglaublich.<br>Dieses Kerlchen scheint alle Feinde<br>in Reichweite zu verlangsamen.	Ist das eine Katze? Oder ein übertrieben melodramatischer<br>Bösewicht aus einem Comicheft?<br>Verlangsamt Feinde mit Flächenangriffen.
169	Unsicher, ob das wirklich eine Katze ist ...<br>Irgendwas stimmt nicht mit diesem<br>Hals ...	Das ist nicht dein Ernst. Echt jetzt?!<br>Dieses Kerlchen scheint Feinde aus der Ferne<br>zurückzustoßen.	Ein starker Sumo-Ringer, der seine Kampfexpertise auf<br>der Straße noch weiter verbessert hat.<br>Wellenangriffe sind garantiert Haudrauf-Angriffe!
170	Unsicher, ob das wirklich eine Katze ist ...<br>Irgendwas stimmt nicht mit diesen<br>Armen ...	Willst du mich veräppeln?!<br>Dieses Kerlchen scheint einem einzigen Feind heftigen<br>Schaden (manchmal Haudrauf) zuzufügen.	Es scheint sich hierbei um einen Piraten mit Strohhut zu<br>handeln. Aber sicher wissen, können wir es nicht.<br>Heftiger Schaden gegen einen Feind (Haudrauf möglich).
171	Unsicher, ob das wirklich eine Katze ist ...<br>Irgendwas stimmt nicht mit diesem<br>Bauch ...	Unmöglich. Das kann nicht sein ...<br>Dieses Kerlchen scheint alle Feinde<br>in Reichweite einzufrieren.	Eine völlig unbekannte außerirdische Lebensform mit<br>unvorstellbarer Macht ... oder doch nur eine komische Katze?<br>Alle Feinde in Reichweite werden eingefroren und geschwächt.
172	Eine Quantenverschiebung hat Nyandam in ein Kleinkind<br>mit äußerst alten Gesichtszügen verwandelt. Echt gruselig.<br>Verlangsamt manchmal Feinde. Flächenangriff.	Seit er ein Kätzchen aus dem Schulschwimmbecken<br>gerettet hat, begleitet es ihn jeden Tag zur Schule.<br>Verlangsamt manchmal Feinde. Flächenangriff.	Seine Natur ist durchgebrochen. Nun herrscht er mit eiserner<br>Hand über den Kindergarten. ALLE WERDEN SICH BEUGEN.<br>Verlangsamt manchmal Feinde. Flächenangriff.
173	Dropping in from "Survive! Mola Mola!"<br>The lone survivor of 300,000,000 brothers -<br>the ocean's a harsh realm, man.	Playing life on Hard Mode, a Mola Mola<br>is always within sight of paradise.<br>Attacks from range by screaming… then dying.	Vanishes as soon as it sees a larger fish. Or it<br>would, if it didn't take so long to turn about and run.<br>What looks like a beard is really just parasites.
174	Dropping in from "Survive! Mola Mola!"<br>His size is almost without equal, and so<br>is his royal arrogance. (Area Attack)	Bears the burden of a watery destiny,<br>Regrets? A good long scream can take<br>care of doubt and worries! (Area Attack)	A body so large matches well with the vastness<br>of the ocean. Death can come at any time, so<br>live as if this day was your last. (Area attack)
175	A cat trained by Molas for marine combat.<br>Still kinda wishes he became a meteorologist.<br>Resistant to Red enemy attacks. (Area Atk)	Evolved arms instead of legs… weird.<br>Hates being stepped all over. Stop it!!!<br>Resistant to Red enemy attacks. (Area Atk)	
176	Ein süßer Schatz, der gerne ruppig schmust!<br>Wickelt ihre Feinde um den schaumzuckersüßer Finger,<br>bevor sie sie unaufhörlich und gnadenlos verprügelt.	Wurde kurz über einem Lagerfeuer angeschmolzen<br>und nun weckt ihr verbrannter Körper schöne Erinnerungen.<br>Verteilt mit ihrem weichen Körper heftige Trachten Prügel!	
177	Dieser Drachenherrscher will alles in Flammen sehen.<br>Er verwüstet seine Feinde mit epischen Flächenangriffen.<br>Kann Engel zurückstoßen und verlangsamen.	Ein uralter Drache, der unangefochten herrscht.<br>Er verwüstet seine Feinde mit epischen Flächenangriffen.<br>Kann Engel zurückstoßen und verlangsamen.	Brutale, hasserfüllte Angriffe – Gnadenlosigkeit gehört<br>hier zur Familie. Abwehrbrecher garantiert. Stößt Engel<br>zurück und verlangsamt sie. Flächenangriff.
178			
179	Heroes from Shoumetsu Toshi! A brave<br>deliveryman and a girl of mystery.<br>Tough vs Floating (Area Attack)	Gave a stray Cat a ride, thinking it was Sophia.<br>Seeking answers in the destroyed metropolis.<br>Tough vs Floating (Area Attack)	Travelling with a mysterious being that is the<br>key to find missing Yuki. Tough vs Floating<br>Extra money from enemies (Area Atk)
180	Mysteriously reappeared after being lost in<br>the city's destruction, with strange new powers...<br>Massive Area damage to Floating enemies.	Enigmatic girl with the power to call forth<br>souls (with some help from the Cat).<br>Massive Area damage to Floating enemies.	Since growing cat ears to better speak with<br>Cats, her soul communion has also improved?<br>Massive Area damage to Floating enemies.
181	Girl lost during the city's destruction, reborn as<br>a Cat but retaining all her mysterious powers.<br>Small chance to Freeze Floating.	Girl who became a Cat after the city's destruction,<br>now slowly regaining her former charisma.<br>Small chance to Freeze Floating.	
182			
183	Celebrate "The Battle Cats POP!" on 3DS!<br>Other hobbies: Parties, Tennis, Medicine.<br>Gets lots of money from defeated enemies!	Celebrate "The Battle Cats POP!" on 3DS!<br>Has a complex thanks to his popular brother.<br>Gets lots of money from defeated enemies!	Celebrate "The Battle Cats POP!" on 3DS!<br>This Cat always seems to be in another castle.<br>Gets lots of money from defeated enemies!
184	Mr. Ninja!!Fever joins the fight!<br>Leaps gracefully from planet to planet dicing up aliens.<br>Massive damage to Alien enemies (Area Attack)	A kunoichi from "Mr. Ninja!!Fever"!<br>As bright and beautiful as her peerless swordplay.<br>Massive damage to Alien enemies (Area Attack)	
185	Joining the fight from Merc Storia! Silver<br>beast with a blunt and logical attitude.<br>Might Critical Attack, Tough vs Metal.	Joining the fight from Merc Storia!<br>A beguiling and handsome lady beast.<br>Might Critical Attack, Tough vs Metal.	Joining the fight from Merc Storia!<br>Partisan fencer with radical fashion sense.<br>Might Critical Attack, Tough vs Metal.
186	Joining the fight from Merc Storia! Lady who<br>admires dragons, dreaming of a celestial bridge.<br>Area attacks might Freeze Red/Black.	Joining the fight from Merc Storia! Can't resist<br>the dragon scales that build heaven's bridge.<br>Area attacks might Freeze Red/Black.	
187	Joining the fight from Merc Storia! A kind<br>knight troubled by uncanny strength from birth.<br>Tough vs Angel enemies.	Joining the fight from Merc Storia!<br>Merc says he's full of secrets.<br>Tough vs Angel enemies.	Joining the fight from Merc Storia! Merc says he<br>fawns over cute things when no one is looking.<br>Tough vs Angel enemies, might Dodge.
188	Joining the fight from Merc Storia! Odd girl<br>who has made pacts with creatures of night.<br>Long-range Area attacks, Strong vs Black.	Joining the fight from Merc Storia! Touching<br>her coffin will cause it to crumble to dust.<br>Long-range Area attacks, Strong vs Black.	Joining the fight from Merc Storia! The next head of<br>family of House Antol who invites souls into darkness.<br>Strong vs Black and Aku, 100% chance to Slow.
189	Joining the fight from Merc Storia! Master<br>sorcerer cursed for unknown reasons.<br>Area attacks might Knockback Angels.	Joining the fight from Merc Storia! Recovered<br>treasured items thanks to loyal disciples.<br>Area attacks might Knockback Angels.	
190	Joining the fight from Merc Storia! Gentleman of<br>the dark, here thanks to a pact with a certain lad.<br>Might Knockback/Slow Red & Black (Area)	Joining the fight from Merc Storia! An eccentric<br>citizen of the dreamworld. (Area Attacks)<br>Might Knockback/Slow Red & Black	
191	Joining the fight from Merc Storia!<br>Everyone's favorite PR pro is here!<br>Might Slow a single enemy	Joining the fight from Merc Storia! Not<br>only PR, she's an apple merchant too!<br>Might Slow a single enemy	Joining the fight from Merc Storia!<br>The Battle Cats needs PR help too, right?<br>Might Slow a single enemy
192			
193			
194	Ein Genie, das von einer Alien-Invasion geträumt hat.<br>Hat sich zum Schutz des Planetens zum Cyborg umgebaut!<br>Kann Aliens einfrieren (Flächenangriff).	Ein gehänseltes Kind, das sich lange daheim versteckte. Aber<br>jetzt kämpft er dank seiner Furcht für die Gerechtigkeit!<br>Nach erlittenem Schaden stärker (Flächenangriff).	Er hat sich neu gefunden und sein Schicksal selbst bestimmt!<br>Aber kann er mit seiner Macht die Gesellschaft ändern?<br>Stark gegen Aliens, immun gegen Wellen.
195	Hat jede Ausgabe von „Schrauber Spezial“ gelesen, um die<br>unaufhaltbare Killermaschine zu bauen, von der sie träumte.<br>Resistent gegen Aliens/schwarze Feinde. Überlebenswille.	Ist in einen Flughafen eingebrochen und hat den Jet-Antrieb<br>zerlegt, um Teile für ihr Mecha-Meisterstück zu bekommen.<br>Wie herrlich. Rückstoß + Schwächen gegen Aliens.	Sie wurde von der NYASA angeworben, um die Tiefen des Alls<br>zu erkunden. Astrophysik? Braucht kein Mensch.<br>Heftiger Flächenschaden. Verlangsamt Aliens.
196	Trägt einen Spezialanzug, der UV-Licht filtert, aber<br>schafft es nicht, die Papparazzi abzuschütteln ...<br>Heftiger Schaden gg. fliegende/Alien-Feinde (Flächenangr.).	Wurde zum Monster, um die Schrecken der Nacht zu<br>bekämpfen. Gibt alten Damen gerne noch ein Autogramm.<br>Heftiger Schaden gegen Engel/Aliens (Flächenangriff).	Hat sich zum 3-Filme-Deal breitschlagen lassen und einen<br>Hightech-Anzug geholt, den die Angst von Kriminellen nährt.<br>Heftiger Schaden gegen Aliens und Relikte (Flächenangriff).
197	Verbiegt Metall, wenn sie aufgeregt ist. Liebt Müsli, aber<br>macht immer vorm Essen den Löffel kaputt.<br>Kann Aliens lähmen.	Ihre Überschwänglichkeit öffnet extradimensionale Portale.<br>Spiele auf keinen Fall „Fang den Ball“ mit ihr!<br>Kann Aliens lähmen.	Alles wird von den Portalen, die sie öffnet, verschlungen.<br>Bald wird sie selbst in die dunklen Reiche gesogen.<br>Kann Aliens lähmen.
198	Ein Exorzist, der in der Zeit zurück gereist ist.<br>Versucht stets, das Böse aus Sportwagen auszutreiben.<br>Kann nicht-eiserne Feinde schwächen.	Wurde dank eines Aliens zum magischen Mädchen.<br>Der schicke Stab war eine Prämie zu Vertragsabschluss.<br>Kann nicht-eiserne Feinde schwächen.	Der Vertrag wurde erfüllt. Ultimative Macht ist für sie zum<br>Greifen nahe. Aber jetzt arbeitet sie bloß als Bösewicht in<br>Vergnügungsparks. Schwächt nicht-eiserne Feinde.
199	Hat so lange nach der perfekten Welle gesucht.<br>Jetzt ist sie 40 und hat irgendwie ihr Leben verschwendet.<br>Überlebenswille. Kann Aliens einfrieren. Flächenangriff.	Sagt, sie will sich auf eine einsame Insel retten, aber<br>insgeheim genießt sie den Dauerurlaub.<br>Überlebenswille. Kann Aliens einfrieren. Flächenangriff.	Ohne Hoffnung auf Rettung hat sie sich der See verschrieben.<br>Werden die Wellen heute grausam oder gütig sein?<br>Überlebenswille. Kann Aliens einfrieren. Flächenangriff.
200	Die metallene Haut lässt nur minimalen Schaden durch.<br>87,5 % Legierungsreinheit: Haudrauf schadet ihr.<br>Kann nicht zu (+)-Stufen verbessert werden. Eisern.	Die metallene Haut lässt nur minimalen Schaden durch.<br>Stolz auf ihre schöne Haut und läuft ärmellos herum.<br>Kann nicht zu (+)-Stufen verbessert werden. Eisern.	
201	Sorgt für den fröhlichen Gleichschritt der Katzenarmee.<br>Ihr Taktgefühl ist so strikt, dass sie nur allein aufspielt.<br>Kann eiserne Feinde schwächen.	Führt eine Elite-Katzenakademie. Inspiriert seit 40 Jahren<br>den Nachwuchs, neue Lande für die Katzheit zu erobern.<br>Kann eiserne Feinde schwächen.	Hat ein Reiskloß-Geschäft geerbt. Sucht eine Frau, die<br>im perfekten Einklang mit seinen Hammerschlägen arbeiten<br>kann. Kann eiserne Feinde schwächen.
202	Celebrating The Battle Cats' Taiwan version,<br>this Cat got too excited and steamed itself in a basket.<br>Is that meat inside, or PURE PASSION?!	Celebrating The Battle Cats' Taiwan version,<br>grew bigger to satisfy more hungry people. There's<br>no basis to rumors he's got pizza filling inside.	
203	Die Forscher der Katzenarmee haben eine alte Superwaffe<br>geklont: ein Tanuki, der es überlebt, in Flammen zu stehen.<br>Kann Alien-/Engel-Feinde schwächen (Flächenangriff).	Kachi spricht mit alten Geistern und speichert alle Hitze,<br>die er aufnehmen kann, für explosive Angriffe!<br>Schwächt Alien-/Engel-Feinde (Flächenangriff).	Uralte Magie, die durch moderne Technik verstärkt wurde.<br>Brenne alles nieder und hinterlasse keine Spuren!<br>Schwächt Alien-/Engel-Feinde (Flächenangriff).
204			
205			
206			
207			
208			
209	Ein Winzling, der davon träumt, die Katze zu werden,<br>die für Kosteneffizienz brühmt ist.<br>	Ein Winzling, der davon träumt, die Katze zu werden,<br>die den glorreichsten, strahlendsten Bizeps hat.<br>	Ein Winzling, der davon träumt, die Katze zu werden,<br>die die allercoolste Frisur trägt.<br>Zurückgeschnitten, um unnötige Kosten einzusparen.
210	Ein Winzling, der davon träumt, die Katze zu werden,<br>die stark genug ist, einen Kieselstein heben zu können.<br>Robust. Hohe Gesundheit. Flächenangriff.	Ein Winzling, der davon träumt, die Katze zu werden,<br>die stark genug ist, einen kleinen Stein heben zu können.<br>Rigorose Verteidigung. Hat jetzt Ecken. Flächenangriff.	Ein Winzling, der davon träumt, die Katze zu werden,<br>die für Richtig Gute™ Verteidigung bekannt ist.<br>Gleiche Angriffskraft wie immer. Flächenangriff.
211	Ein Winzling, der davon träumt, die Katze zu werden,<br>die ein irrer Kämpfer und stark gegen rote Feinde ist.<br>	Ein Winzling, der davon träumt, die Katze zu werden,<br>die ein Möchtegern-Held und stark gegen rote Feinde ist.<br>	Ein Winzling, der davon träumt, die Katze zu werden,<br>die ein dunkler Möchtegern-Ritter ist.<br>Äußerst stark gegen Engel.
212	Eine berüchtigte Spionin, die sich im Einsatz unbedingt<br>verkleiden will. Bisher hat sie jede Mission erfüllt!<br>Lähmt garantiert rote/Alien-Feinde (Flächenangriff).	Mitglied der Katzen-Meuchlergilde. Schlägt zu, ohne<br>Spuren zu hinterlassen. Pizzalieferungen sind ihre Deckung.<br>Heftiger Schaden gg. rote/Alien-Feinde (Flächenangr.).	Kommandant der F.O.X.-Spionagebehörde. Sie leitet ein<br>weltweites Killer-Netzwerk auf skrupelloseste Weise.<br>Rückstoß + Schwächen gg. rote/Alien-Feinde (Flächenangr.).
213	113,4 Gramm pure Aggression!<br>Perfekt für einen Snack oder Guerilla-Angriffe.<br>100 % Rindfleisch! Du hast doch nicht gedacht, dass ...?	Stapelweise Salat, Käse und Kampfgeist!<br>Maxi-Menü für alle, deren Machthunger nicht zu stillen ist.<br>Bitte nur in Maßen essen und regelmäßig Sport treiben!	Zur Feier von 3 Jahren „The Battle Cats“!<br>Zeit, deinen Feinden 1.000 kcal purer Pein aufzutischen!<br>Dazu gibt es: Pommes ... oder Pommes ... oder Pommes.
214	Recruited from Metal Slug Defense!<br>An elite commando masked as a typical POW<br>Might survive lethal attacks. (Area Atk)	Recruited from Metal Slug Defense!<br>Lays down cover fire for the Cats with gas<br>bombs. Might survive lethal attacks. (Area Atk)	
215	Recruited from Metal Slug Defense!<br>This major excels at programming recruits.<br>Might temporarily freeze Aliens.	Recruited from Metal Slug Defense!<br>A top intel officer who lets loose with artillery.<br>Might temporarily freeze Aliens.	
216	Recruited from Metal Slug Defense!<br>This captain takes pride in his trademark shades.<br>Might knockback Aliens (Area Atk)	Recruited from Metal Slug Defense!<br>Master of the shotgun, Marco's best friend.<br>Might knockback Aliens (Area Atk)	
217	Recruited from Metal Slug Defense!<br>Staff sergeant in the Intel division.<br>Might cause massive damage to Aliens (Area Atk)	Recruited from Metal Slug Defense!<br>Demolitions, survival, spying - she's mastered it all!<br>Might cause massive damage to Aliens (Area Atk)	
218	Recruited from Metal Slug Defense!<br>A demure yet naïve Sgt. Major in the intel<br>division. Might slow Aliens.	Recruited from Metal Slug Defense!<br>Easygoing and genuine, a crackshot with<br>handguns. Might slow Aliens.	
219	Recruited from Metal Slug Defense!<br>A small, high-performance single-<br>passenger tank. (Area Atk)	Recruited from Metal Slug Defense!<br>Battle-tested model with superior<br>mobility and firepower. (Area Atk)	
220	Recruited from Metal Slug Defense!<br>Feared by allies and foes alike as the<br>"Demon Sergeant" Survives one lethal strike.	Recruited from Metal Slug Defense!<br>Shirtless even in subzero temperatures.<br>Survives one lethal strike.	
221	Recruited from Metal Slug Defense!<br>Yep, they're actual Martians.<br>Might weaken Aliens.	Recruited from Metal Slug Defense!<br>Mastered warping. No motivation to try<br>now, though. Might weaken Aliens.	
