0|S0|I0	Acelerador
30174	Mayor efecto «Superfuerza» S: Aku
30175	Mayor efecto «Dureza» D: Aku
30176	Mayor efecto «Dureza» C: Aku
30177	Mayor efecto «Dureza» B: Aku
30178	Mayor efecto «Dureza» A: Aku
30179	Mayor efecto «Dureza» S: Aku
30180	Aumento de ataque D: 
30181	Aumento de ataque C: 
30182	Aumento de ataque B: 
30183	Aumento de ataque A: 
30184	Aumento de ataque S: 
30185	Mejora de defensa D: 
30186	Mejora de defensa C: 
30187	Mejora de defensa B: 
30188	Mejora de defensa A: 
30189	Mejora de defensa S: 
30190	Mayor efecto «Eficacia» D: 
30191	Mayor efecto «Eficacia» C: 
30192	Mayor efecto «Eficacia» B: 
30193	Mayor efecto «Eficacia» A: 
30194	Mayor efecto «Eficacia» S: 
30195	Mayor efecto «Superfuerza» D: 
30196	Mayor efecto «Superfuerza» C: 
30197	Mayor efecto «Superfuerza» B: 
30198	Mayor efecto «Superfuerza» A: 
30199	Mayor efecto «Superfuerza» S: 
30200	Mayor efecto «Dureza» D: 
30201	Mayor efecto «Dureza» C: 
30202	Mayor efecto «Dureza» B: 
30203	Mayor efecto «Dureza» A: 
30204	Mayor efecto «Dureza» S: 
30205	Minirréplica mortal D
30206	Minirréplica mortal C
30207	Minirréplica mortal B
30208	Minirréplica mortal A
30209	Minirréplica mortal S
30210	Resistencia a oleadas D
30211	Resistencia a oleadas C
30212	Resistencia a oleadas B
30213	Resistencia a oleadas A
30214	Resistencia a oleadas S
30215	Pasta turbo D
30216	Pasta turbo C
30217	Pasta turbo B
30218	Pasta turbo A
30219	Pasta turbo S
30220	Resistencia a repulsión D
30221	Resistencia a repulsión C
30222	Resistencia a repulsión B
30223	Resistencia a repulsión A
30224	Resistencia a repulsión S
30225	Impulso en historias de leyenda D
30226	Impulso en historias de leyenda C
30227	Impulso en historias de leyenda B
30228	Impulso en historias de leyenda A
30229	Impulso en historias de leyenda S
30230	Matacolosos D
30231	Matacolosos C
30232	Matacolosos B
30233	Matacolosos A
30234	Matacolosos S
30235	Recarga de la gatorreta D
30236	Recarga de la gatorreta C
30237	Recarga de la gatorreta B
30238	Recarga de la gatorreta A
30239	Recarga de la gatorreta S
30240	Resistencia a toxicidad D
30241	Resistencia a toxicidad C
30242	Resistencia a toxicidad B
30243	Resistencia a toxicidad A
30244	Resistencia a toxicidad S
30245	Evasión (Todo) D
30246	Evasión (Todo) C
30247	Evasión (Todo) B
30248	Evasión (Todo) A
30249	Evasión (Todo) S
30250	Resistencia a ralentización D
30251	Resistencia a ralentización C
30252	Resistencia a ralentización B
30253	Resistencia a ralentización A
30254	Resistencia a ralentización S
30255	Resistencia a maldición D
30256	Resistencia a maldición C
30257	Resistencia a maldición B
30258	Resistencia a maldición A
30259	Resistencia a maldición S
30260	Impulso en Leyendas Inquietantes D
30261	Impulso en Leyendas Inquietantes C
30262	Impulso en Leyendas Inquietantes B
30263	Impulso en Leyendas Inquietantes A
30264	Impulso en Leyendas Inquietantes S
30265	Contador de única réplica D
30266	Contador de única réplica C
30267	Contador de única réplica B
30268	Contador de única réplica A
30269	Contador de única réplica S
30270	Berserker D
30271	Berserker C
30272	Berserker B
30273	Berserker A
30274	Berserker S
30275	Reducción del tiempo de espera D
30276	Reducción del tiempo de espera C
30277	Reducción del tiempo de espera B
30278	Reducción del tiempo de espera A
30279	Reducción del tiempo de espera S
30280	Resistencia a paralización D
30281	Resistencia a paralización C
30282	Resistencia a paralización B
30283	Resistencia a paralización A
30284	Resistencia a paralización S
30285	Resistencia a desgaste D
30286	Resistencia a desgaste C
30287	Resistencia a desgaste B
30288	Resistencia a desgaste A
30289	Resistencia a desgaste S
30290	Coste reducido D
30291	Coste reducido C
30292	Coste reducido B
30293	Coste reducido A
30294	Coste reducido S
30295	Resistencia a réplicas D
30296	Resistencia a réplicas C
30297	Resistencia a réplicas B
30298	Resistencia a réplicas A
30299	Resistencia a réplicas S
30300	Primera recompensa disponible D
30301	Primera recompensa disponible C
30302	Primera recompensa disponible B
30303	Primera recompensa disponible A
30304	Primera recompensa disponible S
