000	Le Chat de base.<br><br>	Son atout charme : ses muscles bien dessinés.<br>Un Chat de base.<br>	Son atout charme : ses muscles bien dessinés.<br>Autre atout charme : ses beaux cheveux.<br>
127	Fasciné par les jolis pétales.<br>N’oublie jamais d’arroser chaque jour.<br>Peut arrêter les ennemis noirs.	S’accapare le ventilateur après un bon bain chaud.<br>Son style d’attaque illustre son égoïsme et son agressivité.<br>Peut arrêter les ennemis noirs.	Le stress quotidien peut donner envie d’exploser quand on<br>porte des bombes toute la journée.<br>Att. de zone : 100 % de chances d’immob. les ennemis noirs.
128	Attaquante à distance qui en veut au monde entier.<br>S’allie parfaitement au Chat gambettes.<br>Son poing vengeur est écrasant ! (Att. de zone)	La haine ne résout rien. Le rire, en revanche...<br>Attention ! Blagues de papa et attaques à distance !<br>S’allie très bien à tout ce qui est grand. (Att. de zone)	Sa mission : faire sourire.<br>Mais Chat gambettes se plaint de recevoir<br>des coups dans la tête... (Att. de zone longue distance)
129	S’est roulé dans de la poudre d’or pour paraître raffiné.<br>Mais il est toujours le même.<br>Échange-le contre de l’XP pour faire évoluer d’autres Chats !	S’est roulé dans de la poudre d’or pour paraître raffiné.<br>Voulait un look doré intégral, mais n’a pas pensé<br>mais n’a pas pensé à peindre ses bras.	S’est roulé dans de la poudre d’or pour paraître raffiné.<br>Désirant que sa splendeur ne soit jamais ternie,<br>il s'est immunisé contre les vagues offensives.
130	Je prête allégeance à ceux qui m’ont vaincu !<br>On ne lui a rien demandé, mais elle a rejoint l’armée des Chats.<br>Peut repousser les ennemis. (Att. de zone)	Une jeune fille azimutée qui est parvenue à dompter<br>une créature féline. Son père est prof.<br>Peut repousser les ennemis. (Att. de zone)	Ressent les émois d’un premier amour.<br>Mais elle ne fait pas ça pour toi ! Pas du tout !<br>Peut repousser les ennemis. (Att. de zone)
131	Une fillette qui rêve de célébrité.<br>Si seulement elle osait pousser la chansonnette !<br>Admire Moneko. (Ses attaques peuvent être critiques.)	Artiste dans l’âme malgré son trac insurmontable.<br>Elle veut toujours chanter, mais aucun son ne sort<br>de sa bouche sur scène. (Ses att. peuvent être critiques.)	
132	A passé sa vie à perfectionner<br>ses puissantes attaques de kung-fu à moyenne portée.<br>A amélioré sa puissance destructrice en une seule frappe.	Une légende du kung-fu dont l’âge<br>n’altère en rien ses prouesses alcoolisées.<br>A amélioré sa puissance destructrice en une seule frappe.	A atteint une maîtrise mystique des arts martiaux<br>après maintes années à s’entraîner dans le style<br>Griffe de fer. Att. puissantes sur cible unique.
133			
134	Agent de l’élite des Chats qui détient le secret de l’arme<br>biologique gouvernementale T.O.R.T.U.E.<br>Résiste aux attaques des ennemis noirs/anges. (Att. de zone)	Une T.O.R.T.U.E. superpuissante perfectionnée par<br>le T-VIRUS top secret.<br>Résiste aux attaques des ennemis noirs/anges. (Att. de zone)	Pour impressionner sa dulcinée au laboratoire secret,<br>a fait des choix esthétiques osés (et acheté des beignets).<br>Résiste aux attaques des ennemis noirs/anges.
135	Vainqueur du concours annuel des Chats-oiseaux<br>organisé au lac. (Att. de zone)<br>Peut repousser les ennemis flottants/anges.	A repoussé ses limites pour atteindre l’espace.<br>A évolué en récupérant de l’énergie stellaire. 100 % des<br>ennemis flottants/anges reculent devant lui. (Att. de zone)	A atteint les confins de l’univers et vu la vérité.<br>Ses attaques de zone ont 100 % de chances de repousser<br>et d’immobiliser les ennemis flottants/anges.
136	À la recherche de plus fort que lui. Vise le sommet !<br>Un chat retombe toujours sur ses pattes... mais toi ?<br>Peut immobiliser les ennemis anges/rouges. (Att. de zone)	Un gang de Chats sauvages au volant qui s’est rendu compte<br>qu’efforts et résultats sont deux choses différentes.<br>Peuvent immobiliser les ennemis anges/rouges. (Att. de zone)	La fin ne justifie pas forcément les moyens, mais<br>toujours une sympathique virée.<br>Peuvent immobiliser les ennemis anges/rouges. (Att. de zone)
137	On raconte qu’une mystérieuse organisation<br>exauce les vœux émis devant ces statues. Inflige<br>des dégâts massifs aux ennemis noirs/anges. (Att. de zone)	La forteresse secrète de l’organisation de Jizo.<br>... Mais c’est confidentiel, non ? (Att. de zone)<br>Inflige des dégâts massifs aux ennemis noirs/anges.	Échappant aux missiles tactiques gouvernementaux,<br>l’organisation de Jizo passe à l’offensive. Inflige<br>des dégâts massifs aux ennemis noirs/anges. (Att. de zone)
138	Une jolie Chatte envoyée en mission depuis la Lune.<br>Sa vraie nature est confidentielle...<br>Peut ralentir les ennemis anges/métal. (Att. de zone)	Prototype de l’une des nombreuses armes félines ancestrales<br>fabriqué à partir de plans volés.<br>Peut ralentir les ennemis anges/métal. (Att. de zone)	A failli anéantir notre galaxie, une fois... Oups.<br>C’est ce qui arrive quand on conçoit une IA sans conscience.<br>Ralentit les ennemis anges/métal. (Att. de zone)
139			
140	Got hooked on new capsule material<br>somehow managed to transform itself<br>into something similar (Area Attack)	See the truth inside. Macho Cat's trainer.<br>Everyone is facsinated by its rippling triceps.<br>Distant relative of the Titan Cat. (Area attack)	
141	Une divinité qui transcende l’espace-temps.<br>Paradoxalement, il ressemble à un enfant<br>malgré ses besoins d’adulte... Est-ce vraiment lui ?	Une divinité qui transcende l’espace-temps.<br>Avec un tel corps, il est sûr de pouvoir<br>enfin conquérir le cœur de la sublime Chalkyrie.	
142			
143	Son sourire chaleureux et son aura thérapeutique<br>font s’envoler la peur de l’aiguille. Peut<br>repousser/ralentir les ennemis noirs/flottants. (Att. de zone)	Une infirmière de guerre qui sauve des vies avec sa seringue.<br>Puissance défensive/de zone accrue. Peut<br>repousser/ralentir les ennemis noirs/flottants. (Att. de zone)	Une soignante appréciée qui a fait ses preuves dans bien<br>des campagnes félines. Ses attaques de zone sont salvatrices.<br>Peut repousser/ralentir les ennemis noirs/flottants.
144	Il va sans dire que ce Chat a suivi un entraînement<br>strict dans le but de devenir une forteresse.<br>Sa vague offensive consiste à hurler.	A acheté un casque de cosplay sur Internet.<br>Il aime harceler les gens en se faisant passer pour une tour.<br>Il déclenche une vague s’il est trop enthousiaste.	Par la simple force de la volonté, voici cette base<br>optimisée avec des rayons laser dernier cri !<br>Même si les bruitages des tirs restent faits à la bouche.
145	La légende du Far West. Nul ne connaît son nom.<br>Il veut faire régner la justice.<br>Ralentit parfois les ennemis noirs.	Un légendaire bandit armé solitaire qui manie son pistolet<br>au nom de la justice. L’italien est sa langue natale.<br>Ralentit parfois les ennemis noirs.	Un desperado repenti qui s’entraîne désormais<br>pour gagner l’épreuve de monte du taureau.<br>Ralentit parfois les ennemis noirs.
146	Un Chat aux dents longues qui s’est fabriqué<br>des échasses pour se rapprocher des étoiles.<br>Repousse occasionnellement les ennemis anges.	Ne pouvant pas fabriquer ça tout seul, il a fait appel<br>à des amis. Évidemment, il est au sommet.<br>Repousse occasionnellement les ennemis anges.	Pourvu que le mobilier suédois bon marché que ce duo<br>a acheté ne se brise pas au sol comme leurs rêves.<br>Repoussent parfois les ennemis anges.
147	Une force de frappe avant-gardiste qui dissimule<br>une certaine nostalgie expressive.<br>Repousse occasionnellement les ennemis noirs.	Rêvant de voler, il a autorisé les ingénieurs de l’armée<br>des Chats à lui greffer des composants haut de gamme.<br>Repousse occasionnellement les ennemis noirs.	Enlevé par une organisation malveillante qui a fait de lui<br>un androïde incontrôlable et sans pitié qui repousse<br>les ennemis noirs. (Il est trop mignon quand même !)
148	Fils d’un producteur d’arachides, est devenu rockeur<br>pour éviter d’avoir à révéler son allergie aux fruits à coque<br>à sa famille. Résiste aux attaques des ennemis anges.	Suite à l’échec commercial de son 2e album, il s’est lancé<br>dans l’art plastique. Il ne peint que des cacahuètes qui ne<br>se vendent pas. Résiste aux attaques des anges.	Les nouilles paraissent simples à cuisiner, mais<br>il leur faut une touche finale artistique. Son style<br>tape-à-l’œil booste la défense contre les anges.
149	Une sirène venue s’échouer pour rencontrer un prince.<br>Survit sur terre en prenant de longues bouffées d’air.<br>Assure contre les flottants, peut survivre à 1 frappe fatale.	Son prince s’étant fait enlever par des terroristes,<br>le Chat sirène a rejoint les bérets verts pour le sauver.<br>Assure contre les flottants, peut survivre à 1 frappe fatale.	Risque sa vie pour dépeindre la Grande guerre des Chats.<br>Son intégrité de reporter inflige de gros dégâts de zone<br>aux flottants. Peut survivre à 1 frappe fatale.
150	Rêve d’un Roméo rencontré sur Internet.<br>Roman préféré : Orgueil, préjugés et coiffures.<br>Immobilise brièvement les ennemis anges. (Att. de zone)	A grandi mais rêve toujours de son cyber-Roméo.<br>Aime les kebabs au poulet.<br>Immobilise brièvement les ennemis anges. (Att. de zone)	Il s’avère que Roméo est un crétin fini. Elle cherche<br>maintenant à trouver un nouveau look (et un gentil samouraï).<br>Immobilise brièvement les anges. (Att. de zone)
151	L’haltérophilie porte haut les couleurs de la virilité. Lui<br>porte ses 11 enfants, 7 femmes et leurs parents à bout de<br>bras. Dégâts massifs contre les ennemis noirs. (Att. de zone)	A atteint le 12e round grâce à son intelligence<br>et à sa résistance. Rien ne l’arrête !<br>Dégâts massifs contre les ennemis noirs. (Att. de zone)	Fan absolu de malbouffe qui aura une mauvaise surprise<br>quand il s’apercevra qu’il manque les anchois en supplément.<br>Dégâts de zone massifs contre les ennemis noirs.
152	Un couple élégant qui pratique le patinage artistique...<br>depuis seulement un mois !<br>Rien n’arrête ces chamoureux ! (Att. de zone)	Le patinage, c’est démodé ! Place au théâtre classique.<br>Ayant l’attention des médias, ils veulent désormais<br>repopulariser le théâtre traditionnel. (Att. de zone)	Ont arrêté de prendre la scène trop à cœur. Maintenant,<br>ils veulent simplement faire rire le public.<br>Assurent contre les ennemis reliques. (Att. de zone)
153	Lassé de griller des toasts tous les jours, il s’est mis<br>à les lancer au visage de son père. Chaud devant !<br>Peut ralentir les anges. (Att. de zone)	Utilisé pour sublimer les stars hollywoodiennes, il remet<br>son utilité en question depuis l’avènement du numérique.<br>Peut ralentir les anges. (Att. de zone)	Ses mélodies mélancoliques coupent aux ennemis<br>l’envie de se battre ! Ses attaques de zone peuvent<br>ralentir les anges et briser les barrières !
154	Ayant pris de l’embonpoint, il s’est mis au cerceau<br>pour faire de l’exercice.<br>Peut immobiliser les ennemis métal.	S’est mis au cerceau pour garder la ligne, mais<br>sa silhouette a changé de manière inattendue.<br>Peut immobiliser les ennemis métal.	C’est plus fort que lui, il veut toujours plus de cerceaux !<br>Quand arrêtera-t-il de les faire tourner ?<br>Peut immobiliser les ennemis métal.
155			
156			
157			
158	La magie maudite de l’arme Nyanko l’a transformée<br>en dragon. (Att. de zone)<br>Assure contre les ennemis noirs, qui reculent devant elle.	Ayant décidé de fusionner avec l’arme Nyanko, la grande<br>générale s’est abandonnée aux ténèbres. (Att. de zone)<br>Assure contre les ennemis noirs, qui reculent devant elle.	La corruption l’a entièrement consumée. La seule émotion<br>qu’il lui reste est l’envie de tout détruire. (Att. de zone)<br>Assure contre les ennemis noirs, qui reculent devant elle.
159	A failli atomiser son école le jour de la rentrée<br>à cause de la magie noire de son épée.<br>Dégâts massifs contre les anges. (Att. de zone)	A envoyé son principal aux enfers lors de la cérémonie<br>de remise des diplômes. Chassez le naturel...<br>Dégâts massifs contre les anges. (Att. de zone)	Tous les gentils garçons qui lui déclarent leur flamme<br>sont envoyés dans l’au-delà...<br>Dégâts massifs contre les anges. (Att. de zone)
160			
161			
162			
163			
164			
165			
166			
167			
168	Est-ce un Chat ?<br>Il a quand même de drôles<br>de jambes...	Tout bonnement incroyable.<br>Celui-là a l’air de ralentir<br>tous les ennemis à portée.	Est-ce un Chat ? Ou un assassin sorti tout droit d’une BD<br>exagérément mélodramatique ?<br>Ralentit les ennemis avec des attaques de zone.
169	Est-ce un Chat ?<br>Il a quand même un drôle<br>de cou...	Sérieusement ???<br>Celui-là a l’air de repousser<br>les ennemis de loin.	Un puissant sumo qui a perfectionné ses compétences<br>en se battant dans la rue.<br>Vagues offensives avec 100 % de chances critiques !
170	Est-ce un Chat ?<br>Il a quand même de drôles<br>de bras...	C’est une blague ?<br>Celui-là a l’air d’infliger des dégâts massifs<br>(parfois critiques) à 1 ennemi.	On dirait un pirate avec un chapeau de paille.<br>Mais on ne peut pas en être certain...<br>Dégâts massifs contre 1 ennemi. (Chances d’att. crit.)
171	Est-ce un Chat ?<br>Il a quand même un drôle<br>de ventre...	Non... Impossible...<br>Celui-là a l’air d’immobiliser<br>tous les ennemis à portée.	Une forme extraterrestre totalement inconnue au pouvoir<br>inimaginable... ou simplement un Chat bizarre ?<br>Immobilise/affaiblit les ennemis à portée d’une att. de zone.
172	Une anomalie quantique a transformé Nyandam en enfant<br>au visage très âgé. Il fait peur à tout le monde, vraiment.<br>Ralentit parfois les ennemis. (Att. de zone)	Depuis qu’il a secouru un Chaton dans les canalisations de la<br>piscine de l’école, ce dernier ne le quitte plus.<br>Ralentit parfois les ennemis. (Att. de zone)	Sa vraie nature ayant pris le dessus, il gère la garderie<br>d’une main de fer à présent. Tous à genoux !<br>Ralentit parfois les ennemis. (Att. de zone)
173	Dropping in from "Survive! Mola Mola!"<br>The lone survivor of 300,000,000 brothers -<br>the ocean's a harsh realm, man.	Playing life on Hard Mode, a Mola Mola<br>is always within sight of paradise.<br>Attacks from range by screaming… then dying.	Vanishes as soon as it sees a larger fish. Or it<br>would, if it didn't take so long to turn about and run.<br>What looks like a beard is really just parasites.
174	Dropping in from "Survive! Mola Mola!"<br>His size is almost without equal, and so<br>is his royal arrogance. (Area Attack)	Bears the burden of a watery destiny,<br>Regrets? A good long scream can take<br>care of doubt and worries! (Area Attack)	A body so large matches well with the vastness<br>of the ocean. Death can come at any time, so<br>live as if this day was your last. (Area attack)
175	A cat trained by Molas for marine combat.<br>Still kinda wishes he became a meteorologist.<br>Resistant to Red enemy attacks. (Area Atk)	Evolved arms instead of legs… weird.<br>Hates being stepped all over. Stop it!!!<br>Resistant to Red enemy attacks. (Area Atk)	
176	Une petite boule de guimauve qui aime faire de (trop)<br>gros câlins ! Nappe ses ennemis d’une douce<br>violence sucrée.	Si vous le faites dorer au coin du feu,<br>il vous rappellera de bons souvenirs.<br>Son corps mou inflige quand même de puissants dégâts !	
177	Ce seigneur dragon veut tout incendier.<br>Décime ses ennemis avec des attaques de zone épiques.<br>Peut repousser/ralentir les anges.	Un dragon ancestral à l’autorité indéniable.<br>Décime ses ennemis avec des attaques de zone épiques.<br>Peut repousser/ralentir les anges.	Assauts haineux brutaux, ou l’impitoyabilité transmise<br>de génération en génération. Brise 100 % des barrières<br>et repousse/ralentit les anges. (Att. de zone)
178			
179	Heroes from Shoumetsu Toshi! A brave<br>deliveryman and a girl of mystery.<br>Tough vs Floating (Area Attack)	Gave a stray Cat a ride, thinking it was Sophia.<br>Seeking answers in the destroyed metropolis.<br>Tough vs Floating (Area Attack)	Travelling with a mysterious being that is the<br>key to find missing Yuki. Tough vs Floating<br>Extra money from enemies (Area Atk)
180	Mysteriously reappeared after being lost in<br>the city's destruction, with strange new powers...<br>Massive Area damage to Floating enemies.	Enigmatic girl with the power to call forth<br>souls (with some help from the Cat).<br>Massive Area damage to Floating enemies.	Since growing cat ears to better speak with<br>Cats, her soul communion has also improved?<br>Massive Area damage to Floating enemies.
181	Girl lost during the city's destruction, reborn as<br>a Cat but retaining all her mysterious powers.<br>Small chance to Freeze Floating.	Girl who became a Cat after the city's destruction,<br>now slowly regaining her former charisma.<br>Small chance to Freeze Floating.	
182			
183	Celebrate "The Battle Cats POP!" on 3DS!<br>Other hobbies: Parties, Tennis, Medicine.<br>Gets lots of money from defeated enemies!	Celebrate "The Battle Cats POP!" on 3DS!<br>Has a complex thanks to his popular brother.<br>Gets lots of money from defeated enemies!	Celebrate "The Battle Cats POP!" on 3DS!<br>This Cat always seems to be in another castle.<br>Gets lots of money from defeated enemies!
184	Mr. Ninja!!Fever joins the fight!<br>Leaps gracefully from planet to planet dicing up aliens.<br>Massive damage to Alien enemies (Area Attack)	A kunoichi from "Mr. Ninja!!Fever"!<br>As bright and beautiful as her peerless swordplay.<br>Massive damage to Alien enemies (Area Attack)	
185	Joining the fight from Merc Storia! Silver<br>beast with a blunt and logical attitude.<br>Might Critical Attack, Tough vs Metal.	Joining the fight from Merc Storia!<br>A beguiling and handsome lady beast.<br>Might Critical Attack, Tough vs Metal.	Joining the fight from Merc Storia!<br>Partisan fencer with radical fashion sense.<br>Might Critical Attack, Tough vs Metal.
186	Joining the fight from Merc Storia! Lady who<br>admires dragons, dreaming of a celestial bridge.<br>Area attacks might Freeze Red/Black.	Joining the fight from Merc Storia! Can't resist<br>the dragon scales that build heaven's bridge.<br>Area attacks might Freeze Red/Black.	
187	Joining the fight from Merc Storia! A kind<br>knight troubled by uncanny strength from birth.<br>Tough vs Angel enemies.	Joining the fight from Merc Storia!<br>Merc says he's full of secrets.<br>Tough vs Angel enemies.	Joining the fight from Merc Storia! Merc says he<br>fawns over cute things when no one is looking.<br>Tough vs Angel enemies, might Dodge.
188	Joining the fight from Merc Storia! Odd girl<br>who has made pacts with creatures of night.<br>Long-range Area attacks, Strong vs Black.	Joining the fight from Merc Storia! Touching<br>her coffin will cause it to crumble to dust.<br>Long-range Area attacks, Strong vs Black.	Joining the fight from Merc Storia! The next head of<br>family of House Antol who invites souls into darkness.<br>Strong vs Black and Aku, 100% chance to Slow.
189	Joining the fight from Merc Storia! Master<br>sorcerer cursed for unknown reasons.<br>Area attacks might Knockback Angels.	Joining the fight from Merc Storia! Recovered<br>treasured items thanks to loyal disciples.<br>Area attacks might Knockback Angels.	
190	Joining the fight from Merc Storia! Gentleman of<br>the dark, here thanks to a pact with a certain lad.<br>Might Knockback/Slow Red & Black (Area)	Joining the fight from Merc Storia! An eccentric<br>citizen of the dreamworld. (Area Attacks)<br>Might Knockback/Slow Red & Black	
191	Joining the fight from Merc Storia!<br>Everyone's favorite PR pro is here!<br>Might Slow a single enemy	Joining the fight from Merc Storia! Not<br>only PR, she's an apple merchant too!<br>Might Slow a single enemy	Joining the fight from Merc Storia!<br>The Battle Cats needs PR help too, right?<br>Might Slow a single enemy
192			
193			
194	Un génie qui rêve d’une invasion extraterrestre.<br>S’est transformé en héros cyborg pour défendre<br>la planète ! Ses att. de zone peuvent immob. les aliens.	Un enfant persécuté retranché des années dans sa chambre.<br>Assez ! Il canalise sa peur et se bat pour la justice.<br>Puissance d’att. accrue quand il subit des dégâts. (Zone)	En se réinventant, il a changé son destin !<br>Mais peut-il changer le monde grâce à ses pouvoirs ?<br>Assure contre les aliens, immunité aux vagues offensives.
195	A dévoré les numéros de Mécanix mois après mois<br>pour concevoir la machine de guerre invincible de ses rêves.<br>Résiste aux ennemis aliens/noirs. Survit à 1 frappe fatale.	S’est introduite dans un aéroport pour y dérober un moteur<br>à réaction destiné à son chef-d’œuvre mecha.<br>Magnifique. Repousse/affaiblit les ennemis aliens.	Recrutée par la NACHA pour concevoir des mechas destinés<br>à des missions spatiales. L’astrophysique ? Fastoche.<br>Dégâts de zone massifs et ralentit les aliens.
196	Porte une combinaison spéciale qui bloque les rayons UV,<br>mais qui n’empêche pas les paparazzis de le suivre...<br>Dégâts de zone massifs contre les flottants/aliens.	Est devenu un monstre pour combattre les horreurs de la nuit.<br>Signe quand même des autographes aux petites mamies.<br>Dégâts de zone massifs contre les anges/aliens.	A accepté de tourner dans une trilogie pour se payer<br>une combinaison high-tech alimentée par la peur des méchants.<br>Dégâts de zone massifs contre les aliens/reliques.
197	Tord le métal quand il est enthousiaste. Adore les céréales,<br>mais casse toujours sa cuillère avant d’avoir pu en manger.<br>Ralentit parfois les déplacements des aliens.	Son enthousiasme ouvre des portails extradimensionnels.<br>N’accepte jamais de jouer au ballon avec lui !<br>Ralentit parfois les déplacements des aliens.	Les portails qu’il crée sont fatals. Lui-même sera tôt<br>ou tard aspiré dans le royaume des ténèbres.<br>Ralentit parfois les déplacements des aliens.
198	Une exorciste venue du passé.<br>Veut toujours purifier les voitures de course.<br>Affaiblit parfois les ennemis non-métal.	Une fille magicienne sous contrat extraterrestre.<br>Le bâton brillant était en supplément.<br>Affaiblit parfois les ennemis non-métal.	Le contrat a été rempli. Le pouvoir ultime est à sa portée.<br>Mais maintenant, elle joue les méchantes dans un parc<br>d’attractions. Affaiblit les ennemis non-métal.
199	A passé des années à chercher la vague idéale.<br>À 40 ans, il ne profite pas assez de la vie (?). Peut<br>immob. les aliens et survivre aux frappes fatales. (Zone)	Il dit vouloir quitter son île déserte, mais il savoure<br>secrètement ces vacances prolongées.<br>immob. les aliens et survivre aux frappes fatales. (Zone)	Ayant renoncé à être secouru, a décidé de prendre le large.<br>Les vagues seront-elles clémentes ou cruelles, aujourd’hui ?<br>Peut immob. les aliens et survit à 1 frappe fatale. (Zone)
200	Sa peau en métal réduit tous les dégâts subis au minimum.<br>Sa composition est pure à 87,5 %. Les coups critiques peuvent<br>le blesser. Amélioration impossible aux niveaux (+). (Métal)	Sa peau en métal réduit tous les dégâts subis au minimum.<br>Fier de sa peau sans défaut, laisse ses bras à l’air.<br>Amélioration impossible aux niveaux (+). (Métal)	Sa peau en métal réduit tous les dégâts subis au minimum.<br>Fier de sa peau sans défaut, laisse ses bras à l’air.<br>le blesser. Amélioration impossible aux niveaux (+). (Métal)
201	Mène l’armée des Chats à la baguette, et en cadence.<br>Le rythme est tellement important pour lui qu’il joue seul.<br>Peut réduire les dégâts des ennemis métal de moitié.	Dirige une académie féline d’élite. Inspire les Chats<br>étudiants à conquérir des terres inconnues depuis 40 ans.<br>Peut réduire les dégâts des ennemis métal de moitié.	A hérité d’un empire de boulettes de riz. Cherche une femme<br>capable de suivre le rythme de ses coups de maillet.<br>Peut affaiblir les ennemis métal.
202	Celebrating The Battle Cats' Taiwan version,<br>this Cat got too excited and steamed itself in a basket.<br>Is that meat inside, or PURE PASSION?!	Celebrating The Battle Cats' Taiwan version,<br>grew bigger to satisfy more hungry people. There's<br>no basis to rumors he's got pizza filling inside.	
203	Le service R&D de l’armée des Chats a cloné une super-arme<br>ancienne : un tanuki tout mimi capable de maîtriser le feu.<br>Peut affaiblir les attaques des aliens/anges. (Att. de zone)	En communion avec les esprits ancestraux, Kachi concentre<br>la chaleur qu’il a absorbée en vue d’assauts explosifs !<br>Affaiblissent les attaques des aliens/anges. (Att. de zone)	Une magie ancestrale alimentée par la technologie moderne.<br>Crame tout sans laisser de preuve !<br>Affaiblit les attaques des aliens/anges. (Att. de zone)
204			
205			
206			
207			
208			
209	Une petite boule de poils qui rêve de devenir le célèbre<br>Chat connu pour sa rentabilité.<br>	Une petite boule de poils qui rêve de devenir le célèbre<br>Chat connu pour ses gros bras luisants.<br>	Une petite boule de poils qui rêve de devenir le célèbre<br>Chat connu pour sa coupe de cheveux tendance.<br>A rétréci pour être plus rentable.
210	Une petite boule de poils qui rêve de devenir le célèbre<br>Chat capable de soulever un caillou.<br>Balèze. Santé élevée. (Att. de zone)	Une petite boule de poils qui rêve de devenir le célèbre<br>Chat capable de soulever un galet.<br>Solide défense. Désormais doté de coins. (Att. de zone)	Une petite boule de poils qui rêve de devenir le célèbre<br>Chat connu pour sa défense Vachement bien.<br>Même puissance d’attaque. (Att. de zone)
211	Une petite boule de poils qui rêve de devenir le célèbre<br>dingue de combat qui assure contre les ennemis rouges.<br>	Une petite boule de poils qui rêve de devenir le célèbre<br>héros qui assure contre les ennemis rouges.<br>	Une petite boule de poils qui rêve de devenir le célèbre<br>Chavalier de l’ombre respectable.<br>Grande puissance contre les anges.
212	Une célèbre espionne qui insiste pour se déguiser à chaque<br>opération. A toujours accompli ses missions, cela dit.<br>100 % de chances de ralentir aliens/rouges. (Att. de zone)	Membre de la guilde notoire des Chassassins. Apparaît et<br>disparaît sans laisser de trace. Passe incognito en livreuse<br>de pizzas. Gros dégâts de zone contre les aliens/rouges.	Capitaine de l’agence de renseignements R.E.N.A.R.D.,<br>à la tête d’un réseau mondial de tueurs professionnels.<br>Ses att. de zone repoussent/affaiblissent les aliens/rouges.
213	Une bonne portion d’agressivité entre deux tranches de pain.<br>Parfait pour un en-cas ou une attaque belliqueuse.<br>100 % bœuf ! Qui l’eût cru ?	Agrémenté de feuilles de salade, de cheddar et de<br>combativité ! Version de luxe pour les avides de combat.<br>Pour votre santé, mangez sain et bougez plus !	The Battle Cats a 3 ans, ça se fête !<br>Envoie 1 000 kcal de douleur aux ennemis !<br>En accompagnement au choix : frites, frites ou frites.
214	Recruited from Metal Slug Defense!<br>An elite commando masked as a typical POW<br>Might survive lethal attacks. (Area Atk)	Recruited from Metal Slug Defense!<br>Lays down cover fire for the Cats with gas<br>bombs. Might survive lethal attacks. (Area Atk)	
215	Recruited from Metal Slug Defense!<br>This major excels at programming recruits.<br>Might temporarily freeze Aliens.	Recruited from Metal Slug Defense!<br>A top intel officer who lets loose with artillery.<br>Might temporarily freeze Aliens.	
216	Recruited from Metal Slug Defense!<br>This captain takes pride in his trademark shades.<br>Might knockback Aliens (Area Atk)	Recruited from Metal Slug Defense!<br>Master of the shotgun, Marco's best friend.<br>Might knockback Aliens (Area Atk)	
217	Recruited from Metal Slug Defense!<br>Staff sergeant in the Intel division.<br>Might cause massive damage to Aliens (Area Atk)	Recruited from Metal Slug Defense!<br>Demolitions, survival, spying - she's mastered it all!<br>Might cause massive damage to Aliens (Area Atk)	
218	Recruited from Metal Slug Defense!<br>A demure yet naïve Sgt. Major in the intel<br>division. Might slow Aliens.	Recruited from Metal Slug Defense!<br>Easygoing and genuine, a crackshot with<br>handguns. Might slow Aliens.	
219	Recruited from Metal Slug Defense!<br>A small, high-performance single-<br>passenger tank. (Area Atk)	Recruited from Metal Slug Defense!<br>Battle-tested model with superior<br>mobility and firepower. (Area Atk)	
220	Recruited from Metal Slug Defense!<br>Feared by allies and foes alike as the<br>"Demon Sergeant" Survives one lethal strike.	Recruited from Metal Slug Defense!<br>Shirtless even in subzero temperatures.<br>Survives one lethal strike.	
221	Recruited from Metal Slug Defense!<br>Yep, they're actual Martians.<br>Might weaken Aliens.	Recruited from Metal Slug Defense!<br>Mastered warping. No motivation to try<br>now, though. Might weaken Aliens.	
222	Recruited from Metal Slug Defense!<br>Giant crab that uses tank wreckage to attack.<br>Strong against Aliens. (Area Atk)	Recruited from Metal Slug Defense!<br>Terrifying claws wade towards the beachhead!<br>Strong against Aliens. (Area Atk)	
223	Recruited from Metal Slug Defense!<br>A robotic guardian who patrols secret factories.<br>Might knockback + slow Aliens. (Area Atk)	Recruited from Metal Slug Defense!<br>Fires lasers powerful enough to vaporize all matter.<br>Might knockback + slow Aliens. (Area Atk)	
224	Recruited from Metal Slug Defense!<br>A charismatic ex-general plotting a coup.<br>Knockback + resistant to Aliens. (Area Atk)	Recruited from Metal Slug Defense!<br>Fights corruption with rocket launcher in hand.<br>Knockback + resistant to Aliens. (Area Atk)	
225	Recruited from Metal Slug Defense!<br>Large bomber copter used by the Morden Army.<br>Might knockback + Strong def. vs Floating. (Area Atk)	Recruited from Metal Slug Defense!<br>A fighter used to ensure the safety of VIPs.<br>Might knockback + Strong def. vs Floating. (Area Atk)	
226	Un jeune sorcier précoce qui a assujetti un cauchemar.<br>Son pouvoir infernal inflige des dégâts massifs aux<br>aliens/flottants/bases ennemies.	Lui et la forme ultime de son cauchemar collectent désormais<br>les âmes mauvaises. Dégâts massifs contre les anges/aliens.<br>S’enrichit à chaque ennemi vaincu.	A suivi des cours d’anatomie occulte en ligne.<br>A réussi une greffe d’âme haut la main ! (?)<br>Inflige des dégâts extrêmes uniquement aux aliens/bases.
