0|S0|I0	เร่งความเร็ว
30052	ป้องกันเพิ่มขึ้น B: เอเลี่ยน
30053	ป้องกันเพิ่มขึ้น A: เอเลี่ยน
30054	ป้องกันเพิ่มขึ้น S: เอเลี่ยน
30055	โจมตีเพิ่มขึ้น D: 
30056	โจมตีเพิ่มขึ้น C: 
30057	โจมตีเพิ่มขึ้น B: 
30058	โจมตีเพิ่มขึ้น A: 
30059	โจมตีเพิ่มขึ้น S: 
30060	ป้องกันเพิ่มขึ้น D: 
30061	ป้องกันเพิ่มขึ้น C: 
30062	ป้องกันเพิ่มขึ้น B: 
30063	ป้องกันเพิ่มขึ้น A: 
30064	ป้องกันเพิ่มขึ้น S: 
30065	เพิ่มเอฟเฟกต์แข็งแกร่ง D: สีแดง
30066	เพิ่มเอฟเฟกต์แข็งแกร่ง C: สีแดง
30067	เพิ่มเอฟเฟกต์แข็งแกร่ง B: สีแดง
30068	เพิ่มเอฟเฟกต์แข็งแกร่ง A: สีแดง
30069	เพิ่มเอฟเฟกต์แข็งแกร่ง S: สีแดง
30070	เพิ่มดาเมจมหาศาล D: สีแดง
30071	เพิ่มดาเมจมหาศาล C: สีแดง
30072	เพิ่มดาเมจมหาศาล B: สีแดง
30073	เพิ่มดาเมจมหาศาล A: สีแดง
30074	เพิ่มดาเมจมหาศาล S: สีแดง
30075	เพิ่มเอฟเฟกต์อึด D: สีแดง
30076	เพิ่มเอฟเฟกต์อึด C: สีแดง
30077	เพิ่มเอฟเฟกต์อึด B: สีแดง
30078	เพิ่มเอฟเฟกต์อึด A: สีแดง
30079	เพิ่มเอฟเฟกต์อึด S: สีแดง
30080	เพิ่มเอฟเฟกต์แข็งแกร่ง D: ลอย
30081	เพิ่มเอฟเฟกต์แข็งแกร่ง C: ลอย
30082	เพิ่มเอฟเฟกต์แข็งแกร่ง B: ลอย
30083	เพิ่มเอฟเฟกต์แข็งแกร่ง A: ลอย
30084	เพิ่มเอฟเฟกต์แข็งแกร่ง S: ลอย
30085	เพิ่มดาเมจมหาศาล D: ลอย
30086	เพิ่มดาเมจมหาศาล C: ลอย
30087	เพิ่มดาเมจมหาศาล B: ลอย
30088	เพิ่มดาเมจมหาศาล A: ลอย
30089	เพิ่มดาเมจมหาศาล S: ลอย
30090	เพิ่มเอฟเฟกต์อึด D: ลอย
30091	เพิ่มเอฟเฟกต์อึด C: ลอย
30092	เพิ่มเอฟเฟกต์อึด B: ลอย
30093	เพิ่มเอฟเฟกต์อึด A: ลอย
30094	เพิ่มเอฟเฟกต์อึด S: ลอย
30095	เพิ่มเอฟเฟกต์แข็งแกร่ง D: สีดำ
30096	เพิ่มเอฟเฟกต์แข็งแกร่ง C: สีดำ
30097	เพิ่มเอฟเฟกต์แข็งแกร่ง B: สีดำ
30098	เพิ่มเอฟเฟกต์แข็งแกร่ง A: สีดำ
30099	เพิ่มเอฟเฟกต์แข็งแกร่ง S: สีดำ
30100	เพิ่มดาเมจมหาศาล D: สีดำ
30101	เพิ่มดาเมจมหาศาล C: สีดำ
30102	เพิ่มดาเมจมหาศาล B: สีดำ
30103	เพิ่มดาเมจมหาศาล A: สีดำ
30104	เพิ่มดาเมจมหาศาล S: สีดำ
30105	เพิ่มเอฟเฟกต์อึด D: สีดำ
30106	เพิ่มเอฟเฟกต์อึด C: สีดำ
30107	เพิ่มเอฟเฟกต์อึด B: สีดำ
30108	เพิ่มเอฟเฟกต์อึด A: สีดำ
30109	เพิ่มเอฟเฟกต์อึด S: สีดำ
30110	เพิ่มเอฟเฟกต์แข็งแกร่ง D: เทพ
30111	เพิ่มเอฟเฟกต์แข็งแกร่ง C: เทพ
30112	เพิ่มเอฟเฟกต์แข็งแกร่ง B: เทพ
30113	เพิ่มเอฟเฟกต์แข็งแกร่ง A: เทพ
30114	เพิ่มเอฟเฟกต์แข็งแกร่ง S: เทพ
30115	เพิ่มดาเมจมหาศาล D: เทพ
30116	เพิ่มดาเมจมหาศาล C: เทพ
30117	เพิ่มดาเมจมหาศาล B: เทพ
30118	เพิ่มดาเมจมหาศาล A: เทพ
30119	เพิ่มดาเมจมหาศาล S: เทพ
30120	เพิ่มเอฟเฟกต์อึด D: เทพ
30121	เพิ่มเอฟเฟกต์อึด C: เทพ
30122	เพิ่มเอฟเฟกต์อึด B: เทพ
30123	เพิ่มเอฟเฟกต์อึด A: เทพ
30124	เพิ่มเอฟเฟกต์อึด S: เทพ
30125	เพิ่มเอฟเฟกต์แข็งแกร่ง D: เอเลี่ยน
30126	เพิ่มเอฟเฟกต์แข็งแกร่ง C: เอเลี่ยน
30127	เพิ่มเอฟเฟกต์แข็งแกร่ง B: เอเลี่ยน
30128	เพิ่มเอฟเฟกต์แข็งแกร่ง A: เอเลี่ยน
30129	เพิ่มเอฟเฟกต์แข็งแกร่ง S: เอเลี่ยน
30130	เพิ่มดาเมจมหาศาล D: เอเลี่ยน
30131	เพิ่มดาเมจมหาศาล C: เอเลี่ยน
30132	เพิ่มดาเมจมหาศาล B: เอเลี่ยน
30133	เพิ่มดาเมจมหาศาล A: เอเลี่ยน
30134	เพิ่มดาเมจมหาศาล S: เอเลี่ยน
30135	เพิ่มเอฟเฟกต์อึด D: เอเลี่ยน
30136	เพิ่มเอฟเฟกต์อึด C: เอเลี่ยน
30137	เพิ่มเอฟเฟกต์อึด B: เอเลี่ยน
30138	เพิ่มเอฟเฟกต์อึด A: เอเลี่ยน
30139	เพิ่มเอฟเฟกต์อึด S: เอเลี่ยน
30140	เพิ่มเอฟเฟกต์แข็งแกร่ง D: 
30141	เพิ่มเอฟเฟกต์แข็งแกร่ง C: 
30142	เพิ่มเอฟเฟกต์แข็งแกร่ง B: 
30143	เพิ่มเอฟเฟกต์แข็งแกร่ง A: 
30144	เพิ่มเอฟเฟกต์แข็งแกร่ง S: 
30145	เพิ่มดาเมจมหาศาล D: 
30146	เพิ่มดาเมจมหาศาล C: 
30147	เพิ่มดาเมจมหาศาล B: 
30148	เพิ่มดาเมจมหาศาล A: 
30149	เพิ่มดาเมจมหาศาล S: 
30150	เพิ่มเอฟเฟกต์อึด D: 
30151	เพิ่มเอฟเฟกต์อึด C: 
30152	เพิ่มเอฟเฟกต์อึด B: 
30153	เพิ่มเอฟเฟกต์อึด A: 
30154	เพิ่มเอฟเฟกต์อึด S: 
30155	โจมตีเพิ่มขึ้น D: อากุ
30156	โจมตีเพิ่มขึ้น C: อากุ
30157	โจมตีเพิ่มขึ้น B: อากุ
30158	โจมตีเพิ่มขึ้น A: อากุ
30159	โจมตีเพิ่มขึ้น S: อากุ
30160	ป้องกันเพิ่มขึ้น D: อากุ
30161	ป้องกันเพิ่มขึ้น C: อากุ
30162	ป้องกันเพิ่มขึ้น B: อากุ
30163	ป้องกันเพิ่มขึ้น A: อากุ
30164	ป้องกันเพิ่มขึ้น S: อากุ
30165	เพิ่มเอฟเฟกต์แข็งแกร่ง D: อากุ
30166	เพิ่มเอฟเฟกต์แข็งแกร่ง C: อากุ
30167	เพิ่มเอฟเฟกต์แข็งแกร่ง B: อากุ
30168	เพิ่มเอฟเฟกต์แข็งแกร่ง A: อากุ
30169	เพิ่มเอฟเฟกต์แข็งแกร่ง S: อากุ
30170	เพิ่มดาเมจมหาศาล D: อากุ
30171	เพิ่มดาเมจมหาศาล C: อากุ
30172	เพิ่มดาเมจมหาศาล B: อากุ
30173	เพิ่มดาเมจมหาศาล A: อากุ
30174	เพิ่มดาเมจมหาศาล S: อากุ
30175	เพิ่มเอฟเฟกต์อึด D: อากุ
30176	เพิ่มเอฟเฟกต์อึด C: อากุ
30177	เพิ่มเอฟเฟกต์อึด B: อากุ
30178	เพิ่มเอฟเฟกต์อึด A: อากุ
30179	เพิ่มเอฟเฟกต์อึด S: อากุ
30180	โจมตีเพิ่มขึ้น D: 
30181	โจมตีเพิ่มขึ้น C: 
30182	โจมตีเพิ่มขึ้น B: 
30183	โจมตีเพิ่มขึ้น A: 
30184	โจมตีเพิ่มขึ้น S: 
30185	ป้องกันเพิ่มขึ้น D: 
30186	ป้องกันเพิ่มขึ้น C: 
30187	ป้องกันเพิ่มขึ้น B: 
30188	ป้องกันเพิ่มขึ้น A: 
30189	ป้องกันเพิ่มขึ้น S: 
30190	เพิ่มเอฟเฟกต์แข็งแกร่ง D: 
30191	เพิ่มเอฟเฟกต์แข็งแกร่ง C: 
30192	เพิ่มเอฟเฟกต์แข็งแกร่ง B: 
30193	เพิ่มเอฟเฟกต์แข็งแกร่ง A: 
30194	เพิ่มเอฟเฟกต์แข็งแกร่ง S: 
30195	เพิ่มดาเมจมหาศาล D: 
30196	เพิ่มดาเมจมหาศาล C: 
30197	เพิ่มดาเมจมหาศาล B: 
30198	เพิ่มดาเมจมหาศาล A: 
30199	เพิ่มดาเมจมหาศาล S: 
30200	เพิ่มเอฟเฟกต์อึด D: 
30201	เพิ่มเอฟเฟกต์อึด C: 
30202	เพิ่มเอฟเฟกต์อึด B: 
30203	เพิ่มเอฟเฟกต์อึด A: 
30204	เพิ่มเอฟเฟกต์อึด S: 
