000	安価で生産できる基本キャラ<br><br>	鍛えぬいた筋肉がチャームポイントの<br>基本キャラ<br>	鍛えぬいた筋肉に男前なタテガミが<br>チャームポイントの基本キャラ<br>
138	月からの使命を受けた美しきにゃんこ<br>いまはまだその素性を隠している<br>天使とメタルな敵の動きをたまに遅くする(範囲攻撃)	かつて世界を滅ぼしたと伝えられる<br>宇宙戦を得意とする超古代兵器のひとつ<br>天使とメタルな敵の動きをたまに遅くする(範囲攻撃)	かつて銀河を消滅させたと伝えられる超古代兵器<br>良心という安全装置を外し超破壊力で敵を殲滅する<br>天使とメタルな敵の動きを必ず遅くする(範囲攻撃)
139	オリンピックから奥さまのエクササイズまで<br>世界で活躍するテコンドーマスター<br>ケリ技で全てを制圧する	初心に立ち返りＨＧ(ヘッドギア)を装着した<br>伝説のテコンドーマスター<br>今や世界中に多くの弟子が存在する	甘いマスクとＳＰ(スペシャル)な道着を手に入れた<br>正義のテコンドーマスター<br>さわやかなルックスで女子にも大人気
140	最新素材で作られたガシャポンカプセル<br>の中にうっかりハマってしまったネコ<br>ふにゅふにゅとした感触がクセになる(範囲攻撃)	魅惑のボディで敵をめろめろにするネコ<br>上腕三頭筋には特に注目してもらいたい<br>巨神ネコは遠い遠い親戚(範囲攻撃)	
141	ついに時空を超越した神<br>その反動で見た目は子供になってしまったが<br>煩悩はオトナ。その能力は謎に満ちている	ついに時空を超越した神<br>この体ならばネコヴァルキリーの母性をくすぐれると<br>フォーリンラブへの自信に満ちている	
142	顔以外はだらしない「ネコとくい」と<br>おじいちゃんみたいなネコの「ネコふくだ」<br>「ネコとくい」のへんなダンスで攻撃する	顔以外はだらしない「ネコとくい」と<br>おじいちゃんみたいなネコの「ネコふくだ」<br>ツッコミのときの「ネコふくだ」の顔はめちゃ怖い	
143	優しい瞳に暖かな笑顔。心温まる癒しオーラで<br>にゃんこ印の注射器をぶっ刺す健気なナース(範囲攻撃)<br>浮いてる・黒い敵をたまにふっとばして移動を遅くする	皆を救うために注射器をふるう戦場のナース<br>絶対領域も防御力アップで、もうなにも怖くない(範囲攻撃)<br>浮いてる・黒い敵をたまにふっとばして移動を遅くする	数々の現場で活躍した経験豊富な強きナース<br>特大お注射もひとりで刺せるもん(範囲攻撃)<br>浮いてる・黒い敵をたまにふっとばして移動を遅くする
144	誰が吹き込んだのかは知らないが<br>立派なにゃんこ城になるため修行中のにゃんこ<br>気合だけで波動を放つ努力家	通販でヘルメットを買い、より本物に近づいた<br>城のふりをして色々なものをのぞき見するのが日課<br>興奮すると波動が出てしまう	理想のにゃんこ城を完成させたにゃんこ<br>最新式キャタピラは地球温暖化に配慮した立ちこぎ式<br>波動はあいかわらず気合で出す
145	弱きを助け強きをくじく伝説のガンマン<br>今日も保安官に犯罪者を引き渡す<br>たまに黒い敵の動きを遅くする	自己保身のため権力に屈服することもいとわない<br>伝説のガンマン。今日も保安官に小銭を差し出す<br>たまに黒い敵の動きを遅くする	ロデオ大会に向けてアピールする伝説のガンマン<br>大会当日は予定があるので棄権する予定<br>たまに黒い敵の動きを遅くする
146	更なる高みを目指すため視点だけでもと<br>竹馬に乗ってみたにゃんこ<br>ごくたまに天使をふっとばす	高みを目指す同志が集まったので<br>ワールドワイドな感じになってみたにゃんこ<br>ごくたまに天使をふっとばす	高みを目指すために芸を身につけたにゃんこ<br>次の椅子を買うために二人でお金を貯めている<br>たまに天使をふっとばす
147	最高の先進技術をもって懐かしのおもちゃに<br>魂を封じ込められたにゃんこ<br>ごくたまに黒い敵をふっとばす	大空を夢見たにゃんこが世界最高峰の技術者たちに<br>改造を依頼した、いわば技術の集大成<br>ごくたまに黒い敵をふっとばす	悪の組織に捕えられ、闇の技術者に大改造された<br>太陽光発電で動く不老不死の殺戮ネコ、弱点は雨<br>ごくたまに黒い敵をふっとばす
148	音楽なんかやめて豆腐屋を継げと言われているが<br>大豆アレルギーをカミングアウト<br>出来ないでいるロッカー。天使に打たれ強い	曲が売れなくて試しに絵を描いてみたら<br>それも全然売れずムキになって描き続ける<br>豆腐屋のロッカー。天使に打たれ強い	実家の豆腐屋も継がずにラーメン屋に就職<br>素人は黙っとれが口癖の本格派職人<br>派手な湯切りで客を楽しませる。天使に打たれ強い
149	海で助けた王子様を忘れられず陸にあがった人魚<br>肺呼吸はロングブレスで取得<br>浮いてる敵にめっぽう強く、まれに生き残る	王子様がテロ組織に誘拐されたと聞き、魔女に足を<br>もらって４年間過酷な訓練を受けた人魚<ソルジャー><br>浮いてる敵にめっぽう強く、まれに生き残る	報道に命をかけるジャーナリスト<br>写真のチカラで大戦争の真実(リアル)を伝える<br>浮いてる敵にめっぽう強く、まれに生き残る(範囲攻撃)
150	まだ見ぬイケメン彼氏を夢見るおてんば娘<br>愛読書は赤井ブン太郎著「体罰と散髪」<br>天使をたまに一瞬止める(範囲攻撃)	まだ見ぬイケメンプリンスを夢見るおてんば姫<br>好物は鳥の串焼き<br>天使をたまに一瞬止める(範囲攻撃)	まだ見ぬ伊達男の旦那様を夢見るおてんば舞妓<br>のつもりがいつの間にやらお局様<br>天使をたまに止める(範囲攻撃)
151	重いものを軽々と持ち上げるのが男だと言って<br>11人の子供達と7人の妻とその両親を支える大黒柱<br>黒い敵に超ダメージを与える(範囲攻撃)	とうとう人生の１２ラウンド目に到達<br>新たな生きがいを見つけたタフなにゃんこ<br>黒い敵に超ダメージを与える(範囲攻撃)	配達用のピザを食べる掟破りの配達員<br>肥満の肥満による肥満の為の自由を追い求める<br>黒い敵に超ダメージを与える(範囲攻撃)
152	流行りものに敏感な二人が次に始めたのは<br>フィギュアスケートだった<br>愛し合う二人に国境はない(範囲攻撃)	日本の伝統芸能を世界へ広めるために<br>満を持してエキシビジョンで披露した<br>お蔵入りのネタ(範囲攻撃)	長年寄り添った２人はついに超伝統芸能を極める<br>息の合ったどつき漫才で世の中に笑撃をもたらす<br>古代種にめっぽう強い(範囲攻撃)
153	毎日パンばかり焼かされてストを起こしたトースター<br>お父さんの顔目がけてパンを吹き飛ばすのが生きがい<br>ごくたまに天使の動きを遅くする(範囲攻撃)	かつては名優達を映していたが、デジタルに<br>取って代わられたためやけくそになった呪いの映写機<br>ごくたまに天使の動きを遅くする(範囲攻撃)	哀愁漂うメロディで戦意を喪失させる<br>ゼンマイ仕掛けのネコ型自走砲台(範囲攻撃)<br>ごくたまにバリアを貫き、天使の動きを遅くする
154	おなかがぽっこりしてきたので<br>ダイエットの為にフラフープを始めたにゃんこ<br>ごくたまにメタルな敵の動きを止める	体型維持のため始めたが、明らかに<br>おかしな方向に体型が変化してきているにゃんこ<br>ごくたまにメタルな敵の動きを止める	前人未踏のパフォーマンスに挑戦するにゃんこ<br>おひねりでフープを買い足しては更なる挑戦が続く<br>たまにメタルな敵の動きを止める
155			
156	ドラゴンリーグから参戦！<br>安価で生産できる剣の達人<br>黒い敵にめっぽう強い	ドラゴンリーグから参戦！<br>転職により魔法を会得<br>黒い敵にめっぽう強い(範囲攻撃)	
157	ドラゴンリーグから参戦！<br>たまにしか出現しないレアモンスター<br>天使に打たれ強い(範囲攻撃)	ドラゴンリーグから参戦！<br>ヌボボ一族の黄金担当<br>天使に打たれ強い(範囲攻撃)	ドラゴンリーグから参戦！<br>ヌボボ一族の黄金担当<br>天使にうたれ強い(範囲攻撃)
158	伝説のマシン「ネコ車」の呪いによって<br>龍に変化しつつある戦国武将(範囲攻撃)<br>黒い敵にめっぽう強く、必ずふっとばす	伝説のマシン「ネコ車」との融合を選択し<br>邪悪なチカラを開放させた戦国武将(範囲攻撃)<br>黒い敵にめっぽう強く、必ずふっとばす	邪悪な力を完全に乗りこなした武神<br>溢れる殺意に身を任せ全てを焼き尽くす(範囲攻撃)<br>黒い敵にめっぽう強く、必ずふっとばす
159	入学式に学校を壊滅寸前に追い込んだ伝説の少女<br>生まれたときからの相棒「ニャクスカリバー」で<br>天使に超ダメージを与える(範囲攻撃)	１学期終了時に校長を冥界へ封じ込めた伝説の少女<br>本当の自分をわかってくれる友達を探している<br>天使に超ダメージを与える(範囲攻撃)	卒業式の後、告白に来た男の子たちを一人残らず<br>この世からも卒業させてしまった伝説の少女<br>天使に超ダメージを与える(範囲攻撃)
160	ケリ姫スイーツに登場するキャラクター<br>コラボレーションにより夢の競演<br>天使にめっぽう強い(範囲攻撃)	ケリ姫スイーツに登場する転生霊鳥ユーリンチーに<br>乗りたくてネコ達の英知を結集して作られた<br>鳥型ラジコン。天使にめっぽう強い(範囲攻撃)	ケリ姫スイーツに登場するゲキリンチーっぽく<br>色を塗った鳥型ラジコン。黒いインクが余ったので<br>ネコも塗ってみた。天使にめっぽう強い（範囲攻撃）
161	暗黒スイーツを食べて狂乱化してしまった姫<br>闇の力をまとった「ケリ」が唸りを上げる！<br>たまにメタルな敵をふっとばす(範囲攻撃)	暗黒スイーツを食べて狂乱化してしまった姫<br>元に戻してくれるイケメンはまだ現れない<br>たまにメタルな敵をふっとばす(範囲攻撃)	暗黒スイーツをおかわりして大狂乱化してしまった姫<br>さらなる闇の力をまといイケメンを探して全力疾走<br>たまにメタルな敵をふっとばす(範囲攻撃)
162	ヤンクロックバンド氣志團から参戦！<br>誇り高き團長でありヴォーカル<br>通り名は『房総の狂犬』	ヤンクロックバンド氣志團から参戦！<br>誇り高き團長でありヴォーカル(範囲攻撃)<br>永遠の16歳(赤い敵にめっぽう強い)	
163	ヤンクロックバンド氣志團から参戦！<br>ダンス＆スクリーム担当の精神年齢４歳<br>通り名は『森の堅者』	ヤンクロックバンド氣志團から参戦！<br>ダンス＆スクリーム担当の精神年齢４歳<br>意味不明の言語、ヒカル語を話す(範囲攻撃)	
164	ヤンクロックバンド氣志團から参戦！<br>ギター担当の長身２メートル９センチ<br>通り名は『多摩の大巨人』	ヤンクロックバンド氣志團から参戦！<br>ギター担当の長身２メートル９センチ<br>J.Bというチワワを飼う巨人(範囲攻撃)	
165	ヤンクロックバンド氣志團から参戦！<br>ギター担当の涙のフィフティーン<br>通り名は『薩摩隼人は泣きの竜』	ヤンクロックバンド氣志團から参戦！<br>ギター担当の涙のフィフティーン<br>大のスパゲッティ好き(範囲攻撃)	
166	ヤンクロックバンド氣志團から参戦！<br>ベース担当の怒れる15歳<br>通り名は『はちみつ大好きこぐまちゃん』	ヤンクロックバンド氣志團から参戦！<br>ベース担当の怒れる15歳<br>甘いものが大好き(範囲攻撃)	
167	都内某小学校でブイブイ言わせてる伝説のツッパリ<br>授業をフケて屋上で一人、捨て猫と昼寝する<br>ちょっとだけ不器用なにゃんこ	アタイのダチをいじめる奴は絶対許さねぇ！<br>が口癖のちまたで有名なマブイにゃんこ<br>仁義を通す強さと乙女の繊細さを持つ(範囲攻撃)	
168	ネコなのか何なのか、<br>まったく正体不明の謎のキャラクター<br>進化させると…	ネコなのか何なのか、<br>まったく正体不明の謎のキャラクター<br>広範囲の敵の動きを遅くする(範囲攻撃)	ネコなのか暗殺拳の伝承者なのか、<br>まったく正体不明の謎のキャラクター<br>超広範囲の敵の動きを遅くする(範囲攻撃)
169	ネコなのか何なのか、<br>まったく正体不明の謎のキャラクター<br>進化させると…	ネコなのか何なのか、<br>まったく正体不明の謎のキャラクター<br>敵をふっとばす波動を放つ	ネコなのかストリートで戦うスモウレスラーなのか、<br>まったく正体不明の謎のキャラクター<br>必ずクリティカルの波動を放つ
170	ネコなのか何なのか、<br>まったく正体不明の謎のキャラクター<br>進化させると…	ネコなのか何なのか、<br>まったく正体不明の謎のキャラクター<br>敵1体に対し超絶大ダメージ(たまにクリティカル)	ネコなのか麦わら帽子好きの船長なのか、<br>まったく正体不明の謎のキャラクター<br>敵1体に対し超絶大ダメージ(たまにクリティカル)
171	ネコなのか何なのか、<br>まったく正体不明の謎のキャラクター<br>進化させると…	ネコなのか何なのか、<br>まったく正体不明の謎のキャラクター<br>広範囲の敵の動きを止める(範囲攻撃)	ネコなのか宇宙より降り立った厄災なのか<br>まったく正体不明の謎のキャラクター<br>広範囲の敵の動きを止め、攻撃力を下げる(範囲攻撃)
172	時空の歪みによって子供に戻ってしまったニャンダム<br>老け顔のせいで友達がよりつかない。根はまじめ<br>たまに敵の動きを遅くする(範囲攻撃)	夏休みにプールで排水口に挟まっていたネコを<br>救助して以来、学校への登校はいつも一緒<br>たまに敵の動きを遅くする(範囲攻撃)	若返りが止まらないニャンダム<br>「しょうらいのゆめはりっぱなていおうになること」<br>たまに敵の動きを遅くする(範囲攻撃)
173	生きろ！マンボウ！から参戦！<br>厳しい海の世界で３億匹の兄弟はみな死んだが<br>たった一匹生き残ったマンボウ	天国に１番近い生き物、魚生ハードモードなどの<br>呼び名を持つ悲しいくらいにからだのよわいマンボウ<br>叫び声で遠距離攻撃できるがすぐ死ぬ	自分より大きな魚をみることは、もはやなくなった<br>その分小回りがきかなくなってしまったマンボウ<br>ひげのようにみえるものは実は寄生虫である
174	生きろ！マンボウ！から参戦！<br>もうすぐ世界最大になるマンボウ<br>その風貌には王たる威厳が感じられる(範囲攻撃)	大きくなる運命を背負いそれを成し遂げたマンボウ<br>ハードだったこの魚生、一片の悔いは無い…<br>断末魔の叫びが海原にとどろく(範囲攻撃)	一番大きい体には一番大きい海が良く似合う<br>いつ起こるか分からない突然の死。だからこそ<br>今を精一杯生き、情熱を燃やして輝く(範囲攻撃)
175	水中戦を想定しマンボウになろうとしたネコ<br>兄弟で始めた天気予報がマイブーム<br>赤い敵に打たれ強い(範囲攻撃)	進化の過程で足の代わりに腕が生えた<br>踏みつけられることを極端に嫌う水中兵器と化したネコ<br>赤い敵に打たれ強い(範囲攻撃)	
176	純粋な愛へのお返しのマシュマロ型にゃんこ<br>やわらかく相手のご厚意を包みます<br>持ち前の弾力で相手に猛アタック	急なバーベキューでもすぐに焼ける<br>便利な脚付きのマシュマロ型にゃんこ<br>持ち前の弾力で相手に猛アタック	
177	望む景色は全て焼き払うといわれる伝説の覇龍族<br>圧倒的な破壊力で敵を攻撃する(範囲攻撃)<br>たまに天使をふっとばして移動を遅くする	腕の魔龍石の封印が解き放たれた伝説の覇龍族<br>圧倒的な破壊力で敵を攻撃する(範囲攻撃)<br>たまに天使をふっとばして移動を遅くする	憎悪の生気を吸収することで暴走した魔龍石により<br>真の力を解き放った伝説の覇龍族(範囲攻撃)<br>必ずバリアを貫き天使をふっとばして移動を遅くする
178	愛しの人を守るため仁義を貫く漢にゃんこ<br>その身は汚れても侠気は失わない<br>	「血の儀式」という洗礼を受け<br>ヴァンパイアと化したヤクザねこ(範囲攻撃)<br>愛しき人が見せる健気な笑みにはめっぽう弱い	
179	消滅都市から参戦！何でも運ぶ運び屋のタクヤと<br>謎の少女ユキ。3年前に"消滅"したある都市を目指す<br>浮いてる敵に打たれ強い(範囲攻撃)	スフィアと間違って取ったネコを仕方なく乗せ<br>3年前に"消滅"したある都市を目指す<br>浮いてる敵に打たれ強い(範囲攻撃)	突如、行方不明となったユキを探すため<br>鍵を握る謎の生物を運搬中。浮いてる敵に打たれ強く<br>敵を倒したときにお金を多くもらえる(範囲攻撃)
180	"消滅"から奇跡的に生還した少女<br>その影響で不思議な力を身につけているらしいが…<br>浮いてる敵に超ダメージを与える(範囲攻撃)	ネコの協力を得て新たなタマシイを<br>呼び出す能力を取得した謎の少女ユキ<br>浮いてる敵に超ダメージを与える(範囲攻撃)	ネコと会話するためにネコ耳をつけたユキ<br>心が通い合いタマシイがパワーアップ<br>浮いてる敵に超ダメージを与える(範囲攻撃)
181	"消滅"から奇跡的に生還した少女、に影響を受け<br>見よう見まねで不思議な力と飛行能力を習得したにゃんこ<br>ごくたまに浮いてる敵の動きを一瞬止める	"消滅"から奇跡的に生還した少女、に見た目も<br>近づくため、美容整形で美しく進化したにゃんこ<br>ごくたまに浮いてる敵の動きを一瞬止める	
182			
183	3DS版「とびだす！にゃんこ大戦争」記念キャラ<br>カートにテニスにパーティも大好き多趣味にゃんこ<br>敵を倒したときにお金を多くもらえる	3DS版「とびだす！にゃんこ大戦争」記念キャラ<br>お化けが大嫌いな永遠の２番手にゃんこ<br>敵を倒したときにお金を多くもらえる	3DS版「とびだす！にゃんこ大戦争」記念キャラ<br>いつもさらわれてばかりのお姫様にゃんこ<br>敵を倒したときにお金を多くもらえる
184	「ミスターニンジャ!!フィーバー」から特別参戦！<br>惑星の間を華麗に舞いエイリアンをぶった斬る忍者<br>エイリアンに超ダメージを与える(範囲攻撃)	「ミスターニンジャ!!フィーバー」から特別参戦！<br>華麗な抜刀術を使う、おてんばでキュートなくのいち<br>エイリアンに超ダメージを与える(範囲攻撃)	
185	メルクストーリアから参戦！<br>合理的で直感的な思考をもつ銀の獣<br>たまにクリティカルを放ち、メタルに打たれ強い	メルクストーリアから参戦！<br>とても一途なイケメン(女)愛称はハーシュ<br>たまにクリティカルを放ち、メタルに打たれ強い	メルクストーリアから参戦！<br>王国風の新たな衣装を着こなす革命の剣士<br>たまにクリティカルを放ち、メタルに打たれ強い
186	メルクストーリアから参戦！<br>飛龍への憧れを胸に天の橋を夢見る女性<br>黒い敵と赤い敵の動きをたまに一瞬止める(範囲攻撃)	メルクストーリアから参戦！<br>いずれ天の橋の材料となる龍のウロコに目がない<br>黒い敵と赤い敵の動きをたまに一瞬止める(範囲攻撃)	
187	メルクストーリアから参戦！<br>怪力で少々ひねくれた騎士。でも心根はやさしい好青年<br>天使に打たれ強い	メルクストーリアから参戦！<br>メルクいわく、あのことは秘密なのですＹＯ！だとか<br>天使に打たれ強い	メルクストーリアから参戦！<br>メルクとはYO！秘密のアレを時々やってるんだＹＯ！<br>天使に打たれ強く、たまに攻撃を無効化する
188	メルクストーリアから参戦！<br>「夜のいきもの」と契約した不思議な少女<br>射程が長く黒い敵にめっぽう強い(範囲攻撃)	メルクストーリアから参戦！<br>彼女の持つ棺桶に触れると塵になるらしい<br>射程が長く黒い敵にめっぽう強い(範囲攻撃)	
189	メルクストーリアから参戦！<br>ある理由で呪われてしまった凄腕魔術師<br>たまに天使をふっとばす(範囲攻撃)	メルクストーリアから参戦！<br>弟子のお陰で大切なものを取り戻した魔術師<br>たまに天使をふっとばす(範囲攻撃)	
190	メルクストーリアから参戦！<br>ある少年と契約した夜のいきものである紳士(範囲攻撃)<br>たまに赤い敵と黒い敵をふっとばして動きを遅くする	メルクストーリアから参戦！<br>夢の住人のせいか少しずれてる紳士(範囲攻撃)<br>たまに赤い敵と黒い敵をふっとばして動きを遅くする	
191	メルクストーリアから参戦！<br>メルストの大人気広報がにゃんこの世界で大暴れ！<br>たまに敵単体の動きを遅くする	メルクストーリアから参戦！<br>こーほーとは別に林檎を冷やすお仕事もあるらしい<br>たまに敵単体の動きを遅くする	メルクストーリアから参戦！<br>にゃんこ大戦争のこーほーのバイト中なのだよ<br>たまに敵単体の動きを遅くする
192	ポノスがスポンサーのレースチームを応援する<br>にゃんこ大戦争ガールズ！<br>たまに敵の攻撃力をダウンさせる	特技がバルーンアートの「みのりん」は<br>にゃんこ大戦争ガールズ！<br>たまに敵の攻撃力をダウンさせる	
193	ポノスがスポンサーのレースチームを応援する<br>にゃんこ大戦争ガールズ！<br>たまに敵の攻撃力をダウンさせる	食べられるカニも大好きな「かにー」は<br>にゃんこ大戦争ガールズ！<br>たまに敵の攻撃力をダウンさせる	
194	おととい夢で見たエイリアン襲来に立ち向かうべく<br>自らの身体を人造人間っぽく改造した超天才少年<br>たまにエイリアンの動きを止める(範囲攻撃)	引きこもりがちだった中学３年間の闇の力を一気に解放<br>追い詰められると発揮する反骨のパワーで正義を貫く<br>体力が減ると攻撃力が大幅上昇する(範囲攻撃)	｢未来と自分は変えられる｣の信念を胸に抱き<br>変わらない社会にあらがう天才少年(範囲攻撃)<br>エイリアンにめっぽう強く波動ダメージを無効にする
195	本の付録を毎号集めて完成させたロボットを<br>スパナ１つで殺戮マシンへと魔改造した少女(範囲攻撃)<br>エイリアンと黒い敵に打たれ強く、1度だけ生き残る	深夜空港に忍び込みジェット機をドライバー1つで解体<br>一晩で決戦マシンを完成させた少女(範囲攻撃)<br>たまにエイリアンをふっとばして攻撃力をダウンさせる	国際宇宙基地NYASAの宇宙船を、遠隔操作で<br>超変形ロボットにトランスフォームさせた少女(範囲攻撃)<br>エイリアンに超ダメージを与え、動きを遅くする
196	紫外線を完全に遮断する特殊スーツを華麗に着こなす<br>昼ドラの英雄は決して知られてはならない闇の顔をもつ<br>エイリアンと浮いてる敵に超ダメージを与える(範囲攻撃)	夜に怪人へと姿を変えキャットシティの平和を守る英雄<br>マダムたちに求められるサイン攻めには弱い<br>エイリアンと天使に超ダメージを与える(範囲攻撃)	映画デビューを目指しスーツを魔改造した超怪人<br>不純な心をエネルギーに変えて悪を滅ぼす<br>エイリアンと古代種に超ダメージを与える(範囲攻撃)
197	テンションが上がると周りの金属が曲がってしまうネコ<br>カレーを目の前に冷静さを保つ方法を探している<br>エイリアンの動きをたまに遅くする	近づくものすべてが異変を起こす超常現象ネコ<br>キャッチボール中に消えた友達を探している<br>エイリアンの動きをたまに遅くする	近づくものすべてブラックホールに吸い込むネコ<br>最期に自分も吸い込まれることは薄々気づいている<br>エイリアンの動きをたまに遅くする
198	自称過去からタイムスリップしてきた妖術使いにゃんこ<br>悪霊退治の依頼あればスポーツカーで瞬時に駆けつける<br>たまにメタルな敵以外の攻撃力をダウンさせる	遭遇した宇宙人に契約を迫られ魔法少女に転身<br>乗り換え契約特典で付いてきた光る杖で<br>たまにメタルな敵以外の攻撃力をダウンさせる	契約期間満了で転職したにゃんこ<br>テーマパークの悪役もなかなか待遇がいい<br>必ずメタルな敵以外の攻撃力をダウンさせる
199	大志を胸にビッグウェーブを待ち続ける<br>人生の大波に乗り遅れたアラフォーサーファー<br>たまにエイリアンを停止、まれに生き残る(範囲攻撃)	荒波に巻き込まれ遠くまで流されたにゃんこ<br>彼が見つけたい陸は案外近くにあるのかもしれない<br>たまにエイリアンを停止、まれに生き残る(範囲攻撃)	海とは友人だ。時に寄り添い、時に牙を剥く。<br>この友人と共に歩む事こそが、私の人生そのものなのだ<br>たまにエイリアンを停止、必ず生き残る(範囲攻撃)
200	いかなる攻撃も最小ダメージで食い止めるメタルなネコ<br>レアなメタル純度１００％だがクリティカル攻撃に弱い<br>LV上限解放できず、＋LVも上げられない(メタル)	いかなる攻撃も最小ダメージで食い止めるメタルなネコ<br>腕を手に入れたがメタルコーティングをすっかり忘れる<br>LV上限解放できず、＋LVも上げられない(メタル)	
201	にゃんこ軍団を軽快なリズムに乗せ先導するにゃんこ<br>マーチングバンドのメンバーは募集中<br>たまにメタルな敵の攻撃力をダウンさせる	エリートにゃんこ育成校「にゃんこ学園」を先導する<br>侵略科2年の姿勢抜群にゃんこ。親子2世代で<br>大役を務める。たまにメタルな敵の攻撃力をダウンさせる	就職活動をせずに実家を継いだ餅つきにゃんこ<br>同じテンポで餅をこねる相棒を探している<br>たまにメタルな敵の攻撃力をダウンさせる
202	にゃんこ大戦争台湾版リリース記念キャラクター<br>蒸し器の中で怠けていたら小籠包になってしまったネコ<br>熱い志とスープをうちに秘め、いざ出陣！	にゃんこ大戦争台湾版リリース記念キャラクター<br>もっとまとめて食べたいという願いを叶えた職人の自信作<br>肉まんなのでは？という噂は絶えない(範囲攻撃)	
203	謎の古代種を捕獲すべく追跡を続けるSCAT部隊にゃんこ<br>泥船計画実行のためには手段を選ばない<br>たまに天使とエイリアンの攻撃力を下げる(範囲攻撃)	泥船計画の完結。驚異的なシンクロ率で古代種と<br>共鳴した古代兵器は幾千の時を経てついに再始動する<br>天使とエイリアンの攻撃力を必ず下げる(範囲攻撃)	古代種の進化に共鳴し完全覚醒に成功した古代兵器は<br>機密任務完遂のため全ての証拠を焼却処分する(範囲攻撃)<br>天使とエイリアンにめっぽう強く、攻撃力を必ず下げる
204	モンハン 大狩猟クエストから参戦！<br>狩りのオトモも出来るネコそっくりの種族<br>LVが上がりやすく、黒い敵の攻撃力を下げる	モンハン 大狩猟クエストから参戦！<br>やんちゃなメラルーも連れてにゃんこ達のオトモへ<br>LVが上がりやすく、赤い敵の攻撃力を下げる	
205	モンハン 大狩猟クエストから参戦！<br>キリン装備でキメた女性ハンター。その一撃雷の如く<br>浮いてる敵にめっぽう強い	モンハン 大狩猟クエストから参戦！<br>神々しい雷をまとい、究極の斬れ味でその一撃を振るう<br>浮いてる敵にめっぽう強い	
206	モンハン 大狩猟クエストから参戦！<br>火炎ブレスで敵を焼きつくす、空の王者と称される火竜<br>(範囲攻撃)	モンハン 大狩猟クエストから参戦！<br>空の王者を召喚し強力な火力を手に入れたにゃんこ<br>(範囲攻撃)	
207	モンハン 大狩猟クエストから参戦！<br>強靭な尻尾で敵をなぎ倒す、陸の女王と称される火竜<br>たまに敵の攻撃力を下げる(範囲攻撃)	モンハン 大狩猟クエストから参戦！<br>陸の女王を召喚し強力な力を手に入れたにゃんこ<br>たまに敵の攻撃力を下げる(範囲攻撃)	
208	とある雪山で落ちていた装備を拾ったにゃんこ<br>もれだす雷の力に魅了され強大な力を手に入れた<br>と思っているただのネコ。浮いてる敵に打たれ強い	身につけていた装備は幻想的な獣だったと知る<br>その姿に憧れ、日々の鍛錬によってついにキリン<br>っぽい姿を手に入れた。浮いてる敵に打たれ強い	
209	安価で生産できる基本キャラ<br>を目指して成長中のちびにゃんこ<br>	鍛えぬいた筋肉がチャームポイントの<br>基本キャラを目指して成長中のちびにゃんこ<br>	鍛えぬいた筋肉に男前なツンツンヘアが<br>チャームポイントの基本キャラ<br>贅肉を削ぎ落としコスパがよくなった
210	体力を多く備えた盾用のキャラ<br>攻撃力はスズメの涙ほど、なキャラ<br>を目指して成長中のちびにゃんこ(範囲攻撃)	まさにカベに徹する為の盾専用キャラ<br>攻撃力はあいかわらず、なキャラ<br>を目指して成長中のちびにゃんこ(範囲攻撃)	ゴム製の盾専用キャラに成長したちびにゃんこ<br>成長して性格が丸くなったが<br>攻撃力はあいかわらず(範囲攻撃)
211	戦闘向きのキャラ<br>を目指して成長中のちびにゃんこ<br>｢赤い敵｣にめっぽう強い	勇者にあこがれる戦闘向きのキャラ<br>を目指して成長中のちびにゃんこ<br>｢赤い敵｣にめっぽう強い	成長してモンスターハントに<br>憧れるようになった戦闘向きのちびにゃんこ<br>天使にめっぽう強い
212	秘密警察｢ラビッツ｣のメンバーである彼女は<br>検挙率100％のおとり捜査で有名なコスプレ刑事<br>エイリアンと赤い敵の動きを必ず遅くする(範囲攻撃)	暗殺黒猫団｢キャッツ｣のメンバーでもある彼女は<br>決して足跡を残さない華麗なる殺し屋であり運び屋<br>エイリアンと赤い敵にめっぽう強い(範囲攻撃)	諜報機関「フォックス」の指揮官でもある彼女は<br>優れた話術で無理難題を部下に遂行させる(範囲攻撃)<br>エイリアンと赤い敵を必ずふっとばして攻撃力を下げる
213			
214	メタルスラッグディフェンスから参戦！<br>捕虜に見えるが実際は特殊部隊の凄腕<br>まれに生き残る(範囲攻撃)	メタルスラッグディフェンスから参戦！<br>気弾でにゃんこ達を援護してくれる<br>まれに生き残る(範囲攻撃)	
215	メタルスラッグディフェンスから参戦！<br>正規軍少佐。叩き上げの軍人でプログラミングに秀でる<br>ごくたまにエイリアンの動きを一瞬止める	メタルスラッグディフェンスから参戦！<br>ヘビーマシンガンをぶっ放す、インテリ系凄腕エージェント<br>ごくたまにエイリアンの動きを一瞬止める	
216	メタルスラッグディフェンスから参戦！<br>正規軍大尉。サングラスがトレードマーク<br>たまにエイリアンをふっとばす(範囲攻撃)	メタルスラッグディフェンスから参戦！<br>ショットガンをぶっ放す、マルコの親友<br>たまにエイリアンをふっとばす(範囲攻撃)	メタルスラッグディフェンスから参戦！<br>ショットガンをぶっ放す、マルコの親友<br>ごくたまにエイリアンをふっとばす(範囲攻撃)
